Metric,A0,A1S,A2S
Total_Discharge_kWh,25.079,25.703,26.179
Total_Work_kWh,26.935,25.618,26.05
N_Capped_Intervals,2,0,0
N_Infeasible_Windows,0,0,0
Missed_Work_hour,0.232,0.25,0.25
Missed_Work_Penalty_USD,464.3,500.0,500.0
