Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A1S_minus_A0_cum_kWh,A2S_minus_A0_cum_kWh,A1R_minus_A0_cum_kWh,A2R_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.679845993724483,Digging,Traveling,0.0,0.0,4.679845993724483,Digging,Traveling,0.0,0.0,4.679845993724483,Digging,Traveling,0.0,0.0,4.679845993724483,Digging,Traveling,0.0,0.0,4.679845993724483,Digging,Traveling,0.0,0.0,0.0,0.0
2,08:15,0.0,0.0,5.5824386527306356,Digging,Idle,4.679845993724484,1.169961498431121,0.0,Charging,Serving CEV,0.0,0.0,5.5824386527306356,Digging,Idle,0.0,0.0,5.5824386527306356,Digging,Idle,0.0,0.0,5.5824386527306356,Digging,Idle,1.169961498431121,0.0,0.0,0.0
3,08:30,0.0,0.0,4.167936747401412,Digging,Idle,0.0,1.169961498431121,5.5824386527306356,Digging,Idle,0.0,0.0,4.167936747401412,Digging,Idle,0.0,0.0,4.167936747401412,Digging,Idle,0.0,0.0,4.167936747401412,Digging,Idle,1.169961498431121,0.0,0.0,0.0
4,08:45,0.0,0.0,3.6909496746266566,Digging,Idle,0.0,1.169961498431121,4.167936747401412,Digging,Idle,6.086994007635646,1.5217485019089114,0.0,Charging,Serving CEV,0.0,0.0,3.6909496746266566,Digging,Idle,6.525769077627772,1.631442269406943,0.0,Charging,Serving CEV,1.169961498431121,1.5217485019089114,0.0,1.631442269406943
5,09:00,8.0,2.0,0.0,Charging,Serving CEV,0.0,1.169961498431121,3.6909496746266566,Digging,Idle,0.0,1.5217485019089114,2.720143168060706,Loading/Swinging,Idle,3.5334710684831947,0.8833677671207987,0.0,Charging,Serving CEV,0.0,1.631442269406943,3.6909496746266566,Digging,Idle,-0.8300385015688789,-0.4782514980910886,-1.1166322328792013,-0.36855773059305696
6,09:15,0.0,2.0,6.421291841929734,Traveling,Idle,0.0,1.169961498431121,6.421291841929734,Traveling,Idle,0.0,1.5217485019089114,6.421291841929734,Traveling,Idle,0.0,0.8833677671207987,6.421291841929734,Traveling,Idle,0.0,1.631442269406943,6.421291841929734,Traveling,Idle,-0.8300385015688789,-0.4782514980910886,-1.1166322328792013,-0.36855773059305696
7,09:30,8.0,4.0,0.0,Charging,Serving CEV,7.040116916688483,2.9299907276032418,0.0,Charging,Serving CEV,7.6217970501751795,3.427197764452706,0.0,Charging,Serving CEV,0.0,0.8833677671207987,2.9690539994732656,Digging,Idle,8.0,3.631442269406943,0.0,Charging,Serving CEV,-1.0700092723967582,-0.5728022355472939,-3.1166322328792013,-0.3685577305930572
8,09:45,0.0,4.0,2.9690539994732656,Digging,Idle,0.0,2.9299907276032418,2.9690539994732656,Digging,Idle,0.0,3.427197764452706,3.6909496746266566,Digging,Idle,6.231745841403001,2.441304227471549,0.0,Charging,Serving CEV,0.0,3.631442269406943,2.9690539994732656,Digging,Idle,-1.0700092723967582,-0.5728022355472939,-1.5586957725284512,-0.3685577305930572
9,10:00,0.0,4.0,5.654796849460183,Digging,Idle,0.0,2.9299907276032418,5.654796849460183,Digging,Idle,0.0,3.427197764452706,2.9690539994732656,Digging,Idle,0.0,2.441304227471549,2.720143168060706,Loading/Swinging,Idle,0.0,3.631442269406943,2.720143168060706,Loading/Swinging,Idle,-1.0700092723967582,-0.5728022355472939,-1.5586957725284512,-0.3685577305930572
10,10:15,0.0,4.0,5.4801887353271335,Digging,Idle,0.0,2.9299907276032418,5.4801887353271335,Digging,Idle,7.401557643054453,5.277587175216319,0.0,Charging,Serving CEV,7.561543168060706,4.331690019486725,0.0,Charging,Serving CEV,0.0,3.631442269406943,2.9593393155052388,Loading/Swinging,Idle,-1.0700092723967582,1.2775871752163193,0.33169001948672516,-0.3685577305930572
