Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh,MCS_1_A2S_kWh,MCS_1_A1R_kWh,MCS_1_A2R_kWh
1,250.0,250.0,250.0,250.0,250.0
2,247.5,247.5,247.5,247.5,247.5
3,247.5,246.2684615805988,247.5,247.5,247.5
4,247.5,246.2684615805988,247.5,247.5,247.5
5,247.5,246.2684615805988,245.89815947167483,247.5,245.78269234799268
6,245.39473684210526,246.2684615805988,245.89815947167483,246.57013919250443,245.78269234799268
7,245.39473684210526,246.2684615805988,245.89815947167483,246.57013919250446,245.78269234799268
8,243.28947368421055,244.41579923410183,243.89242340583925,246.57013919250446,243.67742919009794
9,243.28947368421055,244.41579923410183,243.89242340583925,244.93020607634577,243.67742919009794
10,243.28947368421055,244.41579923410183,243.89242340583925,244.93020607634577,243.67742919009794
11,243.28947368421052,244.41579923410183,241.94464507871967,242.94032629527715,243.67742919009794
12,243.28947368421052,242.4170519750859,241.9446450787197,242.94032629527715,241.8361294324456
13,242.1022894736842,242.41705197508594,241.9446450787197,242.94032629527715,239.73310913893786
14,239.99702631578947,242.41705197508594,240.09104447413608,242.94032629527715,239.73310913893786
15,239.99702631578947,240.66880535483264,240.09104447413608,240.90221309689107,239.73310913893786
16,239.99702631578947,240.66880535483264,240.09104447413608,240.90221309689107,239.73310913893786
17,239.99702631578947,240.66880535483264,240.09104447413608,240.90221309689107,239.73310913893786
18,239.99702631578947,240.66880535483264,237.98578131624134,240.90221309689107,239.73310913893786
19,239.99702631578947,240.66880535483264,235.8805181583466,240.90221309689107,237.62784598104312
20,239.99702631578947,240.66880535483264,233.77525500045186,240.90221309689107,237.62784598104312
21,239.99702631578947,240.66880535483264,233.57766072461314,240.90221309689107,235.52258282314838
22,239.15492105263158,239.8934501982973,233.5776607246131,240.37928249315954,235.52258282314838
23,237.04965789473684,237.78818704040256,233.57766072461308,238.2740193352648,235.52258282314838
24,234.9443947368421,235.68292388250782,233.57766072461305,236.16875617737006,233.57766072461308
25,232.83913157894736,233.57766072461308,233.57766072461305,234.06349301947532,233.57766072461305
26,232.83913157894736,233.57766072461308,233.57766072461305,234.06349301947532,233.57766072461305
27,232.83913157894736,233.57766072461308,233.57766072461305,234.06349301947532,233.57766072461305
28,232.83913157894736,233.57766072461308,231.4723975667183,234.06349301947532,231.4723975667183
29,232.83913157894736,231.47239756671837,231.4723975667183,234.06349301947532,231.4723975667183
30,230.8415789473684,231.47239756671837,231.4723975667183,231.95822986158058,231.4723975667183
31,230.8415789473684,231.47239756671837,231.4723975667183,231.95822986158058,231.4723975667183
32,230.8415789473684,231.47239756671837,231.4723975667183,231.95822986158058,231.4723975667183
33,230.8415789473684,231.47239756671837,229.36713440882357,231.95822986158058,229.36713440882357
34,230.8415789473684,229.43625270451003,229.36713440882357,230.71981449242097,229.36713440882357
35,228.73631578947365,229.43625270451003,229.36713440882357,230.71981449242097,229.36713440882357
36,228.73631578947368,229.43625270451003,229.36713440882357,230.66370268772184,229.36713440882357
37,228.73631578947368,229.43625270451,227.26187125092883,230.66370268772184,227.26187125092883
38,226.63105263157894,227.33098954661526,225.1566080930341,230.66370268772184,225.1566080930341
39,224.52578947368423,227.33098954661526,223.05134493513935,229.82159742456392,223.05134493513935
40,222.4205263157895,225.22572638872052,222.62005179897847,227.71633426666918,222.6200517989785
41,219.9205263157895,225.22572638872052,220.12005179897847,227.71633426666918,222.6200517989785
42,219.9205263157895,223.12046323082578,220.12005179897847,225.61107110877444,220.1200517989785
43,219.9205263157895,223.12046323082578,220.12005179897847,225.61107110877444,220.1200517989785
44,219.9205263157895,223.12046323082578,220.12005179897847,223.50580795087973,220.1200517989785
45,219.9205263157895,223.12046323082578,220.12005179897847,221.0058079508797,220.1200517989785
46,219.9205263157895,222.62005179897852,220.12005179897847,221.0058079508797,220.1200517989785
47,219.9205263157895,220.1200517989785,220.12005179897847,221.0058079508797,220.1200517989785
48,219.9205263157895,220.1200517989785,220.12005179897847,221.0058079508797,220.1200517989785
