Metric,A1S,A2S
Total_Cost_USD,65.9,68.3
Total_Energy_Cost_USD,8.11,8.32
Total_CO2_Cost_USD,0.3,0.34
NC_demand_charge_USD,37.49,39.64
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0
Travel_Labour_USD,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,25.36,27.12
Total_CO2_Emissions_kg,5.99,6.72
NCD_Peak_kW,1.86,1.97
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.0,0.0
MCS_Transit_hour,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,110.18,8756.6
