Time_Period,Clock,A0_Charging_kW,A0_Discharging_kW,A1S_Charging_kW,A1S_Discharging_kW,A2S_Charging_kW,A2S_Discharging_kW
1,08:00,0.0,0.0,0.0,0.0,0.0,0.0
2,08:15,0.0,0.0,0.0,4.7432314583010164,0.0,0.0
3,08:30,0.0,7.999999999999999,0.0,0.0,0.0,0.0
4,08:45,-0.0,0.0,0.0,0.0,0.0,0.0
5,09:00,-0.0,0.0,0.0,8.000000000008018,0.0,7.999999999999999
6,09:15,-0.0,8.0,0.0,0.0,0.0,8.0
7,09:30,-0.0,4.178947368421149,0.0,0.0,0.0,5.519744704740481
8,09:45,-0.0,0.0,0.0,7.99999999999999,0.0,0.0
9,10:00,-0.0,0.0,0.0,0.0,1.8523991971253742,0.0
10,10:15,-0.0,0.0,2.070292681295115,0.0,1.9094901367857013,0.0
11,10:30,-0.0,0.0,2.0803502455124785,0.0,1.4513959573897615,0.0
12,10:45,-0.0,8.0,2.091050076915422,0.0,1.935312767533894,0.0
13,11:00,-0.0,0.0,2.103277890322512,0.0,1.943305801840071,0.0
14,11:15,-0.0,0.0,2.019551745525022,0.0,1.9630873574490717,0.0
15,11:30,-0.0,0.0,1.9698785798486065,0.0,2.0143806510154985,0.0
16,11:45,-0.0,0.0,2.1409817867322514,0.0,2.0243437130742454,0.0
17,12:00,-0.0,8.0,2.1542240731699183,0.0,2.095427326802391,0.0
18,12:15,-0.0,8.0,2.0461347558447405,0.0,2.095427326802391,0.0
19,12:30,-0.0,0.0,2.154224073169848,0.0,2.095427326802391,0.0
20,12:45,1.9500975795663558,0.0,2.154224073169883,0.0,2.095427326802391,0.0
21,13:00,1.9500975795663558,0.0,0.0,0.0,0.0,0.0
22,13:15,1.9500975795663558,0.0,0.0,5.5442379455773505,0.0,8.0
23,13:30,1.9500975795663558,0.0,0.0,7.708198002864352,0.0,8.0
24,13:45,1.9500975795663558,0.0,0.0,7.594305368270301,0.0,8.0
25,14:00,1.9500975795663558,0.0,0.0,0.0,0.0,0.0
26,14:15,1.9500975795663558,0.0,0.0,0.0,0.0,0.0
27,14:30,1.9500975795663558,0.0,0.0,8.0,0.0,0.0
28,14:45,1.9500975795663558,0.0,0.0,0.0,0.0,0.0
29,15:00,1.9500975795663558,0.0,0.0,0.0,0.0,8.0
30,15:15,1.9500975795663558,0.0,0.0,0.0,0.0,0.0
31,15:30,1.9500975795663558,0.0,0.0,5.063921672967195,0.0,0.0
32,15:45,1.9500975795663558,0.0,0.0,7.733477806685936,0.0,6.361439164354328
33,16:00,-0.0,0.0,0.0,0.0,0.0,0.0
34,16:15,-0.0,7.999999999999972,0.0,0.0,0.0,0.0
35,16:30,-0.0,0.0,0.0,0.0,0.0,0.0
36,16:45,-0.0,0.0,0.0,0.0,0.0,8.0
37,17:00,-0.0,0.0,0.0,2.194557007444129,0.0,8.0
38,17:15,-0.0,0.0,0.0,7.884496999608203,0.0,8.0
39,17:30,-0.0,0.0,0.0,7.5850264737048345,0.0,8.0
40,17:45,-0.0,0.0,0.0,8.0,0.0,8.0
41,18:00,-0.0,0.0,0.0,8.0,0.0,4.8345713766980225
42,18:15,-0.0,0.0,0.0,6.758682817173431,0.0,0.0
43,18:30,-0.0,0.0,0.0,0.0,0.0,0.0
44,18:45,-0.0,8.0,0.0,0.0,0.0,0.0
45,19:00,-0.0,8.0,0.0,0.0,-0.0,0.0
46,19:15,-0.0,0.0,0.0,0.0,-0.0,0.0
47,19:30,-0.0,8.0,0.0,0.0,-0.0,0.0
48,19:45,-0.0,8.0,0.0,0.0,-0.0,0.0
49,20:00,-0.0,0.13894736842113645,-0.0,0.0,-0.0,0.0
50,20:15,-0.0,8.0,-0.0,0.0,-0.0,0.0
51,20:30,-0.0,7.999999999999958,-0.0,0.0,-0.0,0.0
52,20:45,-0.0,0.0,0.0,0.0,0.0,0.0
53,21:00,1.9500975795663558,0.0,2.1542240731699183,0.0,2.103479835887396,0.0
54,21:15,1.9500975795663558,0.0,2.1542240731699183,0.0,2.103479835887396,0.0
55,21:30,1.9500975795663558,0.0,2.1542240731699183,0.0,2.103479835887396,0.0
56,21:45,1.9500975795663558,0.0,2.1542240731699183,0.0,2.103479835887396,0.0
57,22:00,1.9500975795663558,0.0,2.1542240731699183,0.0,2.103479835887396,0.0
58,22:15,1.9500975795663558,0.0,2.1542240731699183,0.0,2.103479835887396,0.0
59,22:30,1.9500975795663558,0.0,2.1542240731699183,0.0,2.103479835887396,0.0
60,22:45,1.9500975795663558,0.0,2.1542240731699183,0.0,2.103479835887396,0.0
61,23:00,1.9500975795663558,0.0,0.45544664907513055,0.0,2.103479835887396,0.0
62,23:15,1.9500975795663558,0.0,2.1542240731699183,0.0,2.103479835887396,0.0
63,23:30,1.9500975795663558,0.0,2.1542240731699343,0.0,2.103479835887396,0.0
64,23:45,1.9500975795663558,0.0,0.0,0.0,2.1034798358876157,0.0
65,00:00,1.9500975795663558,0.0,2.1542240731699343,0.0,2.1034798358876157,0.0
66,00:15,1.9500975795663558,0.0,2.1542240731699343,0.0,2.1034798358876157,0.0
67,00:30,1.9500975795663558,0.0,2.1542240731699343,0.0,2.1034798358876157,0.0
68,00:45,1.9500975795663558,0.0,2.1542240731699343,0.0,2.1034798358876157,0.0
69,01:00,1.9500975795663558,0.0,2.1542240731699343,0.0,2.1034798358876157,0.0
70,01:15,1.9500975795663558,0.0,2.1542240731699343,0.0,2.1034798358876157,0.0
71,01:30,1.9500975795663558,0.0,2.1542240731699343,0.0,2.1034798358876157,0.0
72,01:45,1.9500975795663558,0.0,2.1542240731699343,0.0,2.1034798358876157,0.0
73,02:00,1.9500975795663558,0.0,2.1542240731699343,0.0,2.1034798358876157,0.0
74,02:15,1.9500975795663558,0.0,2.1542240731699343,0.0,2.1034798358876157,0.0
75,02:30,1.9500975795663558,0.0,2.1542240731699343,0.0,2.1034798358876157,0.0
76,02:45,1.9500975795663558,0.0,2.1542240731699343,0.0,2.1034798358876157,0.0
77,03:00,1.9500975795663558,0.0,2.1542240731699343,0.0,2.1034798358876157,0.0
78,03:15,1.9500975795663558,0.0,2.1542240731699343,0.0,2.1034798358876157,0.0
