Time_Period,CEV_1_approach0_kWh,CEV_1_shrinking_kWh,CEV_1_receding_kWh
1,14.8,14.8,14.8
2,13.609826576890118,13.609826576890118,13.609826576890118
3,12.364557484968149,12.364557484968149,12.364557484968149
4,11.601599084005834,11.205631803589641,11.205631803589641
5,10.442673402627326,10.075822159802422,10.075822159802422
6,10.442673402627326,12.075822159802422,12.075822159802422
7,9.158331894104302,10.791480651279398,10.791480651279398
8,8.028522250317083,9.705736649549277,9.705736649549277
9,6.942778248586961,8.456050700030392,8.456050700030392
10,6.165203933794889,7.217023103127372,7.217023103127372
11,6.165203933794889,7.803904743135839,9.21702310312737
12,5.391747545309712,7.040946342173524,8.023293136818062
13,4.267770309048507,5.91696910591232,6.899315900556857
14,3.473268421117564,4.723239139603011,5.68938043745465
15,3.473268421117564,3.5133036765008048,5.68938043745465
16,5.473268421117564,4.1997220302592115,4.524138652285078
17,4.2235824715986805,3.4221477154671396,3.30754914640221
18,6.2235824715986805,3.4221477154671396,3.30754914640221
19,8.22358247159868,3.4221477154671396,3.30754914640221
20,10.22358247159868,5.42214771546714,5.30754914640221
21,12.22358247159868,7.42214771546714,7.30754914640221
22,14.22358247159868,8.79999999999999,8.366205194738269
23,14.8,10.79999999999999,10.366205194738269
24,14.8,12.79999999999999,12.366205194738269
25,14.8,14.79999999999999,14.366205194738269
26,13.56097240309698,14.79999999999999,13.063432828584775
27,12.36724243678767,13.634758214830418,11.875517089947166
28,14.36724243678767,12.44684247619281,11.112558688984851
29,13.179326698150064,11.230252970309941,10.33498437419278
30,11.969391235047857,9.927480604156447,12.33498437419278
31,10.804149449878285,11.927480604156447,11.561527985707603
32,9.587559943995416,11.154024215671269,10.76702609777666
33,11.587559943995416,10.359522327740326,9.57577530234655
34,10.697174910063717,12.359522327740326,8.685390268414851
35,9.505924114633608,11.168271532310214,10.685390268414851
36,8.683209724459156,10.277886498378516,12.685390268414851
37,7.380437358305661,9.455172108204064,11.862675878240399
38,9.380437358305661,11.455172108204064,13.862675878240399
39,11.380437358305661,13.455172108204064,14.8
40,13.380437358305661,14.8,14.8
41,14.498237358305655,14.8,14.8
42,14.498237358305655,14.8,14.8
43,14.498237358305655,14.8,14.8
44,14.498237358305655,14.8,14.8
45,14.498237358305655,14.8,14.8
46,14.498237358305655,14.8,14.8
47,14.498237358305655,14.8,14.8
48,14.498237358305655,14.8,14.8
49,14.498237358305655,14.8,14.8
50,14.498237358305655,14.8,14.8
51,14.498237358305655,14.8,14.8
52,14.498237358305655,14.8,14.8
53,14.498237358305655,14.8,14.8
54,14.498237358305655,14.8,14.8
55,14.498237358305655,14.8,14.8
56,14.498237358305655,14.8,14.8
57,14.498237358305655,14.8,14.8
58,14.498237358305655,14.8,14.8
59,14.498237358305655,14.8,14.8
60,14.498237358305655,14.8,14.8
61,14.498237358305655,14.8,14.8
62,14.498237358305655,14.8,14.8
63,14.498237358305655,14.8,14.8
64,14.498237358305655,14.8,14.8
65,14.498237358305655,14.8,14.8
66,14.498237358305655,14.8,14.8
67,14.498237358305655,14.8,14.8
68,14.498237358305655,14.8,14.8
69,14.498237358305655,14.8,14.8
70,14.498237358305655,14.8,14.8
71,14.498237358305655,14.8,14.8
72,14.498237358305655,14.8,14.8
73,14.498237358305655,14.8,14.8
74,14.498237358305655,14.8,14.8
75,14.498237358305655,14.8,14.8
76,14.498237358305655,14.8,14.8
77,14.498237358305655,14.8,14.8
78,14.498237358305655,14.8,14.8
79,14.498237358305655,14.8,14.8
80,14.498237358305655,14.8,14.8
81,14.498237358305655,14.8,14.8
82,14.498237358305655,14.8,14.8
83,14.498237358305655,14.8,14.8
84,14.498237358305655,14.8,14.8
85,14.498237358305655,14.8,14.8
86,14.498237358305655,14.8,14.8
87,14.498237358305655,14.8,14.8
88,14.498237358305655,14.8,14.8
89,14.498237358305655,14.8,14.8
90,14.498237358305655,14.8,14.8
91,14.498237358305655,14.8,14.8
92,14.498237358305655,14.8,14.8
93,14.498237358305655,14.8,14.8
94,14.498237358305655,14.8,14.8
95,14.498237358305655,14.8,14.8
96,14.498237358305655,14.8,14.8
97,14.498237358305655,14.8,14.8
