Time_Period,MCS_1_A1R_kWh,MCS_1_A2R_kWh
1,250.0,250.0
2,250.0,250.0
3,248.6802391971107,250.0
4,248.6802391971107,250.0
5,248.6802391971107,250.0
6,246.57497603921595,250.0
7,246.57497603921595,250.0
8,246.57497603921595,250.0
9,244.46971288132121,247.89473684210526
10,244.46971288132121,247.89473684210526
11,244.46971288132121,247.89473684210526
12,244.46971288132121,247.89473684210526
13,242.74259678014744,245.78947368421052
14,242.74259678014744,245.78947368421052
15,242.74259678014744,245.78947368421052
16,242.74259678014744,245.78947368421052
17,242.74259678014744,243.68421052631578
18,240.6373336222527,241.57894736842104
19,238.5320704643581,239.71590152465907
20,238.5320704643581,238.0632229740637
21,238.9848218381173,238.0632229740637
22,239.43757321187653,238.50235910278334
23,239.89032458563574,238.94594230358825
24,240.34307595939495,239.38952550439316
25,240.79582733315416,239.83310870519807
26,241.24857870691338,240.27669190600298
27,241.7013300806726,240.7202751068079
28,242.1540814544318,241.16506607778928
29,242.60683282819102,241.61163554066937
30,243.05958420195023,242.06206015060795
31,243.51233557570944,242.51248476054653
32,243.96508694946866,242.9629093704851
33,244.41934631695946,243.41589299286568
34,244.41934631695946,243.41589299286568
35,242.5920405829092,241.31062983497094
36,242.5920405829092,241.31062983497094
37,242.5920405829092,241.31062983497094
38,242.5461041098674,239.2053666770762
39,240.44325866108014,237.10010351918146
40,238.44867157943736,234.99484036128672
41,236.44838668899752,232.88957720339198
42,234.4484016832312,230.78431404549724
43,232.34313852533646,230.04270256588373
44,230.45394106026598,230.04270256588373
45,230.45394106026598,230.04270256588373
46,230.45394106026598,230.04270256588373
47,230.45394106026598,230.04270256588373
48,230.45394106026598,230.04270256588373
49,230.45394106026598,230.04270256588373
50,230.45394106026598,230.04270256588373
51,230.45394106026598,230.04270256588373
52,230.45394106026598,230.04270256588373
53,230.45394106026598,230.04270256588373
54,230.90820042775678,230.49627750756818
55,231.3624597952476,230.94985244925263
56,231.8167191627384,231.40342739093708
57,232.2709785302292,231.85700233262153
58,232.72523789772,232.31057727430598
59,233.1794972652108,232.76415221599044
60,233.63375663270162,233.2177271576749
61,234.08801600019243,233.67130209935934
62,234.54227536768323,234.1248770410438
63,234.99653473517404,234.57845198272824
64,235.45079410266484,235.0320269244127
65,235.4637002402939,235.48560186609728
66,235.9179596077847,235.93917680778188
67,236.3722189752755,236.39275174946647
68,236.8264783427663,236.84632669115106
69,237.2807377102571,237.29990163283566
70,237.73499707774792,237.75347657452025
71,238.18925644523873,238.20705151620484
72,238.64351581272953,238.66062645788944
73,239.09777518022034,239.11420139957403
74,239.55203454771114,239.56777634125862
75,240.00629391520195,240.02135128294321
76,240.46055328269276,240.4749262246278
77,240.91481265018356,240.9285011663124
78,241.36907201767437,241.382076107997
79,241.82333138516518,241.8356510496816
80,242.27759075265598,242.28922599136618
81,242.7318501201468,242.74280093305077
82,243.1861094876376,243.19637587473537
83,243.6403688551284,243.64995081641996
84,244.0946282226192,244.10352575810455
85,244.54888759011,244.55710069978915
86,245.00314695760082,245.01067564147374
87,245.45740632509163,245.46425058315833
88,245.91166569258243,245.91782552484293
89,246.36592506007324,246.37140046652752
90,246.8201844275643,246.82497540820796
91,247.2744437950537,247.27855034989253
92,247.72870316254475,247.73212529157712
93,248.1829625300358,248.18570023326168
94,248.63722189752684,248.63927517494628
95,249.0914812650179,249.09285011663084
96,249.54574063250894,249.5464250583154
97,250.0,250.0
