Time_Period,Clock,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A2R_minus_A1R_cum_kWh
1,08:00,0.0,0.0,5.21798175078444,Digging,Traveling,0.0,0.0,5.21798175078444,Digging,Idle,0.0
2,08:15,4.626822895562981,1.1567057238907452,0.0,Charging,Serving CEV,0.0,0.0,5.30264233159133,Digging,Idle,-1.1567057238907452
3,08:30,0.0,1.1567057238907452,5.30264233159133,Digging,Idle,0.0,0.0,5.281970406574824,Digging,Idle,-1.1567057238907452
4,08:45,0.0,1.1567057238907452,5.281970406574824,Digging,Idle,0.0,0.0,5.341593790671668,Digging,Idle,-1.1567057238907452
5,09:00,8.0,3.156705723890745,0.0,Charging,Serving CEV,0.0,0.0,0.0,Idle,Idle,-3.156705723890745
6,09:15,0.0,3.156705723890745,5.341593790671668,Digging,Idle,0.0,0.0,0.0,Idle,Traveling,-3.156705723890745
7,09:30,8.0,5.156705723890745,0.0,Charging,Serving CEV,0.0,0.0,5.697998980241216,Traveling,Idle,-5.156705723890745
8,09:45,-1.8259586355899638e-14,5.156705723890741,5.697998980241216,Traveling,Idle,0.0,0.0,5.431830750065842,Digging,Idle,-5.156705723890741
9,10:00,0.0,5.156705723890741,5.431830750065842,Digging,Idle,0.0,0.0,3.5806071039924117,Loading/Swinging,Idle,-5.156705723890741
10,10:15,0.0,5.156705723890741,5.311687106182523,Digging,Idle,0.0,0.0,3.550707585561845,Loading/Swinging,Idle,-5.156705723890741
11,10:30,0.0,5.156705723890741,5.289861091915892,Digging,Idle,7.776836950556695,1.9442092376391737,0.0,Charging,Serving CEV,-3.212496486251567
12,10:45,8.0,7.156705723890741,0.0,Charging,Serving CEV,0.0,1.9442092376391737,5.311687106182523,Digging,Idle,-5.212496486251567
13,11:00,0.0,7.156705723890741,3.5806071039924117,Loading/Swinging,Idle,0.0,1.9442092376391737,5.592763251387286,Traveling,Idle,-5.212496486251567
14,11:15,0.0,7.156705723890741,5.592763251387286,Traveling,Idle,8.0,3.944209237639174,0.0,Charging,Serving CEV,-3.212496486251567
15,11:30,0.0,7.156705723890741,5.2106987150838755,Digging,Idle,0.0,3.944209237639174,5.289861091915892,Digging,Idle,-3.212496486251567
16,11:45,0.0,7.156705723890741,5.230286657641851,Digging,Idle,0.0,3.944209237639174,5.2106987150838755,Digging,Idle,-3.212496486251567
17,12:00,5.319788463758937,8.486652839830475,0.0,Charging,Serving CEV,8.0,5.944209237639174,0.0,Charging,Serving CEV,-2.542443602191301
18,12:15,8.000000000000036,10.486652839830484,0.0,Charging,Serving CEV,8.0,7.944209237639174,0.0,Charging,Serving CEV,-2.5424436021913097
19,12:30,8.0,12.486652839830484,0.0,Charging,Serving CEV,3.91581237542932,8.923162331496505,0.0,Charging,Serving CEV,-3.563490508333979
20,12:45,0.0,12.486652839830484,0.0,Idle,Traveling,8.0,10.923162331496505,0.0,Charging,Serving CEV,-1.5634905083339792
21,13:00,0.0,12.486652839830484,0.0,Idle,Charging (grid),4.371450011487145,12.016024834368292,0.0,Charging,Serving CEV,-0.4706280054621921
22,13:15,0.0,12.486652839830484,0.0,Idle,Charging (grid),3.7144050467217413,12.944626096048728,0.0,Charging,Serving CEV,0.4579732562182439
23,13:30,0.0,12.486652839830484,0.0,Idle,Charging (grid),0.0,12.944626096048728,0.0,Idle,Idle,0.4579732562182439
24,13:45,0.0,12.486652839830484,0.0,Idle,Charging (grid),0.0,12.944626096048728,0.0,Idle,Idle,0.4579732562182439
25,14:00,0.0,12.486652839830484,3.550707585561845,Loading/Swinging,Charging (grid),0.0,12.944626096048728,5.230286657641851,Digging,Idle,0.4579732562182439
26,14:15,0.0,12.486652839830484,3.5591315551434137,Loading/Swinging,Charging (grid),0.0,12.944626096048728,5.269036384177392,Digging,Idle,0.4579732562182439
27,14:30,0.0,12.486652839830484,5.504044858902048,Traveling,Charging (grid),0.0,12.944626096048728,5.504044858902048,Traveling,Idle,0.4579732562182439
28,14:45,0.0,12.486652839830484,3.5355208537506546,Loading/Swinging,Charging (grid),0.0,12.944626096048728,5.243912706422161,Digging,Idle,0.4579732562182439
29,15:00,0.0,12.486652839830484,0.0,Idle,Charging (grid),8.0,14.944626096048728,0.0,Charging,Serving CEV,2.457973256218244
30,15:15,0.0,12.486652839830484,3.7316673228953734,Loading/Swinging,Charging (grid),0.0,14.944626096048728,3.5591315551434137,Loading/Swinging,Idle,2.457973256218244
31,15:30,0.0,12.486652839830484,3.5932346744961485,Loading/Swinging,Charging (grid),0.0,14.944626096048728,3.5355208537506546,Loading/Swinging,Idle,2.457973256218244
32,15:45,0.0,12.486652839830484,5.269036384177392,Digging,Charging (grid),0.0,14.944626096048728,5.420396672153049,Digging,Idle,2.457973256218244
33,16:00,0.0,12.486652839830484,5.510753107232082,Traveling,Traveling,0.0,14.944626096048728,5.510753107232082,Traveling,Idle,2.457973256218244
34,16:15,6.305165177863349,14.062944134296322,0.0,Charging,Serving CEV,1.3190513304687326,15.27438892866591,0.0,Charging,Serving CEV,1.211444794369589
35,16:30,7.668149201165086,15.979981434587593,0.0,Charging,Serving CEV,0.0,15.27438892866591,3.7316673228953734,Loading/Swinging,Idle,-0.7055925059216825
36,16:45,0.0,15.979981434587593,5.243912706422161,Digging,Idle,0.0,15.27438892866591,3.5932346744961485,Loading/Swinging,Idle,-0.7055925059216825
37,17:00,0.0715844698567474,15.99787755205178,0.0,Charging,Serving CEV,8.0,17.27438892866591,0.0,Charging,Serving CEV,1.2765113766141312
38,17:15,7.996232396323326,17.99693565113261,0.0,Charging,Serving CEV,0.3271283602143994,17.35617101871951,0.0,Charging,Serving CEV,-0.6407646324130987
39,17:30,7.5791456633514045,19.89172206697046,0.0,Charging,Serving CEV,8.0,19.35617101871951,0.0,Charging,Serving CEV,-0.535551048250948
