Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A1R_minus_A0_cum_kWh
41,18:00,8.0,21.261184210525762,0.0,Charging,Serving CEV,7.599949780419185,19.51008797416033,0.0,Charging,Serving CEV,-1.7510962363654308
42,18:15,8.0,23.261184210525762,0.0,Charging,Serving CEV,8.0,21.51008797416033,0.0,Charging,Serving CEV,-1.7510962363654308
43,18:30,0.0,23.261184210525762,0.0,Idle,Idle,7.178950011556882,23.30482547704955,0.0,Charging,Serving CEV,0.04364126652378886
44,18:45,7.273157894739047,25.079473684210523,0.0,Charging,Serving CEV,0.0,23.30482547704955,0.0,Idle,Traveling,-1.774648207160972
45,19:00,0.0,25.079473684210523,0.0,Idle,Idle,0.0,23.30482547704955,0.0,Idle,Idle,-1.774648207160972
46,19:15,0.0,25.079473684210523,0.0,Idle,Idle,0.0,23.30482547704955,0.0,Idle,Idle,-1.774648207160972
47,19:30,0.0,25.079473684210523,0.0,Idle,Idle,0.0,23.30482547704955,0.0,Idle,Idle,-1.774648207160972
48,19:45,0.0,25.079473684210523,0.0,Idle,Idle,0.0,23.30482547704955,0.0,Idle,Idle,-1.774648207160972
49,20:00,0.0,25.079473684210523,0.0,Idle,Idle,0.0,23.30482547704955,0.0,Idle,Idle,-1.774648207160972
50,20:15,0.0,25.079473684210523,0.0,Idle,Traveling,0.0,23.30482547704955,0.0,Idle,Idle,-1.774648207160972
51,20:30,0.0,25.079473684210523,0.0,Idle,Idle,0.0,23.30482547704955,0.0,Idle,Idle,-1.774648207160972
52,20:45,0.0,25.079473684210523,0.0,Idle,Idle,0.0,23.30482547704955,0.0,Idle,Idle,-1.774648207160972
53,21:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
54,21:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
55,21:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
56,21:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
57,22:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
58,22:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
59,22:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
60,22:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.30482547704955,0.0,Idle,Charging (grid),-1.774648207160972
