Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0,250.0
2,250.0,250.0,250.0
3,250.0,248.79464272277852,250.0
4,247.89473684210526,248.79464272277846,250.00000000004445
5,247.8947368421053,248.79464272277846,247.8947368421497
6,247.8947368421053,246.74692470603026,247.8947368421497
7,245.78947368421055,246.74692470603026,245.78947368425497
8,244.68975069252076,245.07472835646738,245.78947368425497
9,244.68975069252076,245.07472835646738,245.78947368425497
10,244.68975069252076,245.07472835646738,245.78947368425497
11,244.68975069252076,245.07472835646738,245.78947368427953
12,244.68975069252076,245.07472835646738,243.6842105263848
13,242.58448753462602,242.96946519857264,243.6842105263848
14,242.58448753462602,242.96946519857264,243.6842105263848
15,242.58448753462602,242.96946519857264,243.6842105263848
16,242.58448753462602,242.9694651985726,243.6842105263848
17,242.58448753462602,242.9694651985726,241.57894736849005
18,240.47922437673128,240.88774456226523,239.6555836492183
19,238.37396121883654,238.89204564838693,239.6555836492183
20,238.37396121883654,238.89204564838693,240.08528093029267
21,238.83710939398355,239.34593947360773,240.51497821136704
22,239.30025756913057,239.79983329882853,240.9469184052998
23,239.76340574427758,240.25372712404933,241.3788585992326
24,240.2265539194246,240.70762094927014,241.81079879316536
25,240.6897020945716,241.16151477449094,242.24273898709814
26,241.1528502697186,241.61540859971174,242.6746791810309
27,241.61599844486562,242.06930242493254,243.10661937496369
28,242.07914662001264,242.52319625015335,243.53855956889646
29,242.54229479515965,242.97709007537415,243.53855956889646
30,243.00544297030666,243.43098390059495,241.43329641100172
31,243.46859114545367,243.88487772581576,241.43329641100172
32,243.93173932060068,244.33877155103656,241.43329641100172
33,244.3948874957477,244.79266537625736,239.32803325310698
34,244.3948874957477,244.79266537625736,239.32803325310698
35,242.28962433785296,242.8573538220381,239.32803325310698
36,242.28962433785296,242.8573538220381,239.32803325310698
37,242.28962433785296,242.8573538220381,239.32803325310698
38,242.28962433785296,240.8962343943446,237.22277009521224
39,242.28962433785296,238.79097123644985,235.1175069373175
40,242.28962433785296,236.6857080785551,233.01224377942276
41,242.28962433785296,234.58044492066037,230.90698062152802
42,242.28962433785296,232.47518176276563,228.8750500278532
43,242.28962433785296,230.91634871325363,228.8750500278532
44,242.28962433785296,230.91634871325363,228.8750500278532
45,240.18436117995822,230.91634871325363,228.8750500278532
46,238.07909802206348,230.91634871325363,228.8750500278532
47,238.07909802206348,230.91634871325363,228.8750500278532
48,235.97383486416874,230.91634871325363,228.8750500278532
49,233.868571706274,230.91634871325363,228.8750500278532
50,233.83200660932107,230.91634871325363,228.8750500278532
51,231.72674345142633,230.91634871325363,228.8750500278532
52,229.6214802935316,230.91634871325363,228.8750500278532
53,229.6214802935316,230.91634871325363,228.8750500278532
54,230.0846284686786,231.37024253847443,229.3551625272202
55,230.5477766438256,231.82413636369523,229.83527502658717
56,231.01092481897263,232.27803018891603,230.31538752595415
57,231.47407299411964,232.73192401413684,230.79550002532113
58,231.93722116926665,233.18581783935764,231.2756125246881
59,232.40036934441366,233.63971166457844,231.7557250240551
60,232.86351751956067,234.09360548979924,232.23583752342208
61,233.32666569470769,234.54749931502005,232.71595002278906
62,233.7898138698547,234.56760994249242,233.19606252215604
63,234.2529620450017,235.02150376771323,233.67617502152302
64,234.71611022014872,235.47539759293406,234.15628752089
65,235.17925839529573,235.47539759293406,234.63640002025687
66,235.64240657044274,235.9292914181549,235.11651251962385
67,236.10555474558976,236.38318524337572,235.59662501899084
68,236.56870292073677,236.83707906859655,236.07673751835782
69,237.03185109588378,237.29097289381738,236.5568500177248
70,237.4949992710308,237.7448667190382,237.03696251709178
71,237.9581474461778,238.19876054425904,237.51707501645876
72,238.42129562132482,238.65265436947988,237.99718751582574
73,238.88444379647183,239.1065481947007,238.47730001519272
74,239.34759197161884,239.56044201992154,238.9574125145597
75,239.81074014676585,240.01433584514237,239.4375250139267
76,240.27388832191286,240.4682296703632,239.91763751329367
77,240.73703649705988,240.92212349558403,240.39775001266065
78,241.2001846722069,241.37601732080486,240.87786251202763
79,241.6633328473539,241.8299111460257,241.35797501139461
80,242.1264810225009,242.28380497124652,241.8380875107616
81,242.58962919764792,242.73769879646736,242.31820001012858
82,243.05277737279494,243.1915926216882,242.79831250949556
83,243.51592554794195,243.64548644690902,243.27842500886254
84,243.97907372308896,244.09938027212985,243.75853750822952
85,244.44222189823597,244.55327409735068,244.2386500075965
86,244.90537007338298,245.0071679225715,244.7187625069635
87,245.36851824853,245.46106174779234,245.19887500633047
88,245.831666423677,245.91495557301317,245.67898750569745
89,246.29481459882402,246.368849398234,246.15910000506443
90,246.75796277397103,246.82274322345427,246.63921250443119
91,247.22111094911804,247.2766370486751,247.11932500379817
92,247.68425912426505,247.73053087389587,247.5994375031651
93,248.14740729941207,248.1844246991167,248.07955000253207
94,248.61055547455908,248.6383185243375,248.55966250189903
95,249.0737036497061,249.09221234955834,249.039775001266
96,249.536851824853,249.54610617477917,249.519887500633
97,250.0,250.0,250.0
