Metric,A0,A1S
Total_Cost_USD,180.19,133.62
Total_Energy_Cost_USD,45.05,37.5
Total_CO2_Cost_USD,1.8,1.6
NC_demand_charge_USD,53.34,44.51
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0
Travel_Labour_USD,80.0,50.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,141.69,118.09
Total_CO2_Emissions_kg,35.97,32.05
NCD_Peak_kW,2.65,2.21
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.0,0.0
MCS_Transit_hour,4.0,2.5
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,38.31,327.48
