Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A1R_minus_A0_cum_kWh,A2R_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.764336498431121,Digging,Idle,0.0,0.0,4.764336498431121,Digging,Idle,0.0,0.0,4.764336498431121,Digging,Traveling,0.0,0.0
2,08:15,0.0,0.0,4.989984663182659,Digging,Idle,0.0,0.0,0.0,Idle,Idle,0.0,0.0,4.989984663182659,Digging,Idle,0.0,0.0
3,08:30,0.0,0.0,4.6363591868503535,Digging,Idle,0.0,0.0,4.989984663182659,Digging,Traveling,0.0,0.0,3.0489857920151766,Loading/Swinging,Idle,0.0,0.0
4,08:45,0.0,0.0,4.517112418656664,Digging,Idle,0.0,0.0,4.6363591868503535,Digging,Idle,0.0,0.0,4.6363591868503535,Digging,Idle,0.0,0.0
5,09:00,0.0,0.0,0.0,Idle,Idle,0.0,0.0,4.517112418656664,Digging,Idle,5.859576928329788,1.464894232082447,0.0,Charging,Serving CEV,0.0,1.464894232082447
6,09:15,0.0,0.0,5.137897960482434,Traveling,Idle,0.0,0.0,5.137897960482434,Traveling,Idle,0.0,1.464894232082447,5.137897960482434,Traveling,Idle,0.0,1.464894232082447
7,09:30,0.0,0.0,4.336638499868317,Digging,Idle,6.943290727603237,1.7358226819008093,0.0,Charging,Serving CEV,0.0,1.464894232082447,4.517112418656664,Digging,Idle,1.7358226819008093,1.464894232082447
8,09:45,0.0,0.0,3.0489857920151766,Loading/Swinging,Idle,0.0,1.7358226819008093,4.336638499868317,Digging,Idle,8.0,3.4648942320824467,0.0,Charging,Serving CEV,1.7358226819008093,3.4648942320824467
9,10:00,0.0,0.0,3.10878482887631,Loading/Swinging,Idle,0.0,1.7358226819008093,5.008074212365046,Digging,Idle,0.0,3.4648942320824467,4.336638499868317,Digging,Idle,1.7358226819008093,3.4648942320824467
10,10:15,0.0,0.0,0.0,Idle,Idle,0.0,1.7358226819008093,4.9644221838317835,Digging,Idle,0.0,3.4648942320824467,5.008074212365046,Digging,Idle,1.7358226819008093,3.4648942320824467
