Time_Period,Clock,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A2R_minus_A1R_cum_kWh
1,08:00,0.0,0.0,4.764336498431121,Digging,Idle,0.0,0.0,4.764336498431121,Digging,Traveling,0.0
2,08:15,0.0,0.0,0.0,Idle,Idle,0.0,0.0,4.989984663182659,Digging,Idle,0.0
3,08:30,0.0,0.0,4.989984663182659,Digging,Traveling,0.0,0.0,3.0489857920151766,Loading/Swinging,Idle,0.0
4,08:45,0.0,0.0,4.6363591868503535,Digging,Idle,0.0,0.0,4.6363591868503535,Digging,Idle,0.0
5,09:00,0.0,0.0,4.517112418656664,Digging,Idle,5.859576928329788,1.464894232082447,0.0,Charging,Serving CEV,1.464894232082447
6,09:15,0.0,0.0,5.137897960482434,Traveling,Idle,0.0,1.464894232082447,5.137897960482434,Traveling,Idle,1.464894232082447
7,09:30,6.943290727603237,1.7358226819008093,0.0,Charging,Serving CEV,0.0,1.464894232082447,4.517112418656664,Digging,Idle,-0.2709284498183624
8,09:45,0.0,1.7358226819008093,4.336638499868317,Digging,Idle,8.0,3.4648942320824467,0.0,Charging,Serving CEV,1.7290715501816374
9,10:00,0.0,1.7358226819008093,5.008074212365046,Digging,Idle,0.0,3.4648942320824467,4.336638499868317,Digging,Idle,1.7290715501816374
10,10:15,0.0,1.7358226819008093,4.9644221838317835,Digging,Idle,0.0,3.4648942320824467,5.008074212365046,Digging,Idle,1.7290715501816374
11,10:30,0.0,1.7358226819008093,4.778902569832251,Digging,Idle,0.0,3.4648942320824467,4.9644221838317835,Digging,Idle,1.7290715501816374
12,10:45,8.0,3.7358226819008093,0.0,Charging,Serving CEV,7.999999999999776,5.464894232082391,0.0,Charging,Serving CEV,1.7290715501815814
13,11:00,0.0,3.7358226819008093,4.4927734972254285,Traveling,Idle,0.0,5.464894232082391,4.4927734972254285,Traveling,Idle,1.7290715501815814
14,11:15,0.0,3.7358226819008093,4.845273315283702,Digging,Idle,0.0,5.464894232082391,4.778902569832251,Digging,Idle,1.7290715501815814
15,11:30,0.0,3.7358226819008093,4.6622272316452165,Digging,Idle,0.0,5.464894232082391,4.845273315283702,Digging,Idle,1.7290715501815814
16,11:45,0.0,3.7358226819008093,4.872525412844321,Digging,Idle,0.0,5.464894232082391,4.6622272316452165,Digging,Idle,1.7290715501815814
17,12:00,0.2275369228960642,3.7927069126248254,0.0,Charging,Serving CEV,8.0,7.464894232082391,0.0,Charging,Serving CEV,3.6721873194575654
18,12:15,8.0,5.792706912624825,0.0,Charging,Serving CEV,8.0,9.46489423208239,0.0,Charging,Serving CEV,3.6721873194575645
19,12:30,0.0,5.792706912624825,0.0,Idle,Idle,0.0,9.46489423208239,0.0,Idle,Idle,3.6721873194575645
20,12:45,6.835699999999999,7.501631912624825,0.0,Charging,Serving CEV,0.0,9.46489423208239,0.0,Idle,Idle,1.9632623194575647
21,13:00,8.0,9.501631912624825,0.0,Charging,Serving CEV,0.0,9.46489423208239,0.0,Idle,Idle,-0.036737680542435314
22,13:15,7.868700000000004,11.468806912624826,0.0,Charging,Serving CEV,8.0,11.46489423208239,0.0,Charging,Serving CEV,-0.00391268054243632
23,13:30,8.0,13.468806912624826,0.0,Charging,Serving CEV,0.0,11.46489423208239,0.0,Idle,Idle,-2.0039126805424363
24,13:45,8.0,15.468806912624826,0.0,Charging,Serving CEV,8.0,13.46489423208239,0.0,Charging,Serving CEV,-2.0039126805424363
25,14:00,0.0,15.468806912624826,3.0489857920151766,Loading/Swinging,Idle,0.0,13.46489423208239,4.872525412844321,Digging,Idle,-2.0039126805424363
26,14:15,0.0,15.468806912624826,4.749989717804096,Traveling,Idle,0.0,13.46489423208239,4.749989717804096,Traveling,Idle,-2.0039126805424363
27,14:30,7.881375509819264,17.439150790079644,0.0,Charging,Serving CEV,0.0,13.46489423208239,3.10878482887631,Loading/Swinging,Idle,-3.974256557997254
28,14:45,0.0,17.439150790079644,5.2254933443060985,Digging,Idle,0.0,13.46489423208239,5.2254933443060985,Digging,Idle,-3.974256557997254
29,15:00,1.7774933443060545,17.883524126156157,0.0,Charging,Serving CEV,8.0,15.46489423208239,0.0,Charging,Serving CEV,-2.418629894073767
30,15:15,0.0,17.883524126156157,3.10878482887631,Loading/Swinging,Idle,0.0,15.46489423208239,3.091936889713172,Loading/Swinging,Idle,-2.418629894073767
31,15:30,0.0,17.883524126156157,3.091936889713172,Loading/Swinging,Idle,0.0,15.46489423208239,3.178041707501309,Loading/Swinging,Idle,-2.418629894073767
32,15:45,7.8835217185895345,19.85440455580354,0.0,Charging,Serving CEV,0.0,15.46489423208239,4.763406214464165,Traveling,Idle,-4.389510323721151
33,16:00,0.0,19.85440455580354,3.178041707501309,Loading/Swinging,Idle,8.0,17.46489423208239,0.0,Charging,Serving CEV,-2.389510323721151
34,16:15,0.0,19.85440455580354,4.763406214464165,Traveling,Idle,0.0,17.46489423208239,3.5703346457907466,Loading/Swinging,Idle,-2.389510323721151
35,16:30,0.0,19.85440455580354,3.5703346457907466,Loading/Swinging,Idle,8.0,19.46489423208239,0.0,Charging,Serving CEV,-0.3895103237211508
36,16:45,0.0,19.85440455580354,3.293469348992297,Loading/Swinging,Idle,0.0,19.46489423208239,3.293469348992297,Loading/Swinging,Idle,-0.3895103237211508
