Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh
1,250.0,250.0
2,250.0,250.0
3,250.0,248.51360110803324
4,247.89473684210526,248.51360110803324
5,247.89473684210526,248.51360110803324
6,247.89473684210526,248.51360110802764
7,247.89473684210526,248.5136011080275
8,245.78947368421052,246.4083379501327
9,243.68421052631578,244.30307479223796
10,243.68421052631578,244.30307479223796
11,243.68421052631578,244.771088741585
12,243.68421052631578,245.2418546425815
13,241.57894736842104,245.712620543578
14,241.57894736842104,246.1833864445745
15,241.57894736842104,246.654152345571
16,241.57894736842104,247.1308373205753
17,241.57894736842104,247.60942080080684
18,239.4736842105263,248.0897563586007
19,237.36842105263156,248.5589933266184
20,237.36842105263156,249.03932888441227
21,237.83840910416308,249.51966444220614
22,238.30839715569456,250.0
23,238.77838520722608,250.0
24,239.24837325875757,247.89473684210526
25,239.71836131028908,245.81814404432743
26,240.18834936182057,245.81814404432743
27,240.6583374133521,245.81814404432743
28,241.12832546488357,244.14120571512458
29,241.59831351641506,244.14120571512458
30,242.06830156794658,242.56021354962556
31,242.53828961947806,242.56021354962556
32,243.00827767100958,242.56021354962556
33,243.47826572254107,240.51619374670167
34,243.47826572254107,240.51619374670167
35,241.37300256464633,240.51619374670167
36,241.37300256464633,240.51619374670167
37,241.37300256464633,240.51619374670167
38,239.84684152208777,238.93837207427939
39,239.84684152208777,236.91615216230161
40,239.84684152208777,234.81088900440687
41,237.74157836419303,232.70562584651213
42,235.6363152062983,230.92840196376304
43,233.53105204840355,230.92840196376304
44,231.4257888905088,230.92840196376304
45,229.32052573261407,230.92840196376304
46,229.32052573261407,230.92840196376304
47,229.32052573261407,230.92840196376304
48,229.32052573261407,230.92840196376304
49,229.32052573261407,230.92840196376304
50,229.32052573261407,230.92840196376304
51,229.32052573261407,230.92840196376304
52,229.32052573261407,230.92840196376304
53,229.32052573261407,230.92840196376304
54,229.7905137841456,231.4087375215569
55,230.26050183567708,231.88907307935077
56,230.73048988720856,232.36940863714463
57,231.20047793874008,232.8497441949385
58,231.67046599027157,233.33007975273236
59,232.14045404180308,233.81041531052622
60,232.61044209333457,234.2907508683201
61,233.08043014486609,234.2907508683201
62,233.55041819639757,234.2907508683201
63,234.02040624792906,234.62926215059622
64,234.49039429946058,234.62926215059622
65,234.96038235099206,234.62926215059622
66,235.43037040252358,235.10959770839008
67,235.90035845405507,235.58993326618395
68,236.37034650558655,236.0702688239778
69,236.84033455711807,236.55060438177168
70,237.31032260864956,237.03093993956554
71,237.78031066018104,237.5112754973594
72,238.25029871171256,237.99161105515327
73,238.72028676324405,238.47194661294714
74,239.19027481477553,238.952282170741
75,239.66026286630705,239.43261772853486
76,240.13025091783854,239.91295328632873
77,240.60023896937005,240.3932888441226
78,241.07022702090154,240.87362440191646
79,241.54021507243303,241.35395995971032
80,242.01020312396454,241.8342955175042
81,242.48019117549603,242.31463107529805
82,242.95017922702752,242.79496663309192
83,243.42016727855903,243.27530219088578
84,243.89015533009052,243.75563774867965
85,244.360143381622,244.2359733064735
86,244.83013143315353,244.71630886426738
87,245.300119484685,245.19664442206124
88,245.77010753621653,245.6769799798551
89,246.24009558774802,246.15731553764897
90,246.7100836392795,246.63765109544292
91,247.18007169081102,247.1179866532363
92,247.6500597423425,247.59832221103025
93,248.120047793874,248.0786577688242
94,248.5900358454055,248.55899332661815
95,249.060023896937,249.0393288844121
96,249.53001194846848,249.51966444220605
97,250.0,250.0
