Metric,Value
Total_Cost_USD,691.9
Total_Energy_Cost_USD,9.85
Total_CO2_Cost_USD,0.42
NC_demand_charge_USD,56.63
OP_demand_charge_USD,0.0
Missed_Work_Penalty_USD,500.0
Travel_Labour_USD,125.0
Total_Grid_Energy_kWh,30.96
Total_CO2_Emissions_kg,8.41
NCD_Peak_kW,2.81
OPD_Peak_kW,0.0
Missed_Work_hour,0.25
MCS_Transit_hour,0.5
Infeasible_windows,0
MPC_loop_time_s,84.64
