Metric,Value
Total_Cost_USD,1125.0
Total_Energy_Cost_USD,0.0
Total_CO2_Cost_USD,0.0
NC_demand_charge_USD,0.0
OP_demand_charge_USD,0.0
Missed_Work_Penalty_USD,1000.0
Travel_Labour_USD,125.0
Total_Grid_Energy_kWh,0.0
Total_CO2_Emissions_kg,0.0
NCD_Peak_kW,0.0
OPD_Peak_kW,0.0
Missed_Work_hour,0.5
MCS_Transit_hour,0.5
Overnight_Recharge_kWh,30.6
Overnight_Cost_USD,7.99
Softened_windows,0
Infeasible_windows,0
MPC_loop_time_s,59.05
