day,gstep,k,clock,price,co2,grid_kW,dch_kW,work_kW,soe_mcs,soe_cev1,soe_cev2,mcs_node,est_dig,est_load,est_trv,est_idle,unc_dig,unc_load,unc_trv,unc_idle,n_obs
1,1,1,D1 08:00,0.387,0.184844771,0.0,0.0,4.79,250.0,13.602500000000001,NaN,1,4.79,3.16,4.71,0.0,0.9580000000000001,0.6320000000000001,0.9420000000000001,0.05,1
1,2,2,D1 08:15,0.387,0.18748346,0.0,0.0,4.79,247.5,12.405000000000001,NaN,0,4.79,3.16,4.71,0.0,0.9580000000000001,0.6320000000000001,0.9420000000000001,0.05,2
1,3,3,D1 08:30,0.387,0.187221003,0.0,0.0,4.79,247.5,11.207500000000001,NaN,2,4.79,3.16,4.71,0.0,0.9580000000000001,0.6320000000000001,0.9420000000000001,0.05,3
1,4,4,D1 08:45,0.387,0.174390042,0.0,0.0,4.79,247.49999999999994,10.010000000000002,NaN,2,4.79,3.16,4.71,0.0,0.9580000000000001,0.6320000000000001,0.9420000000000001,0.05,4
1,5,5,D1 09:00,0.387,0.169646374,0.0,0.0,4.71,247.49999999999994,8.832500000000001,NaN,2,4.79,3.16,4.71,0.0,0.9580000000000001,0.6320000000000001,0.9420000000000001,0.05,5
1,6,6,D1 09:15,0.387,0.179379949,0.0,0.0,4.79,247.49999999999994,7.635000000000002,NaN,2,4.79,3.16,4.71,0.0,0.9580000000000001,0.6320000000000001,0.9420000000000001,0.05,6
1,7,7,D1 09:30,0.387,0.173308146,0.0,0.0,4.79,247.49999999999994,6.437500000000002,NaN,2,4.79,3.16,4.71,0.0,0.9580000000000001,0.6320000000000001,0.9420000000000001,0.05,7
1,8,8,D1 09:45,0.387,0.169005444,0.0,0.0,3.16,247.49999999999997,5.647500000000002,NaN,2,4.801132646908664,3.1384060683972135,4.288604309551228,0.036501916803890894,0.11159945442694351,0.25821929438620905,0.2512903405207214,0.029417714361979163,8
1,9,9,D1 10:00,0.261,0.166717776,0.0,0.0,4.79,247.5,4.450000000000002,NaN,2,4.801132646908664,3.1384060683972135,4.288604309551228,0.036501916803890894,0.11159945442694351,0.25821929438620905,0.2512903405207214,0.029417714361979163,9
1,10,10,D1 10:15,0.261,0.171203448,0.0,7.967371520172435,0.0,245.40332328416514,6.441842880043111,NaN,2,4.801132646908664,3.1384060683972135,4.288604309551228,0.036501916803890894,0.11159945442694351,0.25821929438620905,0.2512903405207214,0.029417714361979163,10
1,11,11,D1 10:30,0.261,0.169740242,0.0,0.0,4.71,245.40332328416514,5.2643428800431105,NaN,2,4.801132646908664,3.1384060683972135,4.288604309551228,0.036501916803890894,0.11159945442694351,0.25821929438620905,0.2512903405207214,0.029417714361979163,11
