Time_Period,Time_Start_Label,Time_End_Label,Total_Charging_Power_kW,Total_Discharging_Power_kW,Net_Power_kW
84,D1 04:45,D1 05:00,2.9026759043228854,0.0,2.9026759043228854
85,D1 05:00,D1 05:15,2.9026759043228854,0.0,2.9026759043228854
86,D1 05:15,D1 05:30,2.9026759043228854,0.0,2.9026759043228854
87,D1 05:30,D1 05:45,2.9026759043228854,0.0,2.9026759043228854
88,D1 05:45,D1 06:00,2.9026759043228854,0.0,2.9026759043228854
89,D1 06:00,D1 06:15,2.902675904251258,0.0,2.902675904251258
90,D1 06:15,D1 06:30,2.9026759043229107,0.0,2.9026759043229107
91,D1 06:30,D1 06:45,2.9026759043229107,0.0,2.9026759043229107
92,D1 06:45,D1 07:00,2.9026759043229107,0.0,2.9026759043229107
93,D1 07:00,D1 07:15,2.9026759043229107,0.0,2.9026759043229107
94,D1 07:15,D1 07:30,2.9026759043229107,0.0,2.9026759043229107
95,D1 07:30,D1 07:45,2.9026759043227615,0.0,2.9026759043227615
96,D1 07:45,D1 08:00,2.902675904322941,0.0,2.902675904322941
