mode,approach,total_energy_kWh,total_cost_USD,total_co2_kg,nc_peak_kW,op_peak_kW,missed_h,shortfall_kWh
normal,A0,27.78889050882052,8.510570769659006,6.843673601421461,1.9963021378680423,-0.0,0.0,0.0
normal,A1R,26.771931360353243,8.614512496708786,6.368347663885782,1.912671021014998,0.0,0.0,0.0
normal,A2R,26.64207100307157,8.631938082633852,6.426206072572865,1.9097892281456552,0.0,0.0,0.0
near_mean,A0,27.78889050882052,8.510570769659006,6.843673601421461,1.9963021378680423,-0.0,0.0,0.0
near_mean,A1R,26.600673833136106,8.549723287372757,6.318971750695807,1.9110244006778407,0.0,0.0,0.0
near_mean,A2R,26.532514693174587,8.383163677153888,7.099079380585141,2.3145672098974126,0.0,0.0,0.0
high,A0,27.78889050882052,8.510570769659006,6.843673601421461,1.9963021378680423,-0.0,0.4865317105948437,0.021710526315239065
high,A1R,28.35093503177963,9.096425393063145,6.759005231911626,2.134988231113862,0.0,0.25,0.0
high,A2R,29.840237192920778,9.49733367385593,8.107850861770652,2.712748835720192,0.0,0.0,0.0
low,A0,27.78889050882052,8.510570769659006,6.843673601421461,1.9963021378680423,-0.0,0.0,0.0
low,A1R,23.14532378745656,6.986106487113973,5.393644322974787,1.7881483622200953,0.0,0.0,0.0
low,A2R,23.154592156608352,7.041733552497804,5.803130850618688,1.8809355014526679,0.0,0.0,0.0
spread_wide,A0,27.78889050882052,8.510570769659006,6.843673601421461,1.9963021378680423,-0.0,0.0,0.0
spread_wide,A1R,25.822521304209747,8.304291620300528,6.1362648869399585,1.8491355958514526,0.0,0.0,0.0
spread_wide,A2R,25.828344217691104,8.19371522574089,6.968761450106884,2.3055831506732725,0.0,0.0,0.0
