Metric,A0,A1S,A2S
Total_Discharge_kWh,25.079,26.097,26.963
Total_Work_kWh,26.915,26.007,26.915
N_Capped_Intervals,3,0,0
N_Infeasible_Windows,0,0,0
Missed_Work_hour,0.498,0.25,0.0
Missed_Work_Penalty_USD,996.57,500.0,0.0
