label,mode,seed,n_day_run,time_limit_sec,status,elapsed_sec,started_at,finished_at,out_dir,error
001_GroundTruth_seed1_1200s,live_data,1,1,1200.0,OK,9511.0,2026-09-06 15:42:32,2026-09-06 18:21:03,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/001_GroundTruth_seed1_1200s,
002_GroundTruth_seed2_1200s,live_data,2,1,1200.0,OK,9720.5,2026-09-06 18:21:03,2026-09-06 21:03:03,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/002_GroundTruth_seed2_1200s,
003_GroundTruth_seed3_1200s,live_data,3,1,1200.0,OK,10473.8,2026-09-06 21:03:03,2026-09-06 23:57:37,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/003_GroundTruth_seed3_1200s,
004_GroundTruth_seed4_1200s,live_data,4,1,1200.0,OK,11258.9,2026-09-06 23:57:37,2026-09-07 03:05:16,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/004_GroundTruth_seed4_1200s,
005_GroundTruth_seed5_1200s,live_data,5,1,1200.0,OK,10772.6,2026-09-07 03:05:16,2026-09-07 06:04:49,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/005_GroundTruth_seed5_1200s,
006_GroundTruth_seed6_1200s,live_data,6,1,1200.0,OK,11154.5,2026-09-07 06:04:49,2026-09-07 09:10:43,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/006_GroundTruth_seed6_1200s,
007_GroundTruth_seed7_1200s,live_data,7,1,1200.0,OK,10003.3,2026-09-07 09:10:43,2026-09-07 11:57:26,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/007_GroundTruth_seed7_1200s,
008_GroundTruth_seed8_1200s,live_data,8,1,1200.0,OK,10516.5,2026-09-07 11:57:26,2026-09-07 14:52:43,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/008_GroundTruth_seed8_1200s,
009_GroundTruth_seed9_1200s,live_data,9,1,1200.0,OK,12853.9,2026-09-07 14:52:43,2026-09-07 18:26:57,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/009_GroundTruth_seed9_1200s,
010_GroundTruth_seed10_1200s,live_data,10,1,1200.0,OK,12150.7,2026-09-07 18:26:57,2026-09-07 21:49:27,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/010_GroundTruth_seed10_1200s,
011_GroundTruth_seed11_1200s,live_data,11,1,1200.0,OK,10552.4,2026-09-07 21:49:27,2026-09-08 00:45:20,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/011_GroundTruth_seed11_1200s,
012_GroundTruth_seed12_1200s,live_data,12,1,1200.0,OK,11507.0,2026-09-08 00:45:20,2026-09-08 03:57:07,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/012_GroundTruth_seed12_1200s,
013_GroundTruth_seed13_1200s,live_data,13,1,1200.0,OK,12440.7,2026-09-08 03:57:07,2026-09-08 07:24:28,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/013_GroundTruth_seed13_1200s,
014_GroundTruth_seed14_1200s,live_data,14,1,1200.0,OK,11759.4,2026-09-08 07:24:28,2026-09-08 10:40:27,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/014_GroundTruth_seed14_1200s,
015_GroundTruth_seed15_1200s,live_data,15,1,1200.0,OK,9314.0,2026-09-08 10:40:27,2026-09-08 13:15:41,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/015_GroundTruth_seed15_1200s,
016_GroundTruth_seed16_1200s,live_data,16,1,1200.0,OK,10318.1,2026-09-08 13:15:41,2026-09-08 16:07:39,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/016_GroundTruth_seed16_1200s,
017_GroundTruth_seed17_1200s,live_data,17,1,1200.0,OK,9582.8,2026-09-08 16:07:39,2026-09-08 18:47:22,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/017_GroundTruth_seed17_1200s,
018_GroundTruth_seed18_1200s,live_data,18,1,1200.0,OK,9890.0,2026-09-08 18:47:22,2026-09-08 21:32:12,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/018_GroundTruth_seed18_1200s,
019_GroundTruth_seed19_1200s,live_data,19,1,1200.0,OK,16089.4,2026-09-08 21:32:12,2026-09-09 02:00:21,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/019_GroundTruth_seed19_1200s,
020_GroundTruth_seed20_1200s,live_data,20,1,1200.0,OK,10891.1,2026-09-09 02:00:21,2026-09-09 05:01:52,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/020_GroundTruth_seed20_1200s,
021_GroundTruth_seed21_1200s,live_data,21,1,1200.0,OK,9757.7,2026-09-09 05:01:52,2026-09-09 07:44:30,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/021_GroundTruth_seed21_1200s,
022_GroundTruth_seed22_1200s,live_data,22,1,1200.0,OK,9993.4,2026-09-09 07:44:30,2026-09-09 10:31:04,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/022_GroundTruth_seed22_1200s,
023_GroundTruth_seed23_1200s,live_data,23,1,1200.0,OK,11088.8,2026-09-09 10:31:04,2026-09-09 13:35:52,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/023_GroundTruth_seed23_1200s,
024_GroundTruth_seed24_1200s,live_data,24,1,1200.0,OK,10016.4,2026-09-09 13:35:52,2026-09-09 16:22:49,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/024_GroundTruth_seed24_1200s,
025_GroundTruth_seed25_1200s,live_data,25,1,1200.0,OK,11373.0,2026-09-09 16:22:49,2026-09-09 19:32:22,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/025_GroundTruth_seed25_1200s,
026_GroundTruth_seed26_1200s,live_data,26,1,1200.0,OK,11909.2,2026-09-09 19:32:22,2026-09-09 22:50:51,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/026_GroundTruth_seed26_1200s,
027_GroundTruth_seed27_1200s,live_data,27,1,1200.0,OK,10119.5,2026-09-09 22:50:51,2026-09-10 01:39:31,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/027_GroundTruth_seed27_1200s,
028_GroundTruth_seed28_1200s,live_data,28,1,1200.0,OK,10046.1,2026-09-10 01:39:31,2026-09-10 04:26:57,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/028_GroundTruth_seed28_1200s,
029_GroundTruth_seed29_1200s,live_data,29,1,1200.0,OK,10876.7,2026-09-10 04:26:57,2026-09-10 07:28:13,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/029_GroundTruth_seed29_1200s,
030_GroundTruth_seed30_1200s,live_data,30,1,1200.0,OK,9314.7,2026-09-10 07:28:13,2026-09-10 10:03:28,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/030_GroundTruth_seed30_1200s,
031_GroundTruth_seed31_1200s,live_data,31,1,1200.0,OK,10043.6,2026-09-10 10:03:28,2026-09-10 12:50:52,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/031_GroundTruth_seed31_1200s,
032_GroundTruth_seed32_1200s,live_data,32,1,1200.0,OK,14389.8,2026-09-10 12:50:52,2026-09-10 16:50:41,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/032_GroundTruth_seed32_1200s,
033_GroundTruth_seed33_1200s,live_data,33,1,1200.0,OK,11454.8,2026-09-10 16:50:41,2026-09-10 20:01:36,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/033_GroundTruth_seed33_1200s,
034_GroundTruth_seed34_1200s,live_data,34,1,1200.0,OK,10815.7,2026-09-10 20:01:36,2026-09-10 23:01:52,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_GroundTruth_100Runs/034_GroundTruth_seed34_1200s,
