Time_Period,Clock,A1R_MCS1_Location,A2R_MCS1_Location
206,11:15,2,2
207,11:30,2,2
208,11:45,2,2
209,12:00,2,2
210,12:15,2,2
211,12:30,2,2
212,12:45,2,2
213,13:00,2,2
214,13:15,2,2
215,13:30,2,2
216,13:45,2,2
217,14:00,2,2
218,14:15,2,2
219,14:30,2,2
220,14:45,2,2
221,15:00,2,2
222,15:15,2,2
223,15:30,2,2
224,15:45,2,2
225,16:00,2,2
226,16:15,2,2
227,16:30,2,2
228,16:45,2,2
229,17:00,2,2
230,17:15,2,2
231,17:30,2,2
232,17:45,2,0
233,18:00,2,1
234,18:15,0,1
235,18:30,1,1
236,18:45,1,1
237,19:00,1,1
238,19:15,1,1
239,19:30,1,1
240,19:45,1,1
241,20:00,1,1
242,20:15,1,1
243,20:30,1,1
244,20:45,1,1
245,21:00,1,1
246,21:15,1,1
247,21:30,1,1
248,21:45,1,1
249,22:00,1,1
250,22:15,1,1
251,22:30,1,1
252,22:45,1,1
253,23:00,1,1
254,23:15,1,1
255,23:30,1,1
256,23:45,1,1
257,00:00,1,1
258,00:15,1,1
259,00:30,1,1
260,00:45,1,1
261,01:00,1,1
262,01:15,1,1
263,01:30,1,1
264,01:45,1,1
265,02:00,1,1
266,02:15,1,1
267,02:30,1,1
268,02:45,1,1
269,03:00,1,1
270,03:15,1,1
271,03:30,1,1
272,03:45,1,1
273,04:00,1,1
274,04:15,1,1
275,04:30,1,1
276,04:45,1,1
277,05:00,1,1
278,05:15,1,1
279,05:30,1,1
280,05:45,1,1
281,06:00,1,1
282,06:15,1,1
283,06:30,1,1
284,06:45,1,1
285,07:00,1,1
286,07:15,1,1
287,07:30,1,1
288,07:45,1,1
289,08:00,0,0
290,08:15,2,2
291,08:30,2,2
292,08:45,2,2
293,09:00,2,2
294,09:15,2,2
295,09:30,2,2
296,09:45,2,2
297,10:00,2,2
298,10:15,2,2
299,10:30,2,2
300,10:45,2,2
301,11:00,2,2
302,11:15,2,2
303,11:30,2,2
304,11:45,2,2
305,12:00,2,2
306,12:15,2,2
307,12:30,2,2
308,12:45,2,2
309,13:00,2,2
310,13:15,2,2
311,13:30,2,2
312,13:45,2,2
313,14:00,2,2
314,14:15,2,2
315,14:30,2,2
316,14:45,2,2
317,15:00,2,2
318,15:15,2,2
319,15:30,2,2
320,15:45,2,2
321,16:00,2,2
322,16:15,2,2
323,16:30,2,2
324,16:45,2,2
325,17:00,2,2
326,17:15,2,2
327,17:30,2,2
328,17:45,2,0
329,18:00,2,1
330,18:15,2,1
331,18:30,2,1
332,18:45,0,1
333,19:00,1,1
334,19:15,1,1
335,19:30,1,1
336,19:45,1,1
337,20:00,1,1
338,20:15,1,1
339,20:30,1,1
340,20:45,1,1
341,21:00,1,1
342,21:15,1,1
343,21:30,1,1
344,21:45,1,1
345,22:00,1,1
346,22:15,1,1
347,22:30,1,1
348,22:45,1,1
349,23:00,1,1
350,23:15,1,1
351,23:30,1,1
352,23:45,1,1
353,00:00,1,1
354,00:15,1,1
355,00:30,1,1
356,00:45,1,1
357,01:00,1,1
358,01:15,1,1
359,01:30,1,1
360,01:45,1,1
361,02:00,1,1
362,02:15,1,1
363,02:30,1,1
364,02:45,1,1
365,03:00,1,1
366,03:15,1,1
367,03:30,1,1
368,03:45,1,1
369,04:00,1,1
370,04:15,1,1
371,04:30,1,1
372,04:45,1,1
373,05:00,1,1
