min_activity_duration_s,dist_threshold,idle_window,fsm_min_dwell_seconds,enable_fsm,override_travelling_only,accuracy_percent,cycles_per_hr,productivity_lcy_hr,run_folder
1.0,0.05,20,1.0,True,True,40.45,117.09,178.18,Run_00001
1.0,0.05,20,1.0,True,False,44.95,122.90,187.04,Run_00002
1.0,0.05,20,1.0,False,True,42.19,179.63,273.32,Run_00003
1.0,0.05,20,1.0,False,False,47.36,186.90,284.39,Run_00004
1.0,0.05,20,2.0,True,True,39.32,97.45,149.38,Run_00005
1.0,0.05,20,2.0,True,False,43.07,101.09,154.95,Run_00006
1.0,0.05,20,2.0,False,True,42.19,179.63,273.32,Run_00007
1.0,0.05,20,2.0,False,False,47.36,186.90,284.39,Run_00008
1.0,0.05,20,3.0,True,True,38.29,81.45,123.95,Run_00009
1.0,0.05,20,3.0,True,False,41.63,84.00,127.83,Run_00010
1.0,0.05,20,3.0,False,True,42.19,179.63,273.32,Run_00011
1.0,0.05,20,3.0,False,False,47.36,186.90,284.39,Run_00012
1.0,0.05,30,1.0,True,True,40.13,116.72,177.63,Run_00013
1.0,0.05,30,1.0,True,False,44.20,122.54,186.48,Run_00014
1.0,0.05,30,1.0,False,True,41.90,180.72,274.98,Run_00015
1.0,0.05,30,1.0,False,False,46.58,183.63,279.41,Run_00016
1.0,0.05,30,2.0,True,True,39.10,97.45,149.38,Run_00017
1.0,0.05,30,2.0,True,False,42.71,101.81,156.07,Run_00018
1.0,0.05,30,2.0,False,True,41.90,180.72,274.98,Run_00019
1.0,0.05,30,2.0,False,False,46.58,183.63,279.41,Run_00020
1.0,0.05,30,3.0,True,True,38.06,81.45,123.95,Run_00021
1.0,0.05,30,3.0,True,False,41.46,85.81,130.59,Run_00022
1.0,0.05,30,3.0,False,True,41.90,180.72,274.98,Run_00023
1.0,0.05,30,3.0,False,False,46.58,183.63,279.41,Run_00024
1.0,0.05,40,1.0,True,True,40.02,116.36,177.08,Run_00025
1.0,0.05,40,1.0,True,False,43.87,121.81,185.38,Run_00026
1.0,0.05,40,1.0,False,True,41.73,180.72,274.98,Run_00027
1.0,0.05,40,1.0,False,False,46.17,182.90,278.30,Run_00028
