mode,approach,total_energy_kWh,total_cost_USD,total_co2_kg,nc_peak_kW,op_peak_kW,missed_h,shortfall_kWh
normal,A0,27.78889050882052,8.510570769659006,6.843673601421461,1.9963021378680423,-0.0,0.0,0.0
normal,A1S,26.4718110127612,8.507517425463918,6.285693186649368,1.901592026803141,0.0,0.0,0.0
normal,A2S,26.362932728667996,8.149600848367212,6.695223389333578,2.0762078016023704,0.0,0.0,0.0
near_mean,A0,27.78889050882052,8.510570769659006,6.843673601421461,1.9963021378680423,-0.0,0.0,0.0
near_mean,A1S,26.447686009519384,8.497204452563338,6.2778071626129215,1.9027850656974377,0.0,0.0,0.0
near_mean,A2S,26.395385240737973,8.244185352329001,6.87860620900844,2.1679343085343636,0.0,0.0,0.0
high,A0,27.78889050882052,8.510570769659006,6.843673601421461,1.9963021378680423,-0.0,0.498283779990093,0.021710526315239065
high,A1S,28.916884399091572,9.163013542544174,7.270296620486208,2.2570480274268783,0.0,0.25,0.0
high,A2S,29.916977314265544,9.252822077504485,7.553902733246909,2.2928428547321715,0.0,0.0,0.0
low,A0,27.78889050882052,8.510570769659006,6.843673601421461,1.9963021378680423,-0.0,0.0,0.0
low,A1S,23.13829525533159,6.771384383365608,5.504964287785686,1.9083802949985276,0.0,0.0,0.0
low,A2S,23.040668651214425,7.112428431123691,5.767557244289924,1.7441490685039216,0.0,0.0,0.0
spread_wide,A0,27.78889050882052,8.510570769659006,6.843673601421461,1.9963021378680423,-0.0,0.0,0.0
spread_wide,A1S,26.383318435954582,8.448555999898277,6.238625481278182,1.9286132838724916,0.0,0.0,0.0
spread_wide,A2S,26.26982403962285,7.997960537634083,6.573689199374282,2.1296463124833673,0.0,0.0,0.0
