Time_Period,Clock,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A2R_minus_A1R_cum_kWh
1,08:00,0.0,0.0,4.367018249215561,Digging,Traveling,0.0,0.0,4.367018249215561,Digging,Idle,0.0
2,08:15,0.0,0.0,4.282357668408671,Digging,Idle,0.0,0.0,4.282357668408671,Digging,Traveling,0.0
3,08:30,0.0,0.0,4.303029593425177,Digging,Idle,8.0,2.0,0.0,Charging,Serving CEV,2.0
4,08:45,7.636847906367798,1.9092119765919495,0.0,Charging,Serving CEV,0.0,2.0,4.303029593425177,Digging,Idle,0.09078802340805048
5,09:00,0.0,1.9092119765919495,4.243406209328333,Digging,Idle,0.0,2.0,2.736592896007588,Loading/Swinging,Idle,0.09078802340805048
6,09:15,-1.6342482922482304e-13,1.9092119765919087,3.722201019758783,Traveling,Idle,0.0,2.0,3.722201019758783,Traveling,Idle,0.09078802340809133
7,09:30,8.0,3.9092119765919087,0.0,Charging,Serving CEV,8.0,4.0,0.0,Charging,Serving CEV,0.09078802340809133
8,09:45,0.0,3.9092119765919087,4.153169249934159,Digging,Idle,0.0,4.0,4.243406209328333,Digging,Traveling,0.09078802340809133
9,10:00,8.0,5.909211976591909,0.0,Charging,Serving CEV,0.0,4.0,4.153169249934159,Digging,Charging (grid),-1.9092119765919087
10,10:15,0.0,5.909211976591909,4.273312893817478,Digging,Idle,0.0,4.0,4.273312893817478,Digging,Charging (grid),-1.9092119765919087
11,10:30,0.0,5.909211976591909,4.295138908084109,Digging,Idle,0.0,4.0,4.295138908084109,Digging,Charging (grid),-1.9092119765919087
12,10:45,8.0,7.909211976591909,0.0,Charging,Serving CEV,0.0,4.0,0.0,Idle,Charging (grid),-3.9092119765919087
13,11:00,0.0,7.909211976591909,4.374301284916125,Digging,Traveling,0.0,4.0,3.827436748612714,Traveling,Charging (grid),-3.9092119765919087
14,11:15,0.0,7.909211976591909,3.827436748612714,Traveling,Charging (grid),0.0,4.0,4.374301284916125,Digging,Idle,-3.9092119765919087
15,11:30,0.0,7.909211976591909,2.736592896007588,Loading/Swinging,Charging (grid),0.0,4.0,4.35471334235815,Digging,Charging (grid),-3.9092119765919087
16,11:45,0.0,7.909211976591909,4.35471334235815,Digging,Charging (grid),0.0,4.0,4.315963615822609,Digging,Charging (grid),-3.9092119765919087
17,12:00,0.0,7.909211976591909,0.0,Idle,Charging (grid),0.0,4.0,0.0,Idle,Charging (grid),-3.9092119765919087
18,12:15,0.0,7.909211976591909,0.0,Idle,Charging (grid),0.0,4.0,0.0,Idle,Charging (grid),-3.9092119765919087
19,12:30,0.0,7.909211976591909,0.0,Idle,Charging (grid),0.0,4.0,0.0,Idle,Traveling,-3.9092119765919087
20,12:45,0.0,7.909211976591909,0.0,Idle,Charging (grid),6.902996436191107,5.725749109047777,0.0,Charging,Serving CEV,-2.183462867544132
21,13:00,0.0,7.909211976591909,0.0,Idle,Charging (grid),1.9510044497113652,6.213500221475618,0.0,Charging,Serving CEV,-1.6957117551162906
22,13:15,0.0,7.909211976591909,0.0,Idle,Charging (grid),8.0,8.213500221475618,0.0,Charging,Serving CEV,0.3042882448837094
23,13:30,0.0,7.909211976591909,0.0,Idle,Charging (grid),0.0,8.213500221475618,0.0,Idle,Idle,0.3042882448837094
24,13:45,0.0,7.909211976591909,0.0,Idle,Charging (grid),8.0,10.213500221475618,0.0,Charging,Serving CEV,2.3042882448837094
25,14:00,0.0,7.909211976591909,2.766492414438155,Loading/Swinging,Charging (grid),0.0,10.213500221475618,4.34108729357784,Digging,Idle,2.3042882448837094
26,14:15,0.0,7.909211976591909,2.758068444856586,Loading/Swinging,Charging (grid),0.0,10.213500221475618,3.9161551410979514,Traveling,Idle,2.3042882448837094
27,14:30,0.0,7.909211976591909,3.9161551410979514,Traveling,Charging (grid),0.0,10.213500221475618,2.766492414438155,Loading/Swinging,Idle,2.3042882448837094
28,14:45,0.0,7.909211976591909,4.315963615822609,Digging,Traveling,0.0,10.213500221475618,2.758068444856586,Loading/Swinging,Idle,2.3042882448837094
29,15:00,8.0,9.909211976591909,0.0,Charging,Serving CEV,8.0,12.213500221475618,0.0,Charging,Serving CEV,2.3042882448837094
30,15:15,0.0,9.909211976591909,4.34108729357784,Digging,Idle,0.0,12.213500221475618,2.781679146249345,Loading/Swinging,Idle,2.3042882448837094
31,15:30,0.0,9.909211976591909,2.781679146249345,Loading/Swinging,Idle,0.0,12.213500221475618,4.164603327846952,Digging,Idle,2.3042882448837094
32,15:45,0.41586969846495053,10.013179401208147,0.0,Charging,Serving CEV,0.0,12.213500221475618,3.909446892767917,Traveling,Idle,2.2003208202674713
33,16:00,0.0,10.013179401208147,4.164603327846952,Digging,Idle,0.0,12.213500221475618,2.5855326771046263,Loading/Swinging,Idle,2.2003208202674713
34,16:15,0.0,10.013179401208147,3.909446892767917,Traveling,Idle,8.0,14.213500221475618,0.0,Charging,Serving CEV,4.200320820267471
35,16:30,0.0,10.013179401208147,2.5855326771046263,Loading/Swinging,Idle,8.0,16.21350022147562,0.0,Charging,Serving CEV,6.200320820267473
36,16:45,0.0,10.013179401208147,2.723965325503851,Loading/Swinging,Idle,0.0,16.21350022147562,2.723965325503851,Loading/Swinging,Idle,6.200320820267473
37,17:00,5.4136365666316895,11.366588542866069,0.0,Charging,Serving CEV,8.0,18.21350022147562,0.0,Charging,Serving CEV,6.846911678609551
38,17:15,7.71507175965096,13.295356482778809,0.0,Charging,Serving CEV,2.8859699549791817,18.934992710220417,0.0,Charging,Serving CEV,5.639636227441608
