Metric,A0,A1S
Total_Discharge_kWh,130.309,136.194
Total_Work_kWh,136.344,135.834
N_Capped_Intervals,9,2
N_Infeasible_Windows,0,0
Missed_Work_hour,1.283,0.293
Missed_Work_Penalty_USD,2565.63,585.69
