Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A1R_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.764336498431121,Digging,Traveling,0.0,0.0,4.764336498431121,Digging,Traveling,0.0
2,08:15,5.04473684210517,1.2611842105262925,0.0,Charging,Serving CEV,5.015091050979354,1.2537727627448385,0.0,Charging,Serving CEV,-0.0074114477814539725
3,08:30,-2.1227464230832993e-12,1.2611842105257618,4.989984663182659,Digging,Idle,0.0,1.2537727627448385,4.989984663182659,Digging,Idle,-0.007411447780923286
4,08:45,0.0,1.2611842105257618,4.6363591868503535,Digging,Idle,-4.7666603599609987e-14,1.2537727627448265,4.6363591868503535,Digging,Idle,-0.007411447780935276
5,09:00,7.999999999999997,3.2611842105257614,0.0,Charging,Serving CEV,8.0,3.2537727627448265,0.0,Charging,Serving CEV,-0.007411447780934832
6,09:15,0.0,3.2611842105257614,4.517112418656664,Digging,Idle,0.0,3.2537727627448265,4.517112418656664,Digging,Idle,-0.007411447780934832
7,09:30,0.0,3.2611842105257614,5.137897960482434,Traveling,Idle,0.0,3.2537727627448265,5.137897960482434,Traveling,Idle,-0.007411447780934832
8,09:45,8.0,5.261184210525761,0.0,Charging,Serving CEV,8.0,5.253772762744827,0.0,Charging,Serving CEV,-0.007411447780934388
9,10:00,0.0,5.261184210525761,4.336638499868317,Digging,Traveling,0.0,5.253772762744827,4.336638499868317,Digging,Idle,-0.007411447780934388
10,10:15,0.0,5.261184210525761,5.008074212365046,Digging,Charging (grid),0.0,5.253772762744827,5.008074212365046,Digging,Idle,-0.007411447780934388
11,10:30,0.0,5.261184210525761,4.9644221838317835,Digging,Charging (grid),0.0,5.253772762744827,4.9644221838317835,Digging,Idle,-0.007411447780934388
12,10:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),6.563041184460322,6.894533058859907,0.0,Charging,Serving CEV,1.6333488483341458
13,11:00,0.0,5.261184210525761,4.778902569832251,Digging,Charging (grid),0.0,6.894533058859907,4.778902569832251,Digging,Idle,1.6333488483341458
14,11:15,0.0,5.261184210525761,4.4927734972254285,Traveling,Charging (grid),0.0,6.894533058859907,4.4927734972254285,Traveling,Idle,1.6333488483341458
15,11:30,0.0,5.261184210525761,4.845273315283702,Digging,Charging (grid),0.0,6.894533058859907,4.845273315283702,Digging,Idle,1.6333488483341458
16,11:45,0.0,5.261184210525761,4.6622272316452165,Digging,Charging (grid),0.0,6.894533058859907,4.6622272316452165,Digging,Idle,1.6333488483341458
17,12:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),8.0,8.894533058859906,0.0,Charging,Serving CEV,3.633348848334145
18,12:15,0.0,5.261184210525761,0.0,Idle,Charging (grid),7.999999999999423,10.894533058859762,0.0,Charging,Serving CEV,5.633348848334001
19,12:30,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,10.894533058859762,0.0,Idle,Traveling,5.633348848334001
20,12:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,10.894533058859762,0.0,Idle,Charging (grid),5.633348848334001
21,13:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,10.894533058859762,0.0,Idle,Charging (grid),5.633348848334001
