Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A1R_minus_A0_cum_kWh,A2R_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.7784182492155605,Digging,Traveling,0.0,0.0,4.7784182492155605,Digging,Traveling,0.0,0.0,4.7784182492155605,Digging,Idle,0.0,0.0
2,08:15,5.04473684210517,1.2611842105262925,0.0,Charging,Serving CEV,0.0,0.0,3.103792896007588,Loading/Swinging,Idle,0.0,0.0,4.89124233159133,Digging,Idle,-1.2611842105262925,-1.2611842105262925
3,08:30,-2.1227464230832993e-12,1.2611842105257618,4.89124233159133,Digging,Idle,0.0,0.0,4.89124233159133,Digging,Idle,0.0,0.0,4.7144295934251765,Digging,Traveling,-1.2611842105257618,-1.2611842105257618
4,08:45,0.0,1.2611842105257618,4.7144295934251765,Digging,Idle,0.0,0.0,4.7144295934251765,Digging,Idle,0.0,0.0,4.654806209328332,Digging,Idle,-1.2611842105257618,-1.2611842105257618
5,09:00,7.999999999999997,3.2611842105257614,0.0,Charging,Serving CEV,8.0,2.0,0.0,Charging,Serving CEV,8.0,2.0,0.0,Charging,Serving CEV,-1.2611842105257614,-1.2611842105257614
6,09:15,0.0,3.2611842105257614,4.654806209328332,Digging,Idle,4.2421943983134123e-14,2.0000000000000107,4.923998980241216,Traveling,Idle,0.0,2.0,4.923998980241216,Traveling,Idle,-1.2611842105257507,-1.2611842105257614
7,09:30,0.0,3.2611842105257614,4.923998980241216,Traveling,Idle,1.8136603330276557e-12,2.000000000000464,4.654806209328332,Digging,Idle,0.0,2.0,3.103792896007588,Loading/Swinging,Idle,-1.2611842105252973,-1.2611842105257614
8,09:45,8.0,5.261184210525761,0.0,Charging,Serving CEV,0.0,2.000000000000464,4.564569249934158,Digging,Idle,0.0,2.0,4.564569249934158,Digging,Traveling,-3.2611842105252973,-3.2611842105257614
9,10:00,0.0,5.261184210525761,4.564569249934158,Digging,Traveling,0.0,2.000000000000464,4.900287106182524,Digging,Idle,0.0,2.0,3.133692414438155,Loading/Swinging,Charging (grid),-3.2611842105252973,-3.2611842105257614
10,10:15,0.0,5.261184210525761,4.900287106182524,Digging,Charging (grid),7.999999999999987,4.000000000000461,0.0,Charging,Serving CEV,0.0,2.0,0.0,Idle,Charging (grid),-1.2611842105253004,-3.2611842105257614
