replan_at,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45
10:30,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,243.699,243.699,243.699,243.699,243.699,243.669,243.669,243.669,243.669,241.732,239.627,237.522,235.416,233.311,231.206,231.206,231.206,230.893,230.893,230.893,228.788,228.788,228.788,228.788,228.788,226.683,226.683,224.578,222.472,219.972,219.972,219.972,219.972,219.972,219.972,219.972,219.972,219.972,219.972,219.972,219.972,219.972,219.972,220.655,221.337,222.02,222.702,223.385,224.067,224.749,225.432,226.114,226.797,227.479,228.162,228.844,229.527,230.209,230.891,231.574,232.256,232.939,233.621,234.304,234.986,235.669,236.351,237.033,237.716,238.398,239.081,239.763,240.446,241.128,241.811,242.493,243.176,243.858,244.54,245.223,245.905,246.588,247.27,247.953,248.635,249.318,250.0
10:45,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,243.699,243.699,243.699,243.699,243.699,243.604,243.604,243.604,243.604,243.604,243.46,241.355,239.249,237.144,235.039,235.039,235.039,235.039,235.039,232.934,232.934,232.934,232.934,232.934,230.828,230.828,228.723,226.618,224.513,222.407,219.907,219.907,219.907,219.907,219.907,219.907,219.907,219.907,219.907,219.907,219.907,219.907,219.907,220.591,221.275,221.959,222.643,223.327,224.011,224.695,225.379,226.063,226.747,227.431,228.114,228.798,229.482,230.166,230.85,231.534,232.218,232.902,233.586,234.27,234.954,235.638,236.322,237.005,237.689,238.373,239.057,239.741,240.425,241.109,241.793,242.477,243.161,243.845,244.529,245.213,245.896,246.58,247.264,247.948,248.632,249.316,250.0
11:00,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,243.699,243.699,243.699,243.699,243.699,243.699,243.699,243.699,243.699,242.077,239.972,237.866,235.761,233.656,231.551,231.551,231.551,231.551,231.551,231.551,231.551,231.551,231.551,230.809,228.704,228.704,228.704,226.599,224.494,222.388,219.888,219.888,219.888,219.888,219.888,219.888,219.888,219.888,219.888,219.888,219.888,219.888,219.888,220.573,221.257,221.941,222.626,223.31,223.994,224.679,225.363,226.047,226.732,227.416,228.101,228.785,229.469,230.154,230.838,231.522,232.207,232.891,233.575,234.26,234.944,235.628,236.313,236.997,237.682,238.366,239.05,239.735,240.419,241.103,241.788,242.472,243.156,243.841,244.525,245.209,245.894,246.578,247.263,247.947,248.631,249.316,250.0
11:15,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,243.699,243.699,243.699,243.699,243.699,243.605,243.605,243.605,243.605,241.668,239.563,237.458,235.353,233.247,231.142,231.142,231.142,231.142,231.142,231.142,231.142,230.83,230.83,230.83,230.83,228.724,228.724,226.619,224.514,222.408,219.908,219.908,219.908,219.908,219.908,219.908,219.908,219.908,219.908,219.908,219.908,219.908,219.908,220.592,221.276,221.96,222.644,223.328,224.012,224.696,225.38,226.064,226.747,227.431,228.115,228.799,229.483,230.167,230.851,231.535,232.219,232.903,233.586,234.27,234.954,235.638,236.322,237.006,237.69,238.374,239.058,239.742,240.425,241.109,241.793,242.477,243.161,243.845,244.529,245.213,245.897,246.581,247.264,247.948,248.632,249.316,250.0
11:30,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,243.699,243.699,243.699,243.699,243.699,243.524,243.524,243.524,243.524,241.587,239.481,237.376,235.271,233.166,231.06,231.06,231.06,231.06,231.06,230.274,230.274,228.168,226.063,226.063,226.063,226.063,226.063,224.432,222.327,219.827,219.827,219.827,219.827,219.827,219.827,219.827,219.827,219.827,219.827,219.827,219.827,219.827,219.827,220.513,221.198,221.884,222.57,223.256,223.941,224.627,225.313,225.999,226.684,227.37,228.056,228.742,229.427,230.113,230.799,231.485,232.17,232.856,233.542,234.228,234.913,235.599,236.285,236.971,237.656,238.342,239.028,239.714,240.399,241.085,241.771,242.457,243.142,243.828,244.514,245.2,245.885,246.571,247.257,247.943,248.628,249.314,250.0
11:45,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,243.699,243.699,243.699,243.699,243.699,243.524,243.524,243.524,243.524,241.587,239.481,237.376,235.271,233.166,231.06,231.06,231.06,231.06,230.748,228.643,228.643,228.643,226.537,226.537,226.537,226.537,226.537,224.432,222.327,219.827,219.827,219.827,219.827,219.827,219.827,219.827,219.827,219.827,219.827,219.827,219.827,219.827,219.827,220.513,221.198,221.884,222.57,223.256,223.941,224.627,225.313,225.999,226.684,227.37,228.056,228.742,229.427,230.113,230.799,231.485,232.17,232.856,233.542,234.228,234.913,235.599,236.285,236.971,237.656,238.342,239.028,239.714,240.399,241.085,241.771,242.457,243.142,243.828,244.514,245.2,245.885,246.571,247.257,247.943,248.628,249.314,250.0
12:00,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,243.699,243.699,243.699,243.699,243.699,243.524,243.524,243.524,241.613,239.507,237.402,235.297,233.191,231.086,231.086,231.086,231.086,231.086,230.774,230.774,230.774,230.774,230.774,230.774,228.668,228.668,228.668,226.563,224.458,222.353,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,220.538,221.223,221.908,222.593,223.279,223.964,224.649,225.334,226.019,226.704,227.39,228.075,228.76,229.445,230.13,230.815,231.501,232.186,232.871,233.556,234.241,234.926,235.612,236.297,236.982,237.667,238.352,239.037,239.723,240.408,241.093,241.778,242.463,243.148,243.834,244.519,245.204,245.889,246.574,247.259,247.945,248.63,249.315,250.0
12:15,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,243.699,243.699,243.699,243.699,243.699,243.524,243.524,243.524,243.524,241.613,239.507,237.402,235.297,233.191,231.086,231.086,231.086,231.086,230.774,230.774,230.774,230.774,228.668,228.668,228.668,228.668,228.668,226.563,224.458,222.353,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,220.538,221.223,221.908,222.593,223.279,223.964,224.649,225.334,226.019,226.704,227.39,228.075,228.76,229.445,230.13,230.815,231.501,232.186,232.871,233.556,234.241,234.926,235.612,236.297,236.982,237.667,238.352,239.037,239.723,240.408,241.093,241.778,242.463,243.148,243.834,244.519,245.204,245.889,246.574,247.259,247.945,248.63,249.315,250.0
12:30,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,243.699,243.699,243.699,243.699,243.699,243.524,243.524,243.524,243.524,241.418,239.313,237.208,235.103,233.191,231.086,231.086,229.825,229.825,229.825,229.825,229.825,227.72,226.089,226.089,226.089,226.089,226.089,223.984,222.353,222.353,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,220.538,221.223,221.908,222.593,223.279,223.964,224.649,225.334,226.019,226.704,227.39,228.075,228.76,229.445,230.13,230.815,231.501,232.186,232.871,233.556,234.241,234.926,235.612,236.297,236.982,237.667,238.352,239.037,239.723,240.408,241.093,241.778,242.463,243.148,243.834,244.519,245.204,245.889,246.574,247.259,247.945,248.63,249.315,250.0
12:45,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,243.699,243.699,243.699,243.699,243.699,243.524,243.524,243.524,243.524,241.418,241.3,239.195,237.09,234.984,232.879,232.879,232.879,232.879,232.879,232.879,232.879,232.879,232.879,232.879,232.879,232.879,232.879,230.774,228.668,226.563,224.458,222.353,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,219.853,220.538,221.223,221.908,222.593,223.279,223.964,224.649,225.334,226.019,226.704,227.39,228.075,228.76,229.445,230.13,230.815,231.501,232.186,232.871,233.556,234.241,234.926,235.612,236.297,236.982,237.667,238.352,239.037,239.723,240.408,241.093,241.778,242.463,243.148,243.834,244.519,245.204,245.889,246.574,247.259,247.945,248.63,249.315,250.0
