Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A0_cum_kWh
42,18:15,8.0,23.261184210525762,0.0,Charging,Serving CEV,3.222334229247043,23.69397822389174,0.0,Charging,Serving CEV,0.432794013365978
43,18:30,0.0,23.261184210525762,0.0,Idle,Idle,0.0,23.69397822389174,0.0,Idle,Idle,0.432794013365978
44,18:45,7.273157894739047,25.079473684210523,0.0,Charging,Serving CEV,0.0,23.69397822389174,0.0,Idle,Traveling,-1.3854954603187828
45,19:00,0.0,25.079473684210523,0.0,Idle,Idle,0.0,23.69397822389174,0.0,Idle,Idle,-1.3854954603187828
46,19:15,0.0,25.079473684210523,0.0,Idle,Idle,0.0,23.69397822389174,0.0,Idle,Idle,-1.3854954603187828
47,19:30,0.0,25.079473684210523,0.0,Idle,Idle,0.0,23.69397822389174,0.0,Idle,Idle,-1.3854954603187828
48,19:45,0.0,25.079473684210523,0.0,Idle,Idle,0.0,23.69397822389174,0.0,Idle,Idle,-1.3854954603187828
49,20:00,0.0,25.079473684210523,0.0,Idle,Idle,0.0,23.69397822389174,0.0,Idle,Idle,-1.3854954603187828
50,20:15,0.0,25.079473684210523,0.0,Idle,Traveling,0.0,23.69397822389174,0.0,Idle,Idle,-1.3854954603187828
51,20:30,0.0,25.079473684210523,0.0,Idle,Idle,0.0,23.69397822389174,0.0,Idle,Idle,-1.3854954603187828
52,20:45,0.0,25.079473684210523,0.0,Idle,Idle,0.0,23.69397822389174,0.0,Idle,Idle,-1.3854954603187828
53,21:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
54,21:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
55,21:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
56,21:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
57,22:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
58,22:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
59,22:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
60,22:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
61,23:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Idle,-1.3854954603187828
62,23:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
63,23:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
64,23:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Idle,-1.3854954603187828
65,00:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
66,00:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
67,00:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
68,00:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
69,01:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
70,01:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
71,01:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
72,01:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
73,02:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
74,02:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
75,02:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
76,02:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
77,03:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
78,03:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
79,03:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
80,03:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
81,04:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
82,04:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
83,04:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
84,04:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
85,05:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
86,05:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
87,05:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
88,05:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
89,06:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
90,06:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
91,06:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
92,06:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
93,07:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
94,07:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
95,07:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
96,07:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,23.69397822389174,0.0,Idle,Charging (grid),-1.3854954603187828
