Metric,A1S,A2S
Total_Cost_USD,568.94,79.77
Total_Energy_Cost_USD,8.32,8.27
Total_CO2_Cost_USD,0.33,0.33
NC_demand_charge_USD,40.29,39.01
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,500.0,12.16
Travel_Labour_USD,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,27.35,27.0
Total_CO2_Emissions_kg,6.69,6.65
NCD_Peak_kW,2.0,1.94
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.25,0.01
MCS_Transit_hour,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,101.07,9363.86
