day,step,clock,status,objective,gap_percent,solve_time_s
1,1,08:00,OPTIMAL,68.5412632026014,0.9869052069627191,13.894470453262329
1,2,08:15,OPTIMAL,63.756361841160675,0.9912903370231442,14.834201574325562
1,3,08:30,OPTIMAL,63.51151179077176,0.9593664424554482,14.147194385528564
1,4,08:45,OPTIMAL,63.84186375147105,0.9996238526436348,7.59536600112915
1,5,09:00,OPTIMAL,64.17219271217121,0.8102943492385096,12.83091926574707
1,6,09:15,OPTIMAL,64.57896731918883,0.73662420823287,8.901365518569946
1,7,09:30,OPTIMAL,64.14873121141197,1.845545232387555e-5,4.883283615112305
1,8,09:45,OPTIMAL,64.39631469559208,0.8296565960343618,4.036190509796143
1,9,10:00,OPTIMAL,64.19155338065983,0.9568327967227026,3.0709474086761475
1,10,10:15,OPTIMAL,59.03767727651319,0.9760921647051625,2.8997387886047363
1,11,10:30,OPTIMAL,58.83401972762014,0.09252739075339256,0.8087842464447021
1,12,10:45,OPTIMAL,58.76366116034436,0.09043887341810862,0.43791842460632324
1,13,11:00,OPTIMAL,58.60260674165326,0.1645067014565287,0.584857702255249
1,14,11:15,OPTIMAL,58.607287415504366,0.25911102456119994,0.3639333248138428
1,15,11:30,OPTIMAL,58.42197038181331,0.18466982791128495,0.6990988254547119
1,16,11:45,OPTIMAL,58.40205648473652,0.1400196463481187,0.6192960739135742
1,17,12:00,OPTIMAL,58.25418290097324,0.019160667249317573,0.5689334869384766
1,18,12:15,OPTIMAL,58.11994379244793,0.03480833147387013,0.48106884956359863
1,19,12:30,OPTIMAL,57.98552209133633,0.01952662062652317,0.34229302406311035
1,20,12:45,OPTIMAL,57.85130019113689,0.025452948493027355,0.3076291084289551
1,21,13:00,OPTIMAL,57.71727537443071,1.3927716308941138e-5,0.41964054107666016
1,22,13:15,OPTIMAL,57.58344474991949,0.03437384311003397,0.19739913940429688
1,23,13:30,OPTIMAL,52.583434749919476,0.010216620225828593,0.2287614345550537
1,24,13:45,OPTIMAL,52.55382503115278,1.9306830255039606e-7,0.18157029151916504
1,25,14:00,OPTIMAL,52.5084607765727,1.7443063909087063e-6,0.15717053413391113
1,26,14:15,OPTIMAL,52.48152463736094,2.6268350842015534e-6,0.18126583099365234
1,27,14:30,OPTIMAL,52.46800565462056,2.935189836315436e-6,0.12563872337341309
1,28,14:45,OPTIMAL,52.509918916330854,2.3124725307440333e-5,0.1503896713256836
