Metric,A0,A1S,A2S
Total_Cost_USD,69.26,68.63,72.93
Total_Energy_Cost_USD,9.11,8.01,8.8
Total_CO2_Cost_USD,0.34,0.32,0.35
NC_demand_charge_USD,39.82,40.3,43.78
OP_demand_charge_USD,-0.0,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0,0.0
Travel_Labour_USD,20.0,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0,0.0
Total_Grid_Energy_kWh,28.2,26.56,27.77
Total_CO2_Emissions_kg,6.74,6.46,6.99
NCD_Peak_kW,1.98,2.0,2.18
OPD_Peak_kW,-0.0,0.0,0.0
Missed_Work_hour,0.0,0.0,0.0
MCS_Transit_hour,1.0,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0,0.0
Infeasible_windows,0,0,0
Solve_time_s,10.68,88.41,15831.69
