Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A1S_minus_A0_cum_kWh,A2S_minus_A0_cum_kWh,A1R_minus_A0_cum_kWh,A2R_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.764336498431121,Digging,Idle,0.0,0.0,4.764336498431121,Digging,Idle,0.0,0.0,4.764336498431121,Digging,Traveling,0.0,0.0,4.764336498431121,Digging,Idle,0.0,0.0,4.764336498431121,Digging,Traveling,0.0,0.0,0.0,0.0
2,08:15,0.0,0.0,4.989984663182659,Digging,Idle,0.0,0.0,4.989984663182659,Digging,Traveling,0.0,0.0,4.989984663182659,Digging,Idle,0.0,0.0,0.0,Idle,Idle,0.0,0.0,4.989984663182659,Digging,Idle,0.0,0.0,0.0,0.0
3,08:30,0.0,0.0,4.6363591868503535,Digging,Idle,8.000000000000007,2.0000000000000018,0.0,Charging,Serving CEV,0.0,0.0,4.6363591868503535,Digging,Idle,0.0,0.0,4.989984663182659,Digging,Traveling,0.0,0.0,3.0489857920151766,Loading/Swinging,Idle,2.0000000000000018,0.0,0.0,0.0
4,08:45,0.0,0.0,4.517112418656664,Digging,Idle,0.0,2.0000000000000018,4.6363591868503535,Digging,Idle,3.854095671205498e-13,9.635239178013745e-14,4.517112418656664,Digging,Idle,0.0,0.0,4.6363591868503535,Digging,Idle,0.0,0.0,4.6363591868503535,Digging,Idle,2.0000000000000018,9.635239178013745e-14,0.0,0.0
5,09:00,0.0,0.0,0.0,Idle,Idle,0.0,2.0000000000000018,4.517112418656664,Digging,Idle,8.0,2.0000000000000964,0.0,Charging,Serving CEV,0.0,0.0,4.517112418656664,Digging,Idle,5.859576928329788,1.464894232082447,0.0,Charging,Serving CEV,2.0000000000000018,2.0000000000000964,0.0,1.464894232082447
6,09:15,0.0,0.0,5.137897960482434,Traveling,Idle,0.0,2.0000000000000018,0.0,Idle,Idle,0.0,2.0000000000000964,5.137897960482434,Traveling,Idle,0.0,0.0,5.137897960482434,Traveling,Idle,0.0,1.464894232082447,5.137897960482434,Traveling,Idle,2.0000000000000018,2.0000000000000964,0.0,1.464894232082447
7,09:30,0.0,0.0,4.336638499868317,Digging,Idle,8.0,4.000000000000002,0.0,Charging,Serving CEV,0.0,2.0000000000000964,4.336638499868317,Digging,Idle,6.943290727603237,1.7358226819008093,0.0,Charging,Serving CEV,0.0,1.464894232082447,4.517112418656664,Digging,Idle,4.000000000000002,2.0000000000000964,1.7358226819008093,1.464894232082447
8,09:45,0.0,0.0,3.0489857920151766,Loading/Swinging,Idle,0.0,4.000000000000002,5.137897960482434,Traveling,Idle,0.0,2.0000000000000964,5.008074212365046,Digging,Idle,0.0,1.7358226819008093,4.336638499868317,Digging,Idle,8.0,3.4648942320824467,0.0,Charging,Serving CEV,4.000000000000002,2.0000000000000964,1.7358226819008093,3.4648942320824467
9,10:00,0.0,0.0,3.10878482887631,Loading/Swinging,Idle,0.0,4.000000000000002,4.336638499868317,Digging,Idle,0.0,2.0000000000000964,4.9644221838317835,Digging,Idle,0.0,1.7358226819008093,5.008074212365046,Digging,Idle,0.0,3.4648942320824467,4.336638499868317,Digging,Idle,4.000000000000002,2.0000000000000964,1.7358226819008093,3.4648942320824467
10,10:15,0.0,0.0,0.0,Idle,Idle,0.0,4.000000000000002,5.008074212365046,Digging,Idle,3.704218410422145,2.9260546026056327,0.0,Charging,Serving CEV,0.0,1.7358226819008093,4.9644221838317835,Digging,Idle,0.0,3.4648942320824467,5.008074212365046,Digging,Idle,4.000000000000002,2.9260546026056327,1.7358226819008093,3.4648942320824467
11,10:30,0.0,0.0,3.091936889713172,Loading/Swinging,Idle,0.0,4.000000000000002,4.9644221838317835,Digging,Idle,-2.4268160814244767e-10,2.926054602544962,4.778902569832251,Digging,Idle,0.0,1.7358226819008093,4.778902569832251,Digging,Idle,0.0,3.4648942320824467,4.9644221838317835,Digging,Idle,4.000000000000002,2.926054602544962,1.7358226819008093,3.4648942320824467
12,10:45,0.0,0.0,4.4927734972254285,Traveling,Idle,8.0,6.000000000000002,0.0,Charging,Serving CEV,0.0,2.926054602544962,4.4927734972254285,Traveling,Idle,8.0,3.7358226819008093,0.0,Charging,Serving CEV,7.999999999999776,5.464894232082391,0.0,Charging,Serving CEV,6.000000000000002,2.926054602544962,3.7358226819008093,5.464894232082391
13,11:00,0.0,0.0,0.0,Idle,Idle,0.0,6.000000000000002,4.778902569832251,Digging,Idle,0.0,2.926054602544962,4.845273315283702,Digging,Idle,0.0,3.7358226819008093,4.4927734972254285,Traveling,Idle,0.0,5.464894232082391,4.4927734972254285,Traveling,Idle,6.000000000000002,2.926054602544962,3.7358226819008093,5.464894232082391
14,11:15,0.0,0.0,3.178041707501309,Loading/Swinging,Traveling,0.0,6.000000000000002,4.4927734972254285,Traveling,Idle,0.0,2.926054602544962,4.6622272316452165,Digging,Idle,0.0,3.7358226819008093,4.845273315283702,Digging,Idle,0.0,5.464894232082391,4.778902569832251,Digging,Idle,6.000000000000002,2.926054602544962,3.7358226819008093,5.464894232082391
15,11:30,8.0,2.0,0.0,Charging,Serving CEV,0.0,6.000000000000002,4.845273315283702,Digging,Idle,3.1361174466321913,3.71008396420301,0.0,Charging,Serving CEV,0.0,3.7358226819008093,4.6622272316452165,Digging,Idle,0.0,5.464894232082391,4.845273315283702,Digging,Idle,4.000000000000002,1.71008396420301,1.7358226819008093,3.464894232082391
16,11:45,0.0,2.0,5.008074212365046,Digging,Idle,0.0,6.000000000000002,4.6622272316452165,Digging,Idle,0.0,3.71008396420301,3.0489857920151766,Loading/Swinging,Idle,0.0,3.7358226819008093,4.872525412844321,Digging,Idle,0.0,5.464894232082391,4.6622272316452165,Digging,Idle,4.000000000000002,1.71008396420301,1.7358226819008093,3.464894232082391
17,12:00,8.000000000000002,4.0,0.0,Charging,Serving CEV,8.0,8.000000000000002,0.0,Charging,Serving CEV,0.0,3.71008396420301,0.0,Idle,Idle,0.2275369228960642,3.7927069126248254,0.0,Charging,Serving CEV,8.0,7.464894232082391,0.0,Charging,Serving CEV,4.000000000000002,-0.2899160357969901,-0.2072930873751746,3.464894232082391
18,12:15,8.0,6.0,0.0,Charging,Serving CEV,8.0,10.000000000000002,0.0,Charging,Serving CEV,8.0,5.71008396420301,0.0,Charging,Serving CEV,8.0,5.792706912624825,0.0,Charging,Serving CEV,8.0,9.46489423208239,0.0,Charging,Serving CEV,4.000000000000002,-0.2899160357969901,-0.2072930873751746,3.46489423208239
19,12:30,8.0,8.0,0.0,Charging,Serving CEV,0.0,10.000000000000002,0.0,Idle,Idle,8.0,7.71008396420301,0.0,Charging,Serving CEV,0.0,5.792706912624825,0.0,Idle,Idle,0.0,9.46489423208239,0.0,Idle,Idle,2.0000000000000018,-0.2899160357969901,-2.2072930873751746,1.46489423208239
20,12:45,8.0,10.0,0.0,Charging,Serving CEV,0.0,10.000000000000002,0.0,Idle,Idle,0.0,7.71008396420301,0.0,Idle,Idle,6.835699999999999,7.501631912624825,0.0,Charging,Serving CEV,0.0,9.46489423208239,0.0,Idle,Idle,1.7763568394002505e-15,-2.28991603579699,-2.498368087375175,-0.5351057679176101
21,13:00,8.0,12.0,0.0,Charging,Serving CEV,8.0,12.000000000000002,0.0,Charging,Serving CEV,8.0,9.71008396420301,0.0,Charging,Serving CEV,8.0,9.501631912624825,0.0,Charging,Serving CEV,0.0,9.46489423208239,0.0,Idle,Idle,1.7763568394002505e-15,-2.28991603579699,-2.498368087375175,-2.53510576791761
22,13:15,2.8096000000000103,12.702400000000003,0.0,Charging,Serving CEV,0.0,12.000000000000002,0.0,Idle,Idle,3.1103720777967263,10.487676983652191,0.0,Charging,Serving CEV,7.868700000000004,11.468806912624826,0.0,Charging,Serving CEV,8.0,11.46489423208239,0.0,Charging,Serving CEV,-0.7024000000000008,-2.2147230163478113,-1.2335930873751764,-1.2375057679176127
23,13:30,0.0,12.702400000000003,0.0,Idle,Idle,8.0,14.000000000000002,0.0,Charging,Serving CEV,8.0,12.487676983652191,0.0,Charging,Serving CEV,8.0,13.468806912624826,0.0,Charging,Serving CEV,0.0,11.46489423208239,0.0,Idle,Idle,1.2975999999999992,-0.21472301634781132,0.7664069126248236,-1.2375057679176127
24,13:45,0.0,12.702400000000003,0.0,Idle,Idle,0.0,14.000000000000002,0.0,Idle,Idle,8.0,14.487676983652191,0.0,Charging,Serving CEV,8.0,15.468806912624826,0.0,Charging,Serving CEV,8.0,13.46489423208239,0.0,Charging,Serving CEV,1.2975999999999992,1.7852769836521887,2.7664069126248236,0.7624942320823873
25,14:00,0.0,12.702400000000003,4.9644221838317835,Digging,Idle,0.0,14.000000000000002,4.872525412844321,Digging,Idle,0.0,14.487676983652191,4.872525412844321,Digging,Idle,0.0,15.468806912624826,3.0489857920151766,Loading/Swinging,Idle,0.0,13.46489423208239,4.872525412844321,Digging,Idle,1.2975999999999992,1.7852769836521887,2.7664069126248236,0.7624942320823873
26,14:15,0.0,12.702400000000003,4.778902569832251,Digging,Idle,0.0,14.000000000000002,5.2254933443060985,Digging,Idle,0.0,14.487676983652191,4.749989717804096,Traveling,Idle,0.0,15.468806912624826,4.749989717804096,Traveling,Idle,0.0,13.46489423208239,4.749989717804096,Traveling,Idle,1.2975999999999992,1.7852769836521887,2.7664069126248236,0.7624942320823873
27,14:30,0.0,12.702400000000003,4.749989717804096,Traveling,Idle,8.0,16.0,0.0,Charging,Serving CEV,0.0,14.487676983652191,5.2254933443060985,Digging,Idle,7.881375509819264,17.439150790079644,0.0,Charging,Serving CEV,0.0,13.46489423208239,3.10878482887631,Loading/Swinging,Idle,3.2975999999999974,1.7852769836521887,4.7367507900796415,0.7624942320823873
28,14:45,0.0,12.702400000000003,4.845273315283702,Digging,Idle,0.0,16.0,4.749989717804096,Traveling,Idle,0.0,14.487676983652191,3.10878482887631,Loading/Swinging,Idle,0.0,17.439150790079644,5.2254933443060985,Digging,Idle,0.0,13.46489423208239,5.2254933443060985,Digging,Idle,3.2975999999999974,1.7852769836521887,4.7367507900796415,0.7624942320823873
29,15:00,8.0,14.702400000000003,0.0,Charging,Serving CEV,0.0,16.0,3.0489857920151766,Loading/Swinging,Idle,8.0,16.487676983652193,0.0,Charging,Serving CEV,1.7774933443060545,17.883524126156157,0.0,Charging,Serving CEV,8.0,15.46489423208239,0.0,Charging,Serving CEV,1.2975999999999974,1.7852769836521905,3.1811241261561545,0.7624942320823873
30,15:15,0.0,14.702400000000003,4.6622272316452165,Digging,Idle,0.0,16.0,3.10878482887631,Loading/Swinging,Idle,0.0,16.487676983652193,3.091936889713172,Loading/Swinging,Idle,0.0,17.883524126156157,3.10878482887631,Loading/Swinging,Idle,0.0,15.46489423208239,3.091936889713172,Loading/Swinging,Idle,1.2975999999999974,1.7852769836521905,3.1811241261561545,0.7624942320823873
31,15:30,0.0,14.702400000000003,4.872525412844321,Digging,Idle,0.0,16.0,3.091936889713172,Loading/Swinging,Idle,0.0,16.487676983652193,3.178041707501309,Loading/Swinging,Idle,0.0,17.883524126156157,3.091936889713172,Loading/Swinging,Idle,0.0,15.46489423208239,3.178041707501309,Loading/Swinging,Idle,1.2975999999999974,1.7852769836521905,3.1811241261561545,0.7624942320823873
32,15:45,0.0,14.702400000000003,5.2254933443060985,Digging,Idle,7.417618223214151,17.854404555803537,0.0,Charging,Serving CEV,0.0,16.487676983652193,4.763406214464165,Traveling,Idle,7.8835217185895345,19.85440455580354,0.0,Charging,Serving CEV,0.0,15.46489423208239,4.763406214464165,Traveling,Idle,3.1520045558035346,1.7852769836521905,5.152004555803538,0.7624942320823873
33,16:00,0.0,14.702400000000003,4.763406214464165,Traveling,Idle,0.0,17.854404555803537,3.178041707501309,Loading/Swinging,Idle,0.0,16.487676983652193,3.5703346457907466,Loading/Swinging,Idle,0.0,19.85440455580354,3.178041707501309,Loading/Swinging,Idle,8.0,17.46489423208239,0.0,Charging,Serving CEV,3.1520045558035346,1.7852769836521905,5.152004555803538,2.7624942320823873
