Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A1S_minus_A0_cum_kWh,A2S_minus_A0_cum_kWh,A1R_minus_A0_cum_kWh,A2R_minus_A0_cum_kWh
34,16:15,8.0,16.702400000000004,0.0,Charging,Serving CEV,0.0,17.854404555803537,4.763406214464165,Traveling,Idle,8.0,18.487676983652193,0.0,Charging,Serving CEV,0.0,19.85440455580354,4.763406214464165,Traveling,Idle,0.0,17.46489423208239,3.5703346457907466,Loading/Swinging,Idle,1.1520045558035328,1.7852769836521887,3.1520045558035363,0.7624942320823855
35,16:30,0.0,16.702400000000004,3.5703346457907466,Loading/Swinging,Idle,0.0,17.854404555803537,3.5703346457907466,Loading/Swinging,Idle,8.0,20.487676983652193,0.0,Charging,Serving CEV,0.0,19.85440455580354,3.5703346457907466,Loading/Swinging,Idle,8.0,19.46489423208239,0.0,Charging,Serving CEV,1.1520045558035328,3.7852769836521887,3.1520045558035363,2.7624942320823855
36,16:45,0.0,16.702400000000004,3.293469348992297,Loading/Swinging,Idle,0.0,17.854404555803537,3.293469348992297,Loading/Swinging,Idle,0.0,20.487676983652193,3.293469348992297,Loading/Swinging,Idle,0.0,19.85440455580354,3.293469348992297,Loading/Swinging,Idle,0.0,19.46489423208239,3.293469348992297,Loading/Swinging,Idle,1.1520045558035328,3.7852769836521887,3.1520045558035363,2.7624942320823855
37,17:00,8.0,18.702400000000004,0.0,Charging,Serving CEV,8.0,19.854404555803537,0.0,Charging,Serving CEV,8.0,22.487676983652193,0.0,Charging,Serving CEV,0.6193519167485135,20.00924253499067,0.0,Charging,Serving CEV,8.0,21.46489423208239,0.0,Charging,Serving CEV,1.1520045558035328,3.7852769836521887,1.3068425349906647,2.7624942320823855
38,17:15,8.0,20.702400000000004,0.0,Charging,Serving CEV,8.0,21.854404555803537,0.0,Charging,Serving CEV,6.08626220535389,24.009242534990666,0.0,Charging,Serving CEV,8.0,22.00924253499067,0.0,Charging,Serving CEV,8.0,23.46489423208239,0.0,Charging,Serving CEV,1.1520045558035328,3.306842534990661,1.3068425349906647,2.7624942320823855
39,17:30,8.0,22.702400000000004,0.0,Charging,Serving CEV,8.0,23.854404555803537,0.0,Charging,Serving CEV,0.0,24.009242534990666,0.0,Idle,Traveling,8.0,24.00924253499067,0.0,Charging,Serving CEV,2.1773932116331025,24.009242534990666,0.0,Charging,Serving CEV,1.1520045558035328,1.3068425349906612,1.3068425349906647,1.3068425349906612
40,17:45,4.492400000000011,23.825500000000005,0.0,Charging,Serving CEV,0.6193519167485135,24.009242534990666,0.0,Charging,Serving CEV,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.00924253499067,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Traveling,0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
41,18:00,0.0,23.825500000000005,0.0,Idle,Traveling,0.0,24.009242534990666,0.0,Idle,Traveling,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.00924253499067,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
42,18:15,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.00924253499067,0.0,Idle,Traveling,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
43,18:30,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.00924253499067,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
44,18:45,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.00924253499067,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
45,19:00,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.00924253499067,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
46,19:15,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.00924253499067,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
47,19:30,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.00924253499067,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
48,19:45,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.00924253499067,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
49,20:00,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.00924253499067,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
50,20:15,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.00924253499067,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
51,20:30,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.00924253499067,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
52,20:45,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.00924253499067,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
53,21:00,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
54,21:15,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
55,21:30,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
56,21:45,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
57,22:00,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
58,22:15,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
59,22:30,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
60,22:45,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
61,23:00,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
62,23:15,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
63,23:30,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
64,23:45,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
65,00:00,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
66,00:15,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
67,00:30,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
68,00:45,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
69,01:00,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
70,01:15,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
71,01:30,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
72,01:45,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
73,02:00,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
74,02:15,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.00924253499067,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603,0.1837425349906603,0.18374253499066384,0.1837425349906603
