Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,CEV_1_Working_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh
1,1,08:00,08:15,-0.0,0.0,10.0,250.0,247.5,4.767092478519011,14.8,13.608226880370248
2,2,08:15,08:30,0.0,0.0,0.0,247.5,247.5,4.989888503122985,13.608226880370248,12.360754754589502
3,3,08:30,08:45,0.0,6.332080981641987,5.861977570020827e-14,247.5,245.83366289956788,0.0,12.360754754589502,13.943774999999999
4,4,08:45,09:00,0.0,0.0,0.0,245.83366289956788,245.83366289956788,4.640732770293178,13.943774999999999,12.783591807426705
5,5,09:00,09:15,0.0,0.0,0.0,245.83366289956788,245.83366289956788,4.522993253423279,12.783591807426705,11.652843494070884
6,6,09:15,09:30,0.0,0.0,0.0,245.83366289956788,245.83366289956788,5.172178857568042,11.652843494070884,10.359798779678874
7,7,09:30,09:45,0.0,0.0,-1.1368683772161603e-13,245.83366289956788,245.8336628995679,4.344800482854911,10.359798779678874,9.273598658965145
8,8,09:45,10:00,0.0,7.585505364139415,0.0,245.8336628995679,243.83747727742596,0.0,9.273598658965145,11.169974999999999
9,9,10:00,10:15,0.0,0.0,0.0,243.83747727742596,243.83747727742596,5.007749404624895,11.169974999999999,9.918037648843775
10,10,10:15,10:30,0.0,0.0,0.0,243.83747727742596,243.83747727742596,4.964649127546112,9.918037648843775,8.676875366957248
11,11,10:30,10:45,0.0,0.0,0.0,243.83747727742596,243.83747727742596,4.781474438176617,8.676875366957248,7.481506757413094
12,12,10:45,11:00,0.0,7.999999999999998,1.4210854715202004e-14,243.83747727742596,241.73221411953122,0.0,7.481506757413094,9.481506757413094
13,13,11:00,11:15,0.0,0.0,0.0,241.73221411953122,241.73221411953122,4.644481613881795,9.481506757413094,8.320386353942645
14,14,11:15,11:30,0.0,0.0,0.0,241.73221411953122,241.73221411953122,4.847006272893144,8.320386353942645,7.108634785719359
15,15,11:30,11:45,0.0,0.0,0.0,241.73221411953122,241.73221411953122,4.666273849038131,7.108634785719359,5.9420663234598265
16,16,11:45,12:00,0.0,0.0,0.0,241.73221411953122,241.73221411953122,4.873913910299862,5.9420663234598265,4.723587845884861
17,17,12:00,12:15,0.0,8.0,0.0,241.73221411953122,239.62695096163648,0.0,4.723587845884861,6.723587845884861
18,18,12:15,12:30,0.0,0.3056486164605623,-3.7192471324942744e-15,239.62695096163648,239.5465171151995,0.0,6.723587845884861,6.800000000000002
19,19,12:30,12:45,0.0,7.9999999999999964,1.5987211554602254e-14,239.5465171151995,237.44125395730475,0.0,6.800000000000002,8.8
20,20,12:45,13:00,0.0,8.0,0.0,237.44125395730475,235.33599079941,0.0,8.8,10.8
21,21,13:00,13:15,0.0,8.0,1.2434497875801753e-14,235.33599079941,233.23072764151527,0.0,10.8,12.8
22,22,13:15,13:30,0.0,0.0,0.0,233.23072764151527,233.23072764151527,0.0,12.8,12.8
23,23,13:30,13:45,0.0,8.0,1.2434497875801753e-14,233.23072764151527,231.12546448362053,0.0,12.8,14.8
24,24,13:45,14:00,0.0,0.0,0.0,231.12546448362053,231.12546448362053,0.0,14.8,14.8
25,25,14:00,14:15,0.0,0.0,0.0,231.12546448362053,231.12546448362053,5.222420409472866,14.8,13.494394897631784
26,26,14:15,14:30,0.0,0.0,0.0,231.12546448362053,231.12546448362053,4.345802564834247,13.494394897631784,12.407944256423223
27,27,14:30,14:45,0.0,8.0,1.2434497875801753e-14,231.12546448362053,229.0202013257258,0.0,12.407944256423223,14.407944256423223
28,28,14:45,15:00,0.0,0.0,0.0,229.0202013257258,229.0202013257258,2.77665155967331,14.407944256423223,13.713781366504895
29,29,15:00,15:15,0.0,0.0,0.0,229.0202013257258,229.0202013257258,3.3335958028439197,13.713781366504895,12.880382415793916
30,30,15:15,15:30,0.0,7.678470336824347,-3.019806626980426e-14,229.0202013257258,226.99955123708781,0.0,12.880382415793916,14.8
31,31,15:30,15:45,0.0,0.0,0.0,226.99955123708781,226.99955123708781,2.8263979653826206,14.8,14.093400508654346
32,32,15:45,16:00,0.0,0.0,0.0,226.99955123708781,226.99955123708781,2.794469295028418,14.093400508654346,13.394783184897241
33,33,16:00,16:15,0.0,0.0,-1.1368683772161603e-13,226.99955123708781,226.99955123708784,5.08610176789895,13.394783184897241,12.123257742922503
34,34,16:15,16:30,0.0,8.0,1.2434497875801753e-14,226.99955123708784,224.8942880791931,0.0,12.123257742922503,14.123257742922503
35,35,16:30,16:45,0.0,0.0,0.0,224.8942880791931,224.8942880791931,3.590765729635158,14.123257742922503,13.225566310513713
36,36,16:45,17:00,0.0,0.0,0.0,224.8942880791931,224.8942880791931,3.0632531627282145,13.225566310513713,12.459753019831659
37,37,17:00,17:15,0.0,8.0,0.0,224.8942880791931,222.78902492129836,0.0,12.459753019831659,14.459753019831659
38,38,17:15,17:30,0.0,1.3609879206733666,0.0,222.78902492129836,222.4308702053317,0.0,14.459753019831659,14.8
39,39,17:30,17:45,0.0,0.0,0.0,222.4308702053317,222.4308702053317,0.0,14.8,14.8
40,40,17:45,18:00,0.0,0.0,10.0,222.4308702053317,219.9308702053317,0.0,14.8,14.8
41,41,18:00,18:15,-0.0,0.0,0.0,219.9308702053317,219.9308702053317,0.0,14.8,14.8
42,42,18:15,18:30,-0.0,0.0,0.0,219.9308702053317,219.9308702053317,0.0,14.8,14.8
43,43,18:30,18:45,-0.0,0.0,0.0,219.9308702053317,219.9308702053317,0.0,14.8,14.8
44,44,18:45,19:00,-0.0,0.0,0.0,219.9308702053317,219.9308702053317,0.0,14.8,14.8
45,45,19:00,19:15,-0.0,0.0,0.0,219.9308702053317,219.9308702053317,0.0,14.8,14.8
46,46,19:15,19:30,-0.0,0.0,0.0,219.9308702053317,219.9308702053317,0.0,14.8,14.8
47,47,19:30,19:45,-0.0,0.0,0.0,219.9308702053317,219.9308702053317,0.0,14.8,14.8
48,48,19:45,20:00,-0.0,0.0,0.0,219.9308702053317,219.9308702053317,0.0,14.8,14.8
49,49,20:00,20:15,-0.0,0.0,0.0,219.9308702053317,219.9308702053317,0.0,14.8,14.8
50,50,20:15,20:30,-0.0,0.0,0.0,219.9308702053317,219.9308702053317,0.0,14.8,14.8
51,51,20:30,20:45,-0.0,0.0,0.0,219.9308702053317,219.9308702053317,0.0,14.8,14.8
52,52,20:45,21:00,0.0,0.0,0.0,219.9308702053317,219.9308702053317,0.0,14.8,14.8
53,53,21:00,21:15,2.8774286884850016,0.0,-1.865174681370263e-14,219.9308702053317,220.6142595188469,0.0,14.8,14.8
54,54,21:15,21:30,2.8774286884850016,0.0,-1.865174681370263e-14,220.6142595188469,221.29764883236209,0.0,14.8,14.8
55,55,21:30,21:45,2.8774286884850016,0.0,-1.865174681370263e-14,221.29764883236209,221.98103814587728,0.0,14.8,14.8
56,56,21:45,22:00,2.8774286884850016,0.0,-1.865174681370263e-14,221.98103814587728,222.66442745939247,0.0,14.8,14.8
57,57,22:00,22:15,2.8774286884850016,0.0,-1.865174681370263e-14,222.66442745939247,223.34781677290766,0.0,14.8,14.8
58,58,22:15,22:30,2.8774286884850016,0.0,-1.865174681370263e-14,223.34781677290766,224.03120608642286,0.0,14.8,14.8
59,59,22:30,22:45,2.8774286884850016,0.0,-1.865174681370263e-14,224.03120608642286,224.71459539993805,0.0,14.8,14.8
60,60,22:45,23:00,2.8774286884850016,0.0,-1.865174681370263e-14,224.71459539993805,225.39798471345324,0.0,14.8,14.8
61,61,23:00,23:15,2.8774286884850016,0.0,-1.865174681370263e-14,225.39798471345324,226.08137402696843,0.0,14.8,14.8
62,62,23:15,23:30,2.8774286884850016,0.0,-1.865174681370263e-14,226.08137402696843,226.76476334048363,0.0,14.8,14.8
63,63,23:30,23:45,2.8774286884850016,0.0,-1.865174681370263e-14,226.76476334048363,227.44815265399882,0.0,14.8,14.8
64,64,23:45,00:00,2.877428688484311,0.0,7.549516567451064e-15,227.44815265399882,228.13154196751384,0.0,14.8,14.8
65,65,00:00,00:15,2.8774286884850016,0.0,9.50350909079134e-14,228.13154196751384,228.814931281029,0.0,14.8,14.8
66,66,00:15,00:30,2.8774286884850016,0.0,-1.865174681370263e-14,228.814931281029,229.4983205945442,0.0,14.8,14.8
67,67,00:30,00:45,2.8774286884850016,0.0,-1.865174681370263e-14,229.4983205945442,230.1817099080594,0.0,14.8,14.8
68,68,00:45,01:00,2.8774286884850016,0.0,-1.865174681370263e-14,230.1817099080594,230.86509922157458,0.0,14.8,14.8
69,69,01:00,01:15,2.8774286884850016,0.0,-1.865174681370263e-14,230.86509922157458,231.54848853508977,0.0,14.8,14.8
70,70,01:15,01:30,2.8774286884850016,0.0,-1.865174681370263e-14,231.54848853508977,232.23187784860497,0.0,14.8,14.8
71,71,01:30,01:45,2.8774286884850016,0.0,-1.865174681370263e-14,232.23187784860497,232.91526716212016,0.0,14.8,14.8
72,72,01:45,02:00,2.8774286884850016,0.0,-1.865174681370263e-14,232.91526716212016,233.59865647563535,0.0,14.8,14.8
73,73,02:00,02:15,2.8774286884850016,0.0,-1.865174681370263e-14,233.59865647563535,234.28204578915054,0.0,14.8,14.8
74,74,02:15,02:30,2.8774286884850016,0.0,-1.865174681370263e-14,234.28204578915054,234.96543510266574,0.0,14.8,14.8
75,75,02:30,02:45,2.8774286884850016,0.0,-1.865174681370263e-14,234.96543510266574,235.64882441618093,0.0,14.8,14.8
76,76,02:45,03:00,2.8774286884850016,0.0,-1.865174681370263e-14,235.64882441618093,236.33221372969612,0.0,14.8,14.8
77,77,03:00,03:15,2.8774286884850016,0.0,-1.865174681370263e-14,236.33221372969612,237.0156030432113,0.0,14.8,14.8
78,78,03:15,03:30,2.8774286884850016,0.0,-1.865174681370263e-14,237.0156030432113,237.6989923567265,0.0,14.8,14.8
79,79,03:30,03:45,2.8774286884850016,0.0,-1.865174681370263e-14,237.6989923567265,238.3823816702417,0.0,14.8,14.8
80,80,03:45,04:00,2.8774286884850016,0.0,-1.865174681370263e-14,238.3823816702417,239.0657709837569,0.0,14.8,14.8
81,81,04:00,04:15,2.8774286884850016,0.0,-1.865174681370263e-14,239.0657709837569,239.74916029727208,0.0,14.8,14.8
82,82,04:15,04:30,2.8774286884850016,0.0,-1.865174681370263e-14,239.74916029727208,240.43254961078728,0.0,14.8,14.8
83,83,04:30,04:45,2.8774286884850016,0.0,-1.865174681370263e-14,240.43254961078728,241.11593892430247,0.0,14.8,14.8
84,84,04:45,05:00,2.8774286884850016,0.0,-1.865174681370263e-14,241.11593892430247,241.79932823781766,0.0,14.8,14.8
85,85,05:00,05:15,2.8774286884850016,0.0,-1.865174681370263e-14,241.79932823781766,242.48271755133285,0.0,14.8,14.8
86,86,05:15,05:30,2.8774286884850016,0.0,-1.3233858453531866e-13,242.48271755133285,243.16610686484808,0.0,14.8,14.8
87,87,05:30,05:45,2.8774286884850016,0.0,-1.865174681370263e-14,243.16610686484808,243.84949617836327,0.0,14.8,14.8
88,88,05:45,06:00,2.8774286884850016,0.0,-1.865174681370263e-14,243.84949617836327,244.53288549187846,0.0,14.8,14.8
89,89,06:00,06:15,2.877428688485021,0.0,0.0,244.53288549187846,245.21627480539365,0.0,14.8,14.8
90,90,06:15,06:30,2.877428688485021,0.0,0.0,245.21627480539365,245.89966411890885,0.0,14.8,14.8
91,91,06:30,06:45,2.877428688485021,0.0,0.0,245.89966411890885,246.58305343242404,0.0,14.8,14.8
92,92,06:45,07:00,2.87742868848502,0.0,-8.881784197001252e-16,246.58305343242404,247.26644274593923,0.0,14.8,14.8
93,93,07:00,07:15,2.87742868848502,0.0,-8.881784197001252e-16,247.26644274593923,247.94983205945442,0.0,14.8,14.8
94,94,07:15,07:30,2.877428688485022,0.0,8.881784197001252e-16,247.94983205945442,248.63322137296962,0.0,14.8,14.8
95,95,07:30,07:45,2.87742868848502,0.0,0.0,248.63322137296962,249.3166106864848,0.0,14.8,14.8
96,96,07:45,08:00,2.877428688485021,0.0,-8.337458228191524e-17,249.3166106864848,250.0,0.0,14.8,14.8
