replan_at,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45
08:00,13.598,12.399,11.201,10.002,11.996,10.81,9.612,8.846,7.647,9.581,8.382,7.197,5.999,4.8,6.056,4.858,4.851,4.845,4.838,4.832,6.826,8.819,10.813,12.806,14.8,14.034,14.8,13.615,12.848,12.082,11.316,13.31,13.303,12.537,12.531,12.735,12.729,14.719,14.713,14.706
08:15,13.598,12.4,11.202,10.003,11.997,10.811,9.613,8.414,7.216,9.209,8.011,6.826,5.627,6.765,5.999,4.8,4.8,4.8,4.8,4.806,4.8,6.794,7.835,9.829,9.063,7.877,7.111,7.105,7.098,6.332,5.566,4.8,6.794,8.787,10.781,12.774,14.768,14.8,14.794,14.787
08:30,13.598,12.4,11.203,10.004,11.141,9.955,8.757,7.558,9.552,8.353,7.155,5.97,5.203,7.197,5.999,4.8,4.8,4.8,4.8,4.8,4.8,4.8,6.303,8.297,7.531,6.345,5.579,5.573,5.566,4.8,6.296,5.53,7.524,6.758,8.748,10.738,12.729,14.719,14.713,14.706
08:45,13.598,12.4,11.203,10.005,10.737,9.552,8.353,7.155,5.956,7.95,6.752,5.566,4.8,6.332,5.566,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.524,7.518,6.752,5.566,4.8,6.794,5.595,4.829,6.823,8.816,10.81,12.803,14.797,13.598,14.726,14.719,14.713,14.706
09:00,13.598,12.4,11.203,10.005,12.0,10.814,9.616,8.417,7.219,9.212,8.014,6.829,5.63,5.624,7.617,6.419,8.412,8.838,8.832,8.826,8.819,10.813,12.806,14.8,14.034,13.268,12.082,11.316,13.059,12.293,11.527,13.521,12.755,12.748,12.742,12.735,12.729,14.719,14.713,14.706
09:15,13.598,12.4,11.203,10.005,12.0,10.821,9.622,8.424,7.225,9.219,8.02,6.835,5.636,6.797,5.598,4.832,6.826,8.819,10.813,12.806,14.8,14.8,14.794,14.787,14.021,12.836,12.069,11.303,13.297,14.8,14.034,14.8,14.034,14.745,14.738,14.732,14.726,14.719,14.713,14.706
09:30,13.598,12.4,11.203,10.005,12.0,10.821,10.063,8.864,7.666,9.659,8.461,7.275,6.077,4.878,6.872,5.673,7.667,7.825,7.819,7.812,7.806,9.8,11.793,13.787,13.021,11.835,13.829,13.063,12.296,14.29,14.284,13.517,12.751,14.745,14.738,14.732,14.726,14.719,14.713,14.706
09:45,13.598,12.4,11.203,10.005,12.0,10.821,10.063,8.84,7.642,9.581,8.382,7.197,5.999,4.8,6.005,4.806,4.8,4.8,4.8,4.8,4.8,6.794,8.787,8.781,8.015,6.829,6.063,5.297,5.29,5.284,7.278,6.511,8.505,7.739,9.733,11.726,12.806,14.8,14.794,14.787
10:00,13.598,12.4,11.203,10.005,12.0,10.821,10.063,8.84,7.641,9.635,8.435,7.231,6.031,4.831,6.0,4.8,4.8,4.822,6.816,8.81,8.804,10.798,12.792,14.786,14.01,12.806,14.8,14.024,13.248,14.364,13.588,12.812,12.806,14.8,14.794,14.8,14.794,14.788,14.782,14.776
10:15,13.598,12.4,11.203,10.005,12.0,10.821,10.063,8.84,7.641,9.638,8.438,7.234,6.034,4.834,6.0,4.8,4.8,4.8,4.8,4.8,4.8,4.8,6.338,8.332,7.556,6.352,5.576,4.8,4.8,6.388,5.612,5.606,7.6,9.594,8.818,10.812,12.806,14.8,14.794,14.788
10:30,13.598,12.4,11.203,10.005,12.0,10.821,10.063,8.84,7.641,9.638,8.444,7.24,6.04,7.2,6.0,4.8,4.8,4.8,4.8,4.8,4.806,4.8,4.8,6.338,8.332,7.556,6.352,5.576,4.8,5.576,4.8,5.536,7.53,6.754,8.745,10.736,12.727,14.718,14.712,14.706
10:45,13.598,12.4,11.203,10.005,12.0,10.821,10.063,8.84,7.641,9.638,8.444,9.604,8.4,7.2,6.0,4.8,4.8,4.8,4.8,4.8,4.8,4.8,6.338,8.332,7.556,6.352,5.576,4.8,4.8,6.388,5.612,4.836,6.83,8.824,10.818,10.812,12.806,14.8,14.794,14.788
11:00,13.598,12.4,11.203,10.005,12.0,10.821,10.063,8.84,7.641,9.638,8.444,9.604,8.406,7.206,6.006,4.806,4.8,4.824,4.818,4.812,4.806,4.8,5.562,7.556,6.78,5.576,4.8,5.134,7.128,6.352,5.576,4.8,6.76,6.754,8.745,10.736,12.727,14.718,14.712,14.706
