Metric,A1S,A2S
Total_Cost_USD,59.98,59.78
Total_Energy_Cost_USD,7.36,7.16
Total_CO2_Cost_USD,0.31,0.28
NC_demand_charge_USD,42.31,32.35
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0
Travel_Labour_USD,10.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,23.13,23.06
Total_CO2_Emissions_kg,6.28,5.51
NCD_Peak_kW,2.1,1.61
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.0,0.0
MCS_Transit_hour,0.5,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,116.91,11448.59
