Time_Period,MCS_1_A0_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,250.0,250.0
4,247.89473684210526,250.0
5,247.89473684210526,250.0
6,247.89473684210526,247.89473684210526
7,247.89473684210526,247.89473684210526
8,245.78947368421052,245.78947368421052
9,243.68421052631578,243.6842105263152
10,243.68421052631578,243.6842105263152
11,243.68421052631578,243.6842105263152
12,243.68421052631578,243.6842105263152
13,241.57894736842104,241.57894736842047
14,241.57894736842104,241.57894736842047
15,241.57894736842104,242.00636111839836
16,241.57894736842104,242.44465361384022
17,241.57894736842104,242.88294610928207
18,239.4736842105263,243.32123860472393
19,237.36842105263156,243.7595311001658
20,237.36842105263156,244.19782359560764
21,237.83840910416308,244.63847032488408
22,238.30839715569456,245.08516216358507
23,238.77838520722608,245.53185400228605
24,239.24837325875757,245.53185400228605
25,239.71836131028908,243.840073156555
26,240.18834936182057,243.840073156555
27,240.6583374133521,243.840073156555
28,241.12832546488357,243.840073156555
29,241.59831351641506,243.840073156555
30,242.06830156794658,241.73480999866027
31,242.53828961947806,241.73480999866027
32,243.00827767100958,241.73480999866027
33,243.47826572254107,239.62954684076553
34,243.47826572254107,239.62954684076553
35,241.37300256464633,239.62954684076553
36,241.37300256464633,239.62954684076553
37,241.37300256464633,239.62954684076553
38,239.84684152208777,237.5242836828708
39,239.84684152208777,235.41902052497605
40,239.84684152208777,233.3137573670813
41,237.74157836419303,231.20849420918657
42,235.6363152062983,229.10323105129183
43,233.53105204840355,228.12050728779604
44,231.4257888905088,228.12050728779604
45,229.32052573261407,228.12050728779604
46,229.32052573261407,228.12050728779604
47,229.32052573261407,228.12050728779604
48,229.32052573261407,228.12050728779604
49,229.32052573261407,228.12050728779604
50,229.32052573261407,228.12050728779604
51,229.32052573261407,228.12050728779604
52,229.32052573261407,228.12050728779604
53,229.32052573261407,228.12050728779604
54,229.7905137841456,228.61776848580067
55,230.26050183567708,229.1150296838053
56,230.73048988720856,229.6122908818099
57,231.20047793874008,230.10955207981453
58,231.67046599027157,230.60681327781916
59,232.14045404180308,231.10407447582378
60,232.61044209333457,231.6013356738284
61,233.08043014486609,232.09859687183302
62,233.55041819639757,232.59585806983765
63,234.02040624792906,233.09311926784227
64,234.49039429946058,233.5903804658469
65,234.96038235099206,234.08764166385168
66,235.43037040252358,234.58490286185648
67,235.90035845405507,235.08216405986127
68,236.37034650558655,235.57942525786606
69,236.84033455711807,236.07668645587086
70,237.31032260864956,236.57394765387565
71,237.78031066018104,237.07120885188044
72,238.25029871171256,237.56847004988524
73,238.72028676324405,238.06573124789003
74,239.19027481477553,238.56299244589482
75,239.66026286630705,239.0602536438996
76,240.13025091783854,239.5575148419044
77,240.60023896937005,240.0547760399092
78,241.07022702090154,240.552037237914
79,241.54021507243303,241.0492984359188
80,242.01020312396454,241.54655963392358
81,242.48019117549603,242.04382083192837
82,242.95017922702752,242.54108202993316
83,243.42016727855903,243.03834322793796
84,243.89015533009052,243.53560442594275
85,244.360143381622,244.03286562394754
86,244.83013143315353,244.53012682195234
87,245.300119484685,245.02738801995713
88,245.77010753621653,245.52464921796192
89,246.24009558774802,246.02191041596672
90,246.7100836392795,246.51917161396648
91,247.18007169081102,247.01643281197127
92,247.6500597423425,247.51369400997606
93,248.120047793874,248.01095520798086
94,248.5900358454055,248.50821640598562
95,249.060023896937,249.0054776039904
96,249.53001194846848,249.5027388019952
97,250.0,250.0
