Time_Period,MCS_1_A1R_kWh,MCS_1_A2R_kWh
1,250.0,250.0
2,250.0,250.0
3,250.0,250.0
4,250.0,247.89473684210526
5,247.9903031825348,247.89473684210526
6,247.9903031825348,247.89473684210526
7,247.99030318253486,247.89473684210526
8,245.88504002464012,245.78947368421052
9,245.88504002464012,245.78947368421052
10,243.77977686674538,246.2254012146204
11,243.77977686674538,246.66771011003885
12,243.77977686674538,247.01380290270714
13,241.67451370885064,247.4561117981256
14,241.67451370885064,247.89842069354404
15,242.0980689322642,247.89842069354404
16,242.52162415567776,248.23076441832612
17,242.94630939170466,248.67307331374457
18,243.37099462773156,249.09077574357502
19,243.79567986375847,249.53749792517002
20,244.22036509978537,249.53749792517002
21,244.64505033581227,247.72091991564605
22,245.06973557183917,247.2074976920378
23,245.49442080786608,245.10223453414307
24,245.91910604389298,245.10223453414307
25,246.34379127991988,242.99697137624833
26,246.7684765159468,242.99697137624833
27,247.1931617519737,242.99697137624833
28,247.6178469880006,242.99697137624833
29,247.6178469880006,242.99697137624833
30,245.51258383010585,240.89170821835359
31,245.51258383010585,240.89170821835359
32,245.51258383010585,240.89170821835359
33,245.40314443577296,240.89170821835359
34,245.40314443577296,240.89170821835359
35,245.40314443577296,238.78644506045885
36,245.40314443577296,236.6811819025641
37,245.40314443577296,236.6811819025641
38,243.97850323402778,234.57591874466937
39,241.9482211920144,233.81645296704326
40,239.9498149836993,231.75116169218148
41,237.9497310999264,231.75116169218148
42,235.84446794203166,231.75116169218148
43,233.95527568106678,231.75116169218148
44,233.95527568106678,231.75116169218148
45,233.95527568106678,231.75116169218148
46,233.95527568106678,231.75116169218148
47,233.95527568106678,231.75116169218148
48,233.95527568106678,231.75116169218148
49,233.95527568106678,231.75116169218148
50,233.95527568106678,231.75116169218148
51,233.95527568106678,231.75116169218148
52,233.95527568106678,231.75116169218148
53,233.95527568106678,231.75116169218148
54,234.37996091709368,232.19788387377648
55,234.8046461531206,232.64460605537147
56,235.2293313891475,233.09132823696646
57,235.6540166251744,233.53805041856145
58,236.0787018612013,233.98477260015645
59,236.5033870972282,234.43149478175144
60,236.83475768316558,234.87821696334643
61,236.83475768316558,235.25816800736538
62,236.83475768316558,235.25816800736538
63,236.83475768316558,235.70489018896038
64,236.83475768316558,235.70489018896038
65,236.83475768316558,235.70489018896038
66,237.25944291919248,236.15161237055537
67,237.68412815521938,236.59833455215036
68,238.1088133912463,237.04505673374535
69,238.5334986272732,237.49177891534035
70,238.9581838633001,237.93850109693534
71,239.382869099327,238.38522327853033
72,239.8075543353539,238.83194546012533
73,240.2322395713808,239.27866764172032
74,240.6569248074077,239.7253898233153
75,241.0816100434346,240.1721120049103
76,241.5062952794615,240.6188341865053
77,241.93098051548841,241.0655563681003
78,242.35566575151532,241.51227854969528
79,242.78035098754222,241.95900073129027
80,243.20503622356912,242.40572291288527
81,243.62972145959603,242.85244509448026
82,244.05440669562293,243.29916727607525
83,244.47909193164983,243.74588945767024
84,244.90377716767674,244.19261163926524
85,245.32846240370364,244.63933382086023
86,245.75314763973054,245.08605600245522
87,246.17783287575745,245.53277818405022
88,246.60251811178435,245.9795003656452
89,247.02720334781125,246.4262225472402
90,247.02720334781125,246.87294472883508
91,247.4518885838385,247.31966691043007
92,247.87657381986375,247.76638909202504
93,248.30125905589102,248.21311127362003
94,248.7259442919182,248.659833455215
95,249.15062952794548,249.10655563681
96,249.57531476397273,249.553277818405
97,250.0,250.0
