Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A1R_minus_A0_cum_kWh
42,18:15,8.0,23.261184210525762,0.0,Charging,Serving CEV,7.17888960017549,25.586718866180764,0.0,Charging,Serving CEV,2.3255346556550016
43,18:30,0.0,23.261184210525762,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Traveling,2.3255346556550016
44,18:45,7.273157894739047,25.079473684210523,0.0,Charging,Serving CEV,0.0,25.586718866180764,0.0,Idle,Idle,0.5072451819702408
45,19:00,0.0,25.079473684210523,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Idle,0.5072451819702408
46,19:15,0.0,25.079473684210523,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Idle,0.5072451819702408
47,19:30,0.0,25.079473684210523,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Idle,0.5072451819702408
48,19:45,0.0,25.079473684210523,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Idle,0.5072451819702408
49,20:00,0.0,25.079473684210523,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Idle,0.5072451819702408
50,20:15,0.0,25.079473684210523,0.0,Idle,Traveling,0.0,25.586718866180764,0.0,Idle,Idle,0.5072451819702408
51,20:30,0.0,25.079473684210523,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Idle,0.5072451819702408
52,20:45,0.0,25.079473684210523,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Idle,0.5072451819702408
53,21:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
54,21:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
55,21:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
56,21:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
57,22:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
58,22:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
59,22:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
60,22:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
61,23:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Idle,0.5072451819702408
62,23:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
63,23:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
64,23:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Idle,0.5072451819702408
65,00:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
66,00:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
67,00:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
68,00:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
69,01:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
70,01:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
71,01:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
72,01:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
73,02:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
74,02:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
75,02:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
76,02:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
77,03:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
78,03:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
79,03:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
80,03:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
81,04:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
82,04:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
83,04:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
84,04:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
85,05:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
86,05:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
87,05:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
88,05:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
89,06:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
90,06:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
91,06:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
92,06:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
93,07:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
94,07:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
95,07:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
96,07:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.5072451819702408
