Metric,A0,A1S,A2S
Total_Cost_USD,68.54,67.14,69.73
Total_Energy_Cost_USD,8.97,8.56,8.23
Total_CO2_Cost_USD,0.33,0.32,0.34
NC_demand_charge_USD,39.24,38.27,41.16
OP_demand_charge_USD,-0.0,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0,0.0
Travel_Labour_USD,20.0,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0,0.0
Total_Grid_Energy_kWh,27.79,26.6,26.59
Total_CO2_Emissions_kg,6.64,6.32,6.7
NCD_Peak_kW,1.95,1.9,2.05
OPD_Peak_kW,-0.0,0.0,0.0
Missed_Work_hour,0.0,0.0,0.0
MCS_Transit_hour,1.0,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0,0.0
Infeasible_windows,0,0,0
Solve_time_s,14.03,119.83,10963.92
