Metric,A2S,A2R
Total_Cost_USD,692.97,692.97
Total_Energy_Cost_USD,10.01,10.01
Total_CO2_Cost_USD,0.43,0.43
NC_demand_charge_USD,57.53,57.53
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,500.0,500.0
Travel_Labour_USD,125.0,125.0
Total_Grid_Energy_kWh,31.45,31.45
Total_CO2_Emissions_kg,8.55,8.55
NCD_Peak_kW,2.86,2.86
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.25,0.25
MCS_Transit_hour,0.5,0.5
Infeasible_windows,0,0
Solve_time_s,716.64,2006.96
