Time_Period,Clock,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A2R_minus_A2S_cum_kWh
1,08:00,0.0,0.0,4.764336498431121,Digging,Traveling,0.0,0.0,4.764336498431121,Digging,Traveling,0.0
2,08:15,0.0,0.0,4.989984663182659,Digging,Idle,0.0,0.0,4.989984663182659,Digging,Idle,0.0
3,08:30,0.0,0.0,4.6363591868503535,Digging,Idle,0.0,0.0,3.0489857920151766,Loading/Swinging,Idle,0.0
4,08:45,3.854095671205498e-13,9.635239178013745e-14,4.517112418656664,Digging,Idle,0.0,0.0,4.6363591868503535,Digging,Idle,-9.635239178013745e-14
5,09:00,8.0,2.0000000000000964,0.0,Charging,Serving CEV,5.859576928329788,1.464894232082447,0.0,Charging,Serving CEV,-0.5351057679176494
6,09:15,0.0,2.0000000000000964,5.137897960482434,Traveling,Idle,0.0,1.464894232082447,5.137897960482434,Traveling,Idle,-0.5351057679176494
7,09:30,0.0,2.0000000000000964,4.336638499868317,Digging,Idle,0.0,1.464894232082447,4.517112418656664,Digging,Idle,-0.5351057679176494
8,09:45,0.0,2.0000000000000964,5.008074212365046,Digging,Idle,8.0,3.4648942320824467,0.0,Charging,Serving CEV,1.4648942320823504
9,10:00,0.0,2.0000000000000964,4.9644221838317835,Digging,Idle,0.0,3.4648942320824467,4.336638499868317,Digging,Idle,1.4648942320823504
10,10:15,3.704218410422145,2.9260546026056327,0.0,Charging,Serving CEV,0.0,3.4648942320824467,5.008074212365046,Digging,Idle,0.5388396294768141
11,10:30,-2.4268160814244767e-10,2.926054602544962,4.778902569832251,Digging,Idle,0.0,3.4648942320824467,4.9644221838317835,Digging,Idle,0.5388396295374847
12,10:45,0.0,2.926054602544962,4.4927734972254285,Traveling,Idle,7.999999999999776,5.464894232082391,0.0,Charging,Serving CEV,2.5388396295374287
13,11:00,0.0,2.926054602544962,4.845273315283702,Digging,Idle,0.0,5.464894232082391,4.4927734972254285,Traveling,Idle,2.5388396295374287
14,11:15,0.0,2.926054602544962,4.6622272316452165,Digging,Idle,0.0,5.464894232082391,4.778902569832251,Digging,Idle,2.5388396295374287
15,11:30,3.1361174466321913,3.71008396420301,0.0,Charging,Serving CEV,0.0,5.464894232082391,4.845273315283702,Digging,Idle,1.7548102678793809
16,11:45,0.0,3.71008396420301,3.0489857920151766,Loading/Swinging,Idle,0.0,5.464894232082391,4.6622272316452165,Digging,Idle,1.7548102678793809
17,12:00,0.0,3.71008396420301,0.0,Idle,Idle,8.0,7.464894232082391,0.0,Charging,Serving CEV,3.754810267879381
18,12:15,8.0,5.71008396420301,0.0,Charging,Serving CEV,8.0,9.46489423208239,0.0,Charging,Serving CEV,3.75481026787938
19,12:30,8.0,7.71008396420301,0.0,Charging,Serving CEV,0.0,9.46489423208239,0.0,Idle,Idle,1.75481026787938
20,12:45,0.0,7.71008396420301,0.0,Idle,Idle,0.0,9.46489423208239,0.0,Idle,Idle,1.75481026787938
21,13:00,8.0,9.71008396420301,0.0,Charging,Serving CEV,0.0,9.46489423208239,0.0,Idle,Idle,-0.24518973212062
22,13:15,3.1103720777967263,10.487676983652191,0.0,Charging,Serving CEV,8.0,11.46489423208239,0.0,Charging,Serving CEV,0.9772172484301986
23,13:30,8.0,12.487676983652191,0.0,Charging,Serving CEV,0.0,11.46489423208239,0.0,Idle,Idle,-1.0227827515698014
24,13:45,8.0,14.487676983652191,0.0,Charging,Serving CEV,8.0,13.46489423208239,0.0,Charging,Serving CEV,-1.0227827515698014
25,14:00,0.0,14.487676983652191,4.872525412844321,Digging,Idle,0.0,13.46489423208239,4.872525412844321,Digging,Idle,-1.0227827515698014
26,14:15,0.0,14.487676983652191,4.749989717804096,Traveling,Idle,0.0,13.46489423208239,4.749989717804096,Traveling,Idle,-1.0227827515698014
27,14:30,0.0,14.487676983652191,5.2254933443060985,Digging,Idle,0.0,13.46489423208239,3.10878482887631,Loading/Swinging,Idle,-1.0227827515698014
28,14:45,0.0,14.487676983652191,3.10878482887631,Loading/Swinging,Idle,0.0,13.46489423208239,5.2254933443060985,Digging,Idle,-1.0227827515698014
29,15:00,8.0,16.487676983652193,0.0,Charging,Serving CEV,8.0,15.46489423208239,0.0,Charging,Serving CEV,-1.0227827515698031
30,15:15,0.0,16.487676983652193,3.091936889713172,Loading/Swinging,Idle,0.0,15.46489423208239,3.091936889713172,Loading/Swinging,Idle,-1.0227827515698031
31,15:30,0.0,16.487676983652193,3.178041707501309,Loading/Swinging,Idle,0.0,15.46489423208239,3.178041707501309,Loading/Swinging,Idle,-1.0227827515698031
32,15:45,0.0,16.487676983652193,4.763406214464165,Traveling,Idle,0.0,15.46489423208239,4.763406214464165,Traveling,Idle,-1.0227827515698031
33,16:00,0.0,16.487676983652193,3.5703346457907466,Loading/Swinging,Idle,8.0,17.46489423208239,0.0,Charging,Serving CEV,0.9772172484301969
34,16:15,8.0,18.487676983652193,0.0,Charging,Serving CEV,0.0,17.46489423208239,3.5703346457907466,Loading/Swinging,Idle,-1.0227827515698031
35,16:30,8.0,20.487676983652193,0.0,Charging,Serving CEV,8.0,19.46489423208239,0.0,Charging,Serving CEV,-1.0227827515698031
36,16:45,0.0,20.487676983652193,3.293469348992297,Loading/Swinging,Idle,0.0,19.46489423208239,3.293469348992297,Loading/Swinging,Idle,-1.0227827515698031
37,17:00,8.0,22.487676983652193,0.0,Charging,Serving CEV,8.0,21.46489423208239,0.0,Charging,Serving CEV,-1.0227827515698031
38,17:15,6.08626220535389,24.009242534990666,0.0,Charging,Serving CEV,8.0,23.46489423208239,0.0,Charging,Serving CEV,-0.5443483029082756
39,17:30,0.0,24.009242534990666,0.0,Idle,Traveling,2.1773932116331025,24.009242534990666,0.0,Charging,Serving CEV,0.0
