Metric,A0,A1S
Total_Discharge_kWh,25.079,25.675
Total_Work_kWh,26.922,25.596
N_Capped_Intervals,2,0
N_Infeasible_Windows,0,0
Missed_Work_hour,0.224,0.25
Missed_Work_Penalty_USD,447.67,500.0
