label,mode,seed,n_day_run,time_limit_sec,status,elapsed_sec,started_at,finished_at,out_dir,error
13_Normal_seed7_1200s,normal,7,1,1200.0,OK,11667.6,2026-09-03 10:18:49,2026-09-03 13:33:16,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_AllRuns/13_Normal_seed7_1200s,
14_Normal_seed18_1200s,normal,18,1,1200.0,OK,9332.5,2026-09-03 13:33:16,2026-09-03 16:08:49,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_AllRuns/14_Normal_seed18_1200s,
15_Normal_seed55_1200s,normal,55,1,1200.0,OK,9612.9,2026-09-03 16:08:49,2026-09-03 18:49:02,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_AllRuns/15_Normal_seed55_1200s,
16_GroundTruth_seed7_5days,live_data,7,5,1200.0,OK,18950.4,2026-09-03 18:49:02,2026-09-04 00:04:52,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_AllRuns/16_GroundTruth_seed7_5days,
17_High_seed7_5days,high,7,5,1200.0,OK,15981.5,2026-09-04 00:04:52,2026-09-04 04:31:14,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_AllRuns/17_High_seed7_5days,
18_Low_seed7_5days,low,7,5,1200.0,OK,33113.1,2026-09-04 04:31:14,2026-09-04 13:43:07,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_AllRuns/18_Low_seed7_5days,
19_NearMean_seed7_5days,near_mean,7,5,1200.0,OK,31875.6,2026-09-04 13:43:07,2026-09-04 22:34:22,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_AllRuns/19_NearMean_seed7_5days,
20_Normal_seed7_5days,normal,7,5,1200.0,OK,20503.7,2026-09-04 22:34:22,2026-09-05 04:16:06,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_AllRuns/20_Normal_seed7_5days,
21_GroundTruth_seed7_3600s,live_data,7,1,3600.0,OK,25074.0,2026-09-05 04:16:06,2026-09-05 11:14:00,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_AllRuns/21_GroundTruth_seed7_3600s,
22_High_seed7_3600s,high,7,1,3600.0,OK,22632.1,2026-09-05 11:14:00,2026-09-05 17:31:12,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_AllRuns/22_High_seed7_3600s,
23_Low_seed7_3600s,low,7,1,3600.0,OK,24575.8,2026-09-05 17:31:12,2026-09-06 00:20:48,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_AllRuns/23_Low_seed7_3600s,
24_NearMean_seed7_3600s,near_mean,7,1,3600.0,OK,19230.8,2026-09-06 00:20:48,2026-09-06 05:41:19,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_AllRuns/24_NearMean_seed7_3600s,
25_Normal_seed7_3600s,normal,7,1,3600.0,OK,25159.8,2026-09-06 05:41:19,2026-09-06 12:40:38,/data/shubhan_avik_work/MPC_full_run/MPC-Shrink/Comparison_A0_A1_A2/Output_AllRuns/25_Normal_seed7_3600s,
