min_activity_duration_s,dist_threshold,idle_window,fsm_min_dwell_seconds,enable_fsm,override_travelling_only,accuracy_percent,cycles_per_hr,productivity_lcy_hr,run_folder
1.0,0.05,20,1.0,True,True,33.91,233.45,352.47,Run_00001
1.0,0.05,20,1.0,True,False,37.70,224.35,338.74,Run_00002
1.0,0.05,20,1.0,False,True,34.73,513.07,770.18,Run_00003
1.0,0.05,20,1.0,False,False,39.93,500.34,754.66,Run_00004
1.0,0.05,20,2.0,True,True,32.64,183.99,277.80,Run_00005
1.0,0.05,20,2.0,True,False,37.61,170.54,257.49,Run_00006
1.0,0.05,20,2.0,False,True,34.73,513.07,770.18,Run_00007
1.0,0.05,20,2.0,False,False,39.93,500.34,754.66,Run_00008
1.0,0.05,20,3.0,True,True,32.77,151.27,228.39,Run_00009
1.0,0.05,20,3.0,True,False,36.27,141.45,213.57,Run_00010
1.0,0.05,20,3.0,False,True,34.73,513.07,770.18,Run_00011
1.0,0.05,20,3.0,False,False,39.93,500.34,754.66,Run_00012
1.0,0.05,30,1.0,True,True,33.71,232.35,350.82,Run_00013
1.0,0.05,30,1.0,True,False,37.15,226.54,342.04,Run_00014
1.0,0.05,30,1.0,False,True,34.51,511.25,767.45,Run_00015
1.0,0.05,30,1.0,False,False,39.12,501.07,755.80,Run_00016
1.0,0.05,30,2.0,True,True,32.62,182.90,276.15,Run_00017
1.0,0.05,30,2.0,True,False,36.21,174.90,264.08,Run_00018
1.0,0.05,30,2.0,False,True,34.51,511.25,767.45,Run_00019
1.0,0.05,30,2.0,False,False,39.12,501.07,755.80,Run_00020
1.0,0.05,30,3.0,True,True,32.71,151.27,228.39,Run_00021
1.0,0.05,30,3.0,True,False,35.94,145.09,219.06,Run_00022
1.0,0.05,30,3.0,False,True,34.51,511.25,767.45,Run_00023
1.0,0.05,30,3.0,False,False,39.12,501.07,755.80,Run_00024
1.0,0.05,40,1.0,True,True,33.53,231.26,349.17,Run_00025
1.0,0.05,40,1.0,True,False,37.50,228.72,345.33,Run_00026
1.0,0.05,40,1.0,False,True,34.26,511.25,767.45,Run_00027
1.0,0.05,40,1.0,False,False,38.70,503.25,759.10,Run_00028
1.0,0.05,40,2.0,True,True,32.42,181.45,273.96,Run_00029
1.0,0.05,40,2.0,True,False,36.38,176.72,266.82,Run_00030
1.0,0.05,40,2.0,False,True,34.26,511.25,767.45,Run_00031
1.0,0.05,40,2.0,False,False,38.70,503.25,759.10,Run_00032
1.0,0.05,40,3.0,True,True,32.59,150.18,226.74,Run_00033
1.0,0.05,40,3.0,True,False,36.25,146.18,220.70,Run_00034
1.0,0.05,40,3.0,False,True,34.26,511.25,767.45,Run_00035
1.0,0.05,40,3.0,False,False,38.70,503.25,759.10,Run_00036
1.0,0.05,50,1.0,True,True,33.48,231.26,349.17,Run_00037
1.0,0.05,50,1.0,True,False,36.89,229.08,345.88,Run_00038
1.0,0.05,50,1.0,False,True,34.17,511.62,768.00,Run_00039
1.0,0.05,50,1.0,False,False,38.04,505.80,762.93,Run_00040
1.0,0.05,50,2.0,True,True,32.32,181.08,273.41,Run_00041
1.0,0.05,50,2.0,True,False,35.74,178.17,269.02,Run_00042
1.0,0.05,50,2.0,False,True,34.17,511.62,768.00,Run_00043
1.0,0.05,50,2.0,False,False,38.04,505.80,762.93,Run_00044
1.0,0.05,50,3.0,True,True,32.55,149.08,225.10,Run_00045
1.0,0.05,50,3.0,True,False,35.89,146.54,221.25,Run_00046
1.0,0.05,50,3.0,False,True,34.17,511.62,768.00,Run_00047
1.0,0.05,50,3.0,False,False,38.04,505.80,762.93,Run_00048
1.0,0.05,60,1.0,True,True,33.36,231.26,349.17,Run_00049
1.0,0.05,60,1.0,True,False,36.69,230.17,347.53,Run_00050
1.0,0.05,60,1.0,False,True,34.03,511.62,768.00,Run_00051
1.0,0.05,60,1.0,False,False,37.76,507.62,765.68,Run_00052
1.0,0.05,60,2.0,True,True,32.20,181.08,273.41,Run_00053
1.0,0.05,60,2.0,True,False,35.55,178.90,270.12,Run_00054
1.0,0.05,60,2.0,False,True,34.03,511.62,768.00,Run_00055
1.0,0.05,60,2.0,False,False,37.76,507.62,765.68,Run_00056
1.0,0.05,60,3.0,True,True,32.39,148.72,224.55,Run_00057
1.0,0.05,60,3.0,True,False,35.87,146.18,220.70,Run_00058
1.0,0.05,60,3.0,False,True,34.03,511.62,768.00,Run_00059
1.0,0.05,60,3.0,False,False,37.76,507.62,765.68,Run_00060
1.0,0.05,70,1.0,True,True,33.17,230.90,348.62,Run_00061
1.0,0.05,70,1.0,True,False,36.25,229.81,346.98,Run_00062
1.0,0.05,70,1.0,False,True,33.82,512.34,769.09,Run_00063
1.0,0.05,70,1.0,False,False,37.15,506.16,763.48,Run_00064
1.0,0.05,70,2.0,True,True,32.01,181.08,273.41,Run_00065
1.0,0.05,70,2.0,True,False,35.07,179.63,271.21,Run_00066
1.0,0.05,70,2.0,False,True,33.82,512.34,769.09,Run_00067
1.0,0.05,70,2.0,False,False,37.15,506.16,763.48,Run_00068
1.0,0.05,70,3.0,True,True,32.21,148.72,224.55,Run_00069
1.0,0.05,70,3.0,True,False,35.33,147.27,222.35,Run_00070
