Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh
1,D1 08:00,250.0,250.0,50.0
2,D1 08:15,250.0,250.0,50.0
3,D1 08:30,247.5,250.0,50.0
4,D1 08:45,247.5,250.0,50.0
5,D1 09:00,247.5,250.0,50.0
6,D1 09:15,245.39473684210526,250.0,50.0
7,D1 09:30,245.39473684210526,250.0,50.0
8,D1 09:45,245.39473684210526,250.0,50.0
9,D1 10:00,245.39473684210526,250.0,50.0
10,D1 10:15,245.39473684210526,250.0,50.0
11,D1 10:30,243.28947368421052,250.0,50.0
12,D1 10:45,243.28947368421055,250.0,50.0
13,D1 11:00,243.28947368421055,250.0,50.0
14,D1 11:15,243.28947368421055,250.0,50.0
15,D1 11:30,243.28947368421055,250.0,50.0
16,D1 11:45,243.28947368421055,250.0,50.0
17,D1 12:00,243.28947368421055,250.0,50.0
18,D1 12:15,241.1842105263158,250.0,50.0
19,D1 12:30,241.1842105263158,250.0,50.0
20,D1 12:45,241.1842105263158,250.0,50.0
21,D1 13:00,239.07894736842107,250.0,50.0
22,D1 13:15,237.99508634046512,250.0,50.0
23,D1 13:30,235.88982318257038,250.0,50.0
24,D1 13:45,233.78456002467564,250.0,50.0
25,D1 14:00,231.6792968667809,250.0,50.0
26,D1 14:15,231.67929686678093,250.0,50.0
27,D1 14:30,231.67929686678093,250.0,50.0
28,D1 14:45,231.67929686678093,250.0,50.0
29,D1 15:00,231.67929686678093,250.0,50.0
30,D1 15:15,229.5740337088862,250.0,50.0
31,D1 15:30,229.5740337088862,250.0,50.0
32,D1 15:45,229.5740337088862,250.0,50.0
33,D1 16:00,229.5740337088862,250.0,50.0
34,D1 16:15,228.41149267425442,250.0,50.0
35,D1 16:30,228.41149267425442,250.0,50.0
36,D1 16:45,226.30622951635968,250.0,50.0
37,D1 17:00,226.3062295163597,250.0,50.0
38,D1 17:15,224.20096635846497,250.0,50.0
39,D1 17:30,224.20096635846497,250.0,50.0
40,D1 17:45,222.16359379060611,250.0,50.0
41,D1 18:00,219.66359379060611,250.0,50.0
42,D1 18:15,219.66359379060611,250.0,50.0
43,D1 18:30,219.66359379060611,250.0,50.0
44,D1 18:45,219.66359379060611,250.0,50.0
45,D1 19:00,219.66359379060611,250.0,50.0
46,D1 19:15,219.66359379060611,250.0,50.0
47,D1 19:30,219.66359379060611,250.0,50.0
48,D1 19:45,219.66359379060611,250.0,50.0
49,D1 20:00,219.66359379060611,250.0,50.0
50,D1 20:15,219.66359379060611,250.0,50.0
51,D1 20:30,219.66359379060611,250.0,50.0
52,D1 20:45,219.66359379060611,250.0,50.0
53,D1 21:00,219.66359379060611,250.0,50.0
54,D1 21:15,220.35305756809234,250.0,50.0
55,D1 21:30,221.0425213455786,250.0,50.0
56,D1 21:45,221.73198512306482,250.0,50.0
57,D1 22:00,222.42144890055107,250.0,50.0
58,D1 22:15,223.1109126780373,250.0,50.0
59,D1 22:30,223.80037645552355,250.0,50.0
60,D1 22:45,224.48984023300977,250.0,50.0
61,D1 23:00,225.17930401049603,250.0,50.0
62,D1 23:15,225.86876778798225,250.0,50.0
63,D1 23:30,226.5582315654685,250.0,50.0
64,D1 23:45,227.24769534295473,250.0,50.0
65,D1 00:00,227.93715912044084,250.0,50.0
66,D1 00:15,228.62662289792706,250.0,50.0
67,D1 00:30,229.31608667541332,250.0,50.0
68,D1 00:45,230.00555045289954,250.0,50.0
69,D1 01:00,230.6950142303858,250.0,50.0
70,D1 01:15,231.38447800787202,250.0,50.0
71,D1 01:30,232.07394178535827,250.0,50.0
72,D1 01:45,232.7634055628445,250.0,50.0
73,D1 02:00,233.45286934033075,250.0,50.0
74,D1 02:15,234.14233311781697,250.0,50.0
75,D1 02:30,234.83179689530323,250.0,50.0
76,D1 02:45,235.52126067278945,250.0,50.0
77,D1 03:00,236.2107244502757,250.0,50.0
78,D1 03:15,236.90018822776193,250.0,50.0
79,D1 03:30,237.58965200524818,250.0,50.0
80,D1 03:45,238.2791157827344,250.0,50.0
81,D1 04:00,238.96857956022066,250.0,50.0
82,D1 04:15,239.65804333770689,250.0,50.0
83,D1 04:30,240.3475071151931,250.0,50.0
84,D1 04:45,241.03697089267934,250.0,50.0
85,D1 05:00,241.72643467016556,250.0,50.0
86,D1 05:15,242.41589844765176,250.0,50.0
87,D1 05:30,243.10536222513798,250.0,50.0
88,D1 05:45,243.7948260026242,250.0,50.0
89,D1 06:00,244.4842897801104,250.0,50.0
90,D1 06:15,245.17375355759643,250.0,50.0
91,D1 06:30,245.86321733508265,250.0,50.0
92,D1 06:45,246.55268111256888,250.0,50.0
93,D1 07:00,247.2421448900551,250.0,50.0
94,D1 07:15,247.9316086675413,250.0,50.0
95,D1 07:30,248.62107244502755,250.0,50.0
96,D1 07:45,249.31053622251375,250.0,50.0
97,D1 08:00,250.0,250.0,50.0
