Time_Period,Time_Start_Label,Time_End_Label,Site_2_Work_Power_kW,Total_Work_Power_kW
1,D1 08:00,D1 08:15,4.766428180016908,4.766428180016908
2,D1 08:15,D1 08:30,4.990540576996681,4.990540576996681
3,D1 08:30,D1 08:45,4.639321885627259,4.639321885627259
4,D1 08:45,D1 09:00,4.520886714300226,4.520886714300226
5,D1 09:00,D1 09:15,0.0,0.0
6,D1 09:15,D1 09:30,4.692885657098898,4.692885657098898
7,D1 09:30,D1 09:45,4.341641106091867,4.341641106091867
8,D1 09:45,D1 10:00,5.008507008197273,5.008507008197273
9,D1 10:00,D1 10:15,3.3744582015434395,3.3744582015434395
10,D1 10:15,D1 10:30,0.0,0.0
11,D1 10:30,D1 10:45,4.965152076601037,4.965152076601037
12,D1 10:45,D1 11:00,4.52612737504162,4.52612737504162
13,D1 11:00,D1 11:15,4.7808951143253715,4.7808951143253715
14,D1 11:15,D1 11:30,4.846814138611863,4.846814138611863
15,D1 11:30,D1 11:45,0.0,0.0
16,D1 11:45,D1 12:00,4.665013871779863,4.665013871779863
17,D1 12:00,D1 12:15,0.0,0.0
18,D1 12:15,D1 12:30,0.0,0.0
19,D1 12:30,D1 12:45,0.0,0.0
20,D1 12:45,D1 13:00,0.0,0.0
21,D1 13:00,D1 13:15,0.0,0.0
22,D1 13:15,D1 13:30,0.0,0.0
23,D1 13:30,D1 13:45,0.0,0.0
24,D1 13:45,D1 14:00,0.0,0.0
25,D1 14:00,D1 14:15,4.873880757628074,4.873880757628074
26,D1 14:15,D1 14:30,5.372009572229844,5.372009572229844
27,D1 14:30,D1 14:45,5.224446379395896,5.224446379395896
28,D1 14:45,D1 15:00,3.127275869044709,3.127275869044709
29,D1 15:00,D1 15:15,0.0,0.0
30,D1 15:15,D1 15:30,2.987369540377258,2.987369540377258
31,D1 15:30,D1 15:45,3.3341382338845618,3.3341382338845618
32,D1 15:45,D1 16:00,4.78987940212048,4.78987940212048
33,D1 16:00,D1 16:15,0.0,0.0
34,D1 16:15,D1 16:30,2.9891610120389434,2.9891610120389434
35,D1 16:30,D1 16:45,0.0,0.0
36,D1 16:45,D1 17:00,3.46151092274461,3.46151092274461
37,D1 17:00,D1 17:15,0.0,0.0
38,D1 17:15,D1 17:30,0.0,0.0
39,D1 17:30,D1 17:45,0.0,0.0
40,D1 17:45,D1 18:00,0.0,0.0
41,D1 18:00,D1 18:15,0.0,0.0
42,D1 18:15,D1 18:30,0.0,0.0
43,D1 18:30,D1 18:45,0.0,0.0
44,D1 18:45,D1 19:00,0.0,0.0
45,D1 19:00,D1 19:15,0.0,0.0
46,D1 19:15,D1 19:30,0.0,0.0
47,D1 19:30,D1 19:45,0.0,0.0
48,D1 19:45,D1 20:00,0.0,0.0
49,D1 20:00,D1 20:15,0.0,0.0
50,D1 20:15,D1 20:30,0.0,0.0
51,D1 20:30,D1 20:45,0.0,0.0
52,D1 20:45,D1 21:00,0.0,0.0
53,D1 21:00,D1 21:15,0.0,0.0
54,D1 21:15,D1 21:30,0.0,0.0
55,D1 21:30,D1 21:45,0.0,0.0
56,D1 21:45,D1 22:00,0.0,0.0
57,D1 22:00,D1 22:15,0.0,0.0
58,D1 22:15,D1 22:30,0.0,0.0
59,D1 22:30,D1 22:45,0.0,0.0
60,D1 22:45,D1 23:00,0.0,0.0
61,D1 23:00,D1 23:15,0.0,0.0
62,D1 23:15,D1 23:30,0.0,0.0
63,D1 23:30,D1 23:45,0.0,0.0
64,D1 23:45,D1 00:00,0.0,0.0
65,D1 00:00,D1 00:15,0.0,0.0
66,D1 00:15,D1 00:30,0.0,0.0
67,D1 00:30,D1 00:45,0.0,0.0
68,D1 00:45,D1 01:00,0.0,0.0
69,D1 01:00,D1 01:15,0.0,0.0
70,D1 01:15,D1 01:30,0.0,0.0
71,D1 01:30,D1 01:45,0.0,0.0
72,D1 01:45,D1 02:00,0.0,0.0
73,D1 02:00,D1 02:15,0.0,0.0
74,D1 02:15,D1 02:30,0.0,0.0
75,D1 02:30,D1 02:45,0.0,0.0
76,D1 02:45,D1 03:00,0.0,0.0
77,D1 03:00,D1 03:15,0.0,0.0
78,D1 03:15,D1 03:30,0.0,0.0
79,D1 03:30,D1 03:45,0.0,0.0
80,D1 03:45,D1 04:00,0.0,0.0
81,D1 04:00,D1 04:15,0.0,0.0
82,D1 04:15,D1 04:30,0.0,0.0
83,D1 04:30,D1 04:45,0.0,0.0
84,D1 04:45,D1 05:00,0.0,0.0
85,D1 05:00,D1 05:15,0.0,0.0
86,D1 05:15,D1 05:30,0.0,0.0
87,D1 05:30,D1 05:45,0.0,0.0
88,D1 05:45,D1 06:00,0.0,0.0
89,D1 06:00,D1 06:15,0.0,0.0
90,D1 06:15,D1 06:30,0.0,0.0
91,D1 06:30,D1 06:45,0.0,0.0
92,D1 06:45,D1 07:00,0.0,0.0
93,D1 07:00,D1 07:15,0.0,0.0
94,D1 07:15,D1 07:30,0.0,0.0
95,D1 07:30,D1 07:45,0.0,0.0
96,D1 07:45,D1 08:00,0.0,0.0
