Metric,A0,A1S,A2S
Total_Discharge_kWh,25.079,25.96,26.797
Total_Work_kWh,26.757,25.871,26.757
N_Capped_Intervals,2,0,0
N_Infeasible_Windows,0,0,0
Missed_Work_hour,0.197,0.25,0.0
Missed_Work_Penalty_USD,394.39,500.0,0.0
