Metric,A0,A1R
Total_Discharge_kWh,23.826,22.794
Total_Work_kWh,24.56,22.929
N_Capped_Intervals,2,1
N_Infeasible_Windows,0,0
Missed_Work_hour,0.044,0.286
Missed_Work_Penalty_USD,87.36,572.94
