Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A1R_minus_A0_cum_kWh
43,18:30,0.0,23.825500000000005,0.0,Idle,Idle,7.99999999999995,22.794482446664276,0.0,Charging,Serving CEV,-1.0310175533357295
44,18:45,0.0,23.825500000000005,0.0,Idle,Idle,0.0,22.794482446664276,0.0,Idle,Traveling,-1.0310175533357295
45,19:00,0.0,23.825500000000005,0.0,Idle,Idle,0.0,22.794482446664276,0.0,Idle,Idle,-1.0310175533357295
46,19:15,0.0,23.825500000000005,0.0,Idle,Idle,0.0,22.794482446664276,0.0,Idle,Idle,-1.0310175533357295
47,19:30,0.0,23.825500000000005,0.0,Idle,Idle,0.0,22.794482446664276,0.0,Idle,Idle,-1.0310175533357295
48,19:45,0.0,23.825500000000005,0.0,Idle,Idle,0.0,22.794482446664276,0.0,Idle,Idle,-1.0310175533357295
49,20:00,0.0,23.825500000000005,0.0,Idle,Idle,0.0,22.794482446664276,0.0,Idle,Idle,-1.0310175533357295
50,20:15,0.0,23.825500000000005,0.0,Idle,Idle,0.0,22.794482446664276,0.0,Idle,Idle,-1.0310175533357295
51,20:30,0.0,23.825500000000005,0.0,Idle,Idle,0.0,22.794482446664276,0.0,Idle,Idle,-1.0310175533357295
52,20:45,0.0,23.825500000000005,0.0,Idle,Idle,0.0,22.794482446664276,0.0,Idle,Idle,-1.0310175533357295
53,21:00,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,22.794482446664276,0.0,Idle,Charging (grid),-1.0310175533357295
54,21:15,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,22.794482446664276,0.0,Idle,Charging (grid),-1.0310175533357295
55,21:30,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,22.794482446664276,0.0,Idle,Charging (grid),-1.0310175533357295
56,21:45,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,22.794482446664276,0.0,Idle,Charging (grid),-1.0310175533357295
57,22:00,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,22.794482446664276,0.0,Idle,Charging (grid),-1.0310175533357295
58,22:15,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,22.794482446664276,0.0,Idle,Charging (grid),-1.0310175533357295
59,22:30,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,22.794482446664276,0.0,Idle,Charging (grid),-1.0310175533357295
60,22:45,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,22.794482446664276,0.0,Idle,Charging (grid),-1.0310175533357295
61,23:00,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,22.794482446664276,0.0,Idle,Charging (grid),-1.0310175533357295
62,23:15,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,22.794482446664276,0.0,Idle,Charging (grid),-1.0310175533357295
63,23:30,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,22.794482446664276,0.0,Idle,Charging (grid),-1.0310175533357295
64,23:45,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,22.794482446664276,0.0,Idle,Charging (grid),-1.0310175533357295
65,00:00,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,22.794482446664276,0.0,Idle,Charging (grid),-1.0310175533357295
66,00:15,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,22.794482446664276,0.0,Idle,Charging (grid),-1.0310175533357295
67,00:30,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,22.794482446664276,0.0,Idle,Charging (grid),-1.0310175533357295
