Metric,A0,A1R
Total_Cost_USD,280.78,763.89
Total_Energy_Cost_USD,10.08,9.71
Total_CO2_Cost_USD,0.43,0.41
NC_demand_charge_USD,57.91,55.82
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,87.36,572.94
Travel_Labour_USD,125.0,125.0
Total_Grid_Energy_kWh,31.66,30.52
Total_CO2_Emissions_kg,8.6,8.29
NCD_Peak_kW,2.88,2.77
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.04,0.29
MCS_Transit_hour,0.5,0.5
Infeasible_windows,0,0
Solve_time_s,5.24,118.27
