Metric,A0,A1S
Total_Discharge_kWh,25.079,26.097
Total_Work_kWh,26.915,26.007
N_Capped_Intervals,3,0
N_Infeasible_Windows,0,0
Missed_Work_hour,0.498,0.25
Missed_Work_Penalty_USD,996.57,500.0
