Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh
1,14.8,14.8
2,13.630675,13.439725000000001
3,12.48995,12.254100000000001
4,14.372725,11.058024999999974
5,13.187100000000001,12.668671052685099
6,11.9921,14.208096260384204
7,10.809475,12.927446260384205
8,12.809475,11.784296260384204
9,14.743749999999993,13.747358091559034
10,13.402274999999992,12.682808091559034
11,12.067549999999992,11.486733091559033
12,10.853949999999992,10.290658091558873
13,12.853949999999992,12.290658091558873
14,11.789399999999992,11.099333091558872
15,10.625424999999991,9.937258091558872
16,9.32297499999999,8.634808091558872
17,8.12797499999999,7.439808091558872
18,10.12797499999999,9.439808091558872
19,12.12797499999999,11.070746942549567
20,12.12797499999999,11.070746942549567
21,12.12797499999999,11.070746942549567
22,12.12797499999999,11.070746942549567
23,12.12797499999999,11.070746942549567
24,12.12797499999999,11.070746942549567
25,12.12797499999999,11.070746942549567
26,10.93189999999999,10.287146942549567
27,9.79117499999999,9.539571942549568
28,8.63692499999999,8.401921942549567
29,7.853324999999991,7.531121942549567
30,7.853324999999991,7.497996942549567
31,7.052574999999991,6.845446942549567
32,5.584424999999991,5.8956469425495674
33,4.783674999999991,4.933471942549567
34,3.6042999999999905,6.933471942549567
35,5.6042999999999905,5.406571942549567
36,4.74507499999999,4.192971942549567
37,4.144674999999991,3.1533219425495673
38,5.594527990430626,3.4129830556552863
39,5.594527990430626,5.412983055655286
40,5.594527990430626,7.294053523386566
41,7.594527990430626,9.294053523386566
42,9.594527990430626,11.294053523386566
43,11.594527990430626,12.984523498769128
44,13.594527990430626,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
