min_activity_duration_s,dist_threshold,idle_window,fsm_min_dwell_seconds,enable_fsm,override_travelling_only,accuracy_percent,cycles_per_hr,productivity_lcy_hr,run_folder
1.0,0.05,20,1.0,True,True,41.70,170.54,259.43,Run_00001
1.0,0.05,20,1.0,True,False,44.09,157.45,239.51,Run_00002
1.0,0.05,20,1.0,False,True,43.73,233.45,355.12,Run_00003
1.0,0.05,20,1.0,False,False,45.54,216.35,329.13,Run_00004
1.0,0.05,20,2.0,True,True,40.36,126.18,191.94,Run_00005
1.0,0.05,20,2.0,True,False,42.97,115.63,175.90,Run_00006
1.0,0.05,20,2.0,False,True,43.73,233.45,355.12,Run_00007
1.0,0.05,20,2.0,False,False,45.54,216.35,329.13,Run_00008
1.0,0.05,20,3.0,True,True,39.43,102.18,155.56,Run_00009
1.0,0.05,20,3.0,True,False,41.91,90.18,137.29,Run_00010
1.0,0.05,20,3.0,False,True,43.73,233.45,355.12,Run_00011
1.0,0.05,20,3.0,False,False,45.54,216.35,329.13,Run_00012
1.0,0.05,30,1.0,True,True,41.69,169.81,258.32,Run_00013
1.0,0.05,30,1.0,True,False,42.75,158.18,240.62,Run_00014
1.0,0.05,30,1.0,False,True,43.74,233.08,354.57,Run_00015
1.0,0.05,30,1.0,False,False,45.56,219.63,334.10,Run_00016
1.0,0.05,30,2.0,True,True,40.35,124.36,189.18,Run_00017
1.0,0.05,30,2.0,True,False,41.55,117.45,178.67,Run_00018
1.0,0.05,30,2.0,False,True,43.74,233.08,354.57,Run_00019
1.0,0.05,30,2.0,False,False,45.56,219.63,334.10,Run_00020
1.0,0.05,30,3.0,True,True,39.63,100.72,153.35,Run_00021
1.0,0.05,30,3.0,True,False,40.63,92.72,141.17,Run_00022
1.0,0.05,30,3.0,False,True,43.74,233.08,354.57,Run_00023
1.0,0.05,30,3.0,False,False,45.56,219.63,334.10,Run_00024
1.0,0.05,40,1.0,True,True,41.67,169.08,257.22,Run_00025
1.0,0.05,40,1.0,True,False,42.81,162.90,247.81,Run_00026
1.0,0.05,40,1.0,False,True,43.73,233.45,355.12,Run_00027
1.0,0.05,40,1.0,False,False,45.47,223.26,339.64,Run_00028
1.0,0.05,40,2.0,True,True,40.36,124.36,189.18,Run_00029
1.0,0.05,40,2.0,True,False,41.33,121.09,184.20,Run_00030
1.0,0.05,40,2.0,False,True,43.73,233.45,355.12,Run_00031
1.0,0.05,40,2.0,False,False,45.47,223.26,339.64,Run_00032
1.0,0.05,40,3.0,True,True,39.63,100.36,152.79,Run_00033
1.0,0.05,40,3.0,True,False,40.52,95.63,145.60,Run_00034
1.0,0.05,40,3.0,False,True,43.73,233.45,355.12,Run_00035
1.0,0.05,40,3.0,False,False,45.47,223.26,339.64,Run_00036
1.0,0.05,50,1.0,True,True,41.69,169.08,257.22,Run_00037
1.0,0.05,50,1.0,True,False,44.04,163.63,248.92,Run_00038
1.0,0.05,50,1.0,False,True,43.75,233.45,355.12,Run_00039
1.0,0.05,50,1.0,False,False,45.38,223.26,339.64,Run_00040
1.0,0.05,50,2.0,True,True,40.36,124.36,189.18,Run_00041
1.0,0.05,50,2.0,True,False,42.69,120.36,183.09,Run_00042
1.0,0.05,50,2.0,False,True,43.75,233.45,355.12,Run_00043
1.0,0.05,50,2.0,False,False,45.38,223.26,339.64,Run_00044
1.0,0.05,50,3.0,True,True,39.70,100.36,152.79,Run_00045
1.0,0.05,50,3.0,True,False,41.68,94.91,144.49,Run_00046
1.0,0.05,50,3.0,False,True,43.75,233.45,355.12,Run_00047
1.0,0.05,50,3.0,False,False,45.38,223.26,339.64,Run_00048
1.0,0.05,60,1.0,True,True,41.71,168.72,256.66,Run_00049
1.0,0.05,60,1.0,True,False,43.32,164.72,250.58,Run_00050
1.0,0.05,60,1.0,False,True,43.73,233.45,355.12,Run_00051
1.0,0.05,60,1.0,False,False,45.34,224.35,341.29,Run_00052
1.0,0.05,60,2.0,True,True,40.41,123.99,188.62,Run_00053
1.0,0.05,60,2.0,True,False,42.18,121.81,185.31,Run_00054
1.0,0.05,60,2.0,False,True,43.73,233.45,355.12,Run_00055
1.0,0.05,60,2.0,False,False,45.34,224.35,341.29,Run_00056
1.0,0.05,60,3.0,True,True,39.72,100.36,152.79,Run_00057
1.0,0.05,60,3.0,True,False,41.30,95.27,145.11,Run_00058
1.0,0.05,60,3.0,False,True,43.73,233.45,355.12,Run_00059
1.0,0.05,60,3.0,False,False,45.34,224.35,341.29,Run_00060
1.0,0.05,70,1.0,True,True,41.71,168.72,256.66,Run_00061
1.0,0.05,70,1.0,True,False,43.42,164.72,250.58,Run_00062
1.0,0.05,70,1.0,False,True,43.73,233.45,355.12,Run_00063
1.0,0.05,70,1.0,False,False,45.15,224.72,341.85,Run_00064
1.0,0.05,70,2.0,True,True,40.41,123.63,188.07,Run_00065
1.0,0.05,70,2.0,True,False,42.04,121.09,184.20,Run_00066
1.0,0.05,70,2.0,False,True,43.73,233.45,355.12,Run_00067
1.0,0.05,70,2.0,False,False,45.15,224.72,341.85,Run_00068
1.0,0.05,70,3.0,True,True,39.73,100.00,152.24,Run_00069
1.0,0.05,70,3.0,True,False,41.11,95.63,145.67,Run_00070
1.0,0.05,70,3.0,False,True,43.73,233.45,355.12,Run_00071
1.0,0.05,70,3.0,False,False,45.15,224.72,341.85,Run_00072
1.0,0.05,80,1.0,True,True,41.71,168.72,256.66,Run_00073
1.0,0.05,80,1.0,True,False,43.23,165.45,251.68,Run_00074
1.0,0.05,80,1.0,False,True,43.73,233.45,355.12,Run_00075
1.0,0.05,80,1.0,False,False,45.20,224.72,341.85,Run_00076
1.0,0.05,80,2.0,True,True,40.41,123.99,188.62,Run_00077
1.0,0.05,80,2.0,True,False,41.87,121.09,184.20,Run_00078
1.0,0.05,80,2.0,False,True,43.73,233.45,355.12,Run_00079
1.0,0.05,80,2.0,False,False,45.20,224.72,341.85,Run_00080
1.0,0.05,80,3.0,True,True,39.73,100.00,152.24,Run_00081
1.0,0.05,80,3.0,True,False,41.07,96.36,146.77,Run_00082
1.0,0.05,80,3.0,False,True,43.73,233.45,355.12,Run_00083
1.0,0.05,80,3.0,False,False,45.20,224.72,341.85,Run_00084
1.0,0.1,20,1.0,True,True,41.32,173.08,263.30,Run_00085
1.0,0.1,20,1.0,True,False,43.29,126.90,193.05,Run_00086
1.0,0.1,20,1.0,False,True,43.40,233.81,355.68,Run_00087
1.0,0.1,20,1.0,False,False,44.21,176.36,268.28,Run_00088
1.0,0.1,20,2.0,True,True,40.18,127.63,194.16,Run_00089
1.0,0.1,20,2.0,True,False,42.34,92.72,141.05,Run_00090
1.0,0.1,20,2.0,False,True,43.40,233.81,355.68,Run_00091
1.0,0.1,20,2.0,False,False,44.21,176.36,268.28,Run_00092
1.0,0.1,20,3.0,True,True,39.27,103.27,157.22,Run_00093
1.0,0.1,20,3.0,True,False,41.90,72.00,109.67,Run_00094
1.0,0.1,20,3.0,False,True,43.40,233.81,355.68,Run_00095
1.0,0.1,20,3.0,False,False,44.21,176.36,268.28,Run_00096
