Time_Period,CEV_1_approach0_kWh,CEV_1_shrinking_kWh,CEV_1_receding_kWh
1,14.8,14.8,14.8
2,13.609149497286564,13.609149497286564,13.609149497286564
3,12.3628193838181,12.3628193838181,12.3628193838181
4,11.20343437713382,11.20343437713382,11.20343437713382
5,13.20343437713382,10.073368307257493,10.073368307257493
6,12.073368307257493,12.073368307257493,11.231703830637452
7,10.790745472472898,10.790745472472898,9.949080995852857
8,9.705052122298662,9.705052122298662,8.863387645678621
9,11.705052122298662,8.454274371737835,10.863387645678621
10,10.454274371737835,7.214229248027128,9.612609895117794
11,9.214229248027127,9.214229248027127,8.372564771407086
12,8.0197974178411,8.451698468886097,7.178132941221058
13,10.0197974178411,7.326772725119881,6.053207197454842
14,8.894871674074883,6.1323408949338525,6.784032756571207
15,7.684121416804717,4.921590637663686,5.573282499301041
16,6.921590637663686,4.921590637663686,4.4075373741651305
17,5.755845512527776,3.7558455125277757,3.1900867044782
18,7.755845512527776,4.753536660136133,5.1900867044782
19,9.755845512527776,4.753536660136133,6.799030556399667
20,11.755845512527776,6.753536660136133,6.799030556399667
21,13.755845512527776,8.693136577222363,8.799030556399668
22,14.8,8.693136577222363,8.799030556399668
23,14.8,10.069616429681286,10.799030556399668
24,14.8,12.069616429681286,12.799030556399668
25,14.8,14.069616429681286,14.799030556399668
26,13.582549330313071,12.852165759994357,14.036499777258637
27,12.394748510405403,11.664364940086688,12.848698957350969
28,11.090514403024358,10.886957684863782,11.544464849969923
29,10.313107147801452,9.582723577482739,10.767057594747017
30,12.313107147801452,11.582723577482739,11.112970673427913
31,11.539891230385061,10.809507660066348,10.339754756011523
32,10.745254629131672,10.01487105881296,9.545118154758134
33,9.554174221151543,8.82379065083283,8.354037746778005
34,8.661945136475659,7.931561566156946,10.354037746778005
35,10.661945136475659,9.931561566156946,12.338449133399092
36,12.661945136475659,11.931561566156946,11.446220048723207
37,11.838593080292526,11.108209509973813,10.622867992540074
38,13.838593080292526,13.108209509973813,12.622867992540074
39,14.539243080292524,14.8,14.622867992540074
40,14.539243080292524,14.8,14.799999999999999
41,14.539243080292524,14.8,14.799999999999999
42,14.539243080292524,14.8,14.799999999999999
43,14.539243080292524,14.8,14.799999999999999
44,14.539243080292524,14.8,14.799999999999999
45,14.539243080292524,14.8,14.799999999999999
46,14.539243080292524,14.8,14.799999999999999
47,14.539243080292524,14.8,14.799999999999999
48,14.539243080292524,14.8,14.799999999999999
49,14.539243080292524,14.8,14.799999999999999
50,14.539243080292524,14.8,14.799999999999999
51,14.539243080292524,14.8,14.799999999999999
52,14.539243080292524,14.8,14.799999999999999
53,14.539243080292524,14.8,14.799999999999999
54,14.539243080292524,14.8,14.799999999999999
55,14.539243080292524,14.8,14.799999999999999
56,14.539243080292524,14.8,14.799999999999999
57,14.539243080292524,14.8,14.799999999999999
58,14.539243080292524,14.8,14.799999999999999
59,14.539243080292524,14.8,14.799999999999999
60,14.539243080292524,14.8,14.799999999999999
61,14.539243080292524,14.8,14.799999999999999
62,14.539243080292524,14.8,14.799999999999999
63,14.539243080292524,14.8,14.799999999999999
64,14.539243080292524,14.8,14.799999999999999
65,14.539243080292524,14.8,14.799999999999999
66,14.539243080292524,14.8,14.799999999999999
67,14.539243080292524,14.8,14.799999999999999
68,14.539243080292524,14.8,14.799999999999999
69,14.539243080292524,14.8,14.799999999999999
70,14.539243080292524,14.8,14.799999999999999
71,14.539243080292524,14.8,14.799999999999999
72,14.539243080292524,14.8,14.799999999999999
73,14.539243080292524,14.8,14.799999999999999
74,14.539243080292524,14.8,14.799999999999999
75,14.539243080292524,14.8,14.799999999999999
76,14.539243080292524,14.8,14.799999999999999
77,14.539243080292524,14.8,14.799999999999999
78,14.539243080292524,14.8,14.799999999999999
79,14.539243080292524,14.8,14.799999999999999
80,14.539243080292524,14.8,14.799999999999999
81,14.539243080292524,14.8,14.799999999999999
82,14.539243080292524,14.8,14.799999999999999
83,14.539243080292524,14.8,14.799999999999999
84,14.539243080292524,14.8,14.799999999999999
85,14.539243080292524,14.8,14.799999999999999
86,14.539243080292524,14.8,14.799999999999999
87,14.539243080292524,14.8,14.799999999999999
88,14.539243080292524,14.8,14.799999999999999
89,14.539243080292524,14.8,14.799999999999999
90,14.539243080292524,14.8,14.799999999999999
91,14.539243080292524,14.8,14.799999999999999
92,14.539243080292524,14.8,14.799999999999999
93,14.539243080292524,14.8,14.799999999999999
94,14.539243080292524,14.8,14.799999999999999
95,14.539243080292524,14.8,14.799999999999999
96,14.539243080292524,14.8,14.799999999999999
97,14.539243080292524,14.8,14.799999999999999
