Time_Period,MCS_1_approach0_kWh,MCS_1_shrinking_kWh,MCS_1_receding_kWh
1,250.0,250.0,250.0
2,250.0,250.0,250.0
3,250.0,247.5,247.5
4,247.5,247.5,247.5
5,245.39473684210526,247.5,247.5
6,245.39473684210526,245.39473684210526,246.28069944907372
7,245.39473684210526,245.39473684210526,246.28069944907372
8,245.39473684210526,245.39473684210526,246.28069944907372
9,243.28947368421055,245.39473684210526,244.17543629117898
10,243.28947368421055,245.39473684210526,244.175436291179
11,243.28947368421055,243.28947368421052,244.175436291179
12,243.28947368421055,243.28947368421055,244.175436291179
13,241.1842105263158,243.28947368421055,244.175436291179
14,241.1842105263158,243.28947368421055,243.40614622895126
15,241.1842105263158,243.28947368421055,243.40614622895126
16,241.1842105263158,243.28947368421055,243.40614622895126
17,241.1842105263158,243.28947368421055,243.40614622895126
18,239.0789473684211,242.23927247620176,241.30088307105652
19,236.97368421052636,242.23927247620176,239.60725796377076
20,234.86842105263162,240.13400931830702,239.60725796377076
21,232.7631578947369,238.09232519505835,237.50199480587602
22,231.5803684210527,238.09232519505835,237.50199480587602
23,231.5803684210527,236.64339903457528,235.39673164798128
24,231.5803684210527,234.53813587668054,233.29146849008654
25,231.5803684210527,232.4328727187858,231.1862053321918
26,231.5803684210527,232.4328727187858,231.1862053321918
27,231.5803684210527,232.4328727187858,231.1862053321918
28,231.5803684210527,232.4328727187858,231.1862053321918
29,231.5803684210527,232.4328727187858,231.1862053321918
30,229.47510526315799,230.32760956089106,230.8220863020014
31,229.47510526315799,230.32760956089106,230.82208630200142
32,229.47510526315799,230.32760956089106,230.82208630200142
33,229.47510526315799,230.32760956089106,230.82208630200142
34,229.47510526315799,230.32760956089106,228.71682314410668
35,227.36984210526325,228.22234640299632,226.6279690529266
36,225.26457894736853,226.11708324510158,226.6279690529266
37,225.26457894736853,226.1170832451016,226.6279690529266
38,223.1593157894738,224.01182008720687,224.52270589503186
39,222.42178947368433,222.23098799244246,222.41744273713712
40,219.92178947368433,219.73098799244246,222.23098799244246
41,219.92178947368433,219.73098799244246,219.73098799244246
42,219.92178947368433,219.73098799244246,219.73098799244246
43,219.92178947368433,219.73098799244246,219.73098799244246
44,219.92178947368433,219.73098799244246,219.73098799244246
45,219.92178947368433,219.73098799244246,219.73098799244246
46,219.92178947368433,219.73098799244246,219.73098799244246
47,219.92178947368433,219.73098799244246,219.73098799244246
48,219.92178947368433,219.73098799244246,219.73098799244246
49,219.92178947368433,219.73098799244246,219.73098799244246
50,219.92178947368433,219.73098799244246,219.73098799244246
51,219.92178947368433,219.73098799244246,219.73098799244246
52,219.92178947368433,219.73098799244246,219.73098799244246
53,219.92178947368433,219.73098799244246,219.73098799244246
54,220.60538516746422,220.41892008352332,220.41892008352332
55,221.2889808612441,221.1068521746042,221.1068521746042
56,221.972576555024,221.79478426568505,221.79478426568505
57,222.65617224880393,222.48271635676593,222.48271635676593
58,223.33976794258382,223.1706484478468,223.1706484478468
59,224.0233636363637,223.85858053892767,223.85858053892767
60,224.70695933014363,224.54651263000852,224.54651263000852
61,225.39055502392353,225.2344447210894,225.2344447210894
62,226.07415071770342,225.92237681217026,225.92237681217026
63,226.75774641148334,226.61030890325114,226.61030890325114
64,227.44134210526326,227.298240994332,227.298240994332
65,228.12493779904315,227.98617308541228,227.98617308541273
66,228.80853349282307,228.67410517649313,228.67410517649358
67,229.49212918660297,229.36203726757398,229.36203726757446
68,230.1757248803829,230.04996935865483,230.04996935865532
69,230.85932057416278,230.7379014497357,230.7379014497362
70,231.54291626794267,231.42583354081657,231.42583354081705
71,232.2265119617226,232.11376563189742,232.11376563189793
72,232.91010765550246,232.8016977229783,232.8016977229788
73,233.59370334928235,233.48962981405916,233.48962981405967
74,234.27729904306227,234.17756190514004,234.17756190514052
75,234.96089473684216,234.8654939962209,234.8654939962214
76,235.64449043062206,235.55342608730177,235.55342608730226
77,236.328086124402,236.24135817838263,236.24135817838314
78,237.0116818181819,236.9292902694635,236.929290269464
79,237.6952775119618,237.61722236054436,237.61722236054487
80,238.37887320574163,238.30515445162524,238.30515445162573
81,239.06246889952155,238.9930865427061,238.9930865427066
82,239.7460645933014,239.68101863378695,239.68101863378746
83,240.42966028708136,240.3689507248678,240.36895072486834
84,241.11325598086125,241.05688281594865,241.0568828159492
85,241.79685167464115,241.74481490702948,241.74481490703008
86,242.48044736842104,242.43274699811033,242.43274699811093
87,243.16404306220096,243.12067908919119,243.12067908919178
88,243.84763875598085,243.80861118027204,243.80861118027264
89,244.53123444976075,244.49654327135292,244.4965432713535
90,245.21483014354067,245.18447536243391,245.18447536243403
91,245.89842583732056,245.87240745351397,245.87240745351488
92,246.58202153110045,246.56033954459497,246.56033954459573
93,247.26561722488037,247.24827163567596,247.2482716356766
94,247.94921291866027,247.93620372675696,247.9362037267574
95,248.63280861244016,248.62413581783798,248.6241358178383
96,249.31640430622008,249.31206790891898,249.31206790891912
97,250.0,250.0,250.0
