Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A1R_minus_A0_cum_kWh,A2R_minus_A0_cum_kWh
28,14:45,8.0,11.261184210525762,0.0,Charging,Serving CEV,0.0,12.486652839830484,3.5355208537506546,Loading/Swinging,Charging (grid),0.0,12.944626096048728,5.243912706422161,Digging,Idle,1.2254686293047214,1.6834418855229654
29,15:00,0.0,11.261184210525762,3.5806071039924117,Loading/Swinging,Idle,0.0,12.486652839830484,0.0,Idle,Charging (grid),8.0,14.944626096048728,0.0,Charging,Serving CEV,1.2254686293047214,3.6834418855229654
30,15:15,0.0,11.261184210525762,3.550707585561845,Loading/Swinging,Idle,0.0,12.486652839830484,3.7316673228953734,Loading/Swinging,Charging (grid),0.0,14.944626096048728,3.5591315551434137,Loading/Swinging,Idle,1.2254686293047214,3.6834418855229654
31,15:30,0.0,11.261184210525762,3.5591315551434137,Loading/Swinging,Idle,0.0,12.486652839830484,3.5932346744961485,Loading/Swinging,Charging (grid),0.0,14.944626096048728,3.5355208537506546,Loading/Swinging,Idle,1.2254686293047214,3.6834418855229654
32,15:45,0.0,11.261184210525762,3.5355208537506546,Loading/Swinging,Idle,0.0,12.486652839830484,5.269036384177392,Digging,Charging (grid),0.0,14.944626096048728,5.420396672153049,Digging,Idle,1.2254686293047214,3.6834418855229654
33,16:00,8.0,13.261184210525762,0.0,Charging,Serving CEV,0.0,12.486652839830484,5.510753107232082,Traveling,Traveling,0.0,14.944626096048728,5.510753107232082,Traveling,Idle,-0.7745313706952786,1.6834418855229654
34,16:15,0.0,13.261184210525762,5.510753107232082,Traveling,Idle,6.305165177863349,14.062944134296322,0.0,Charging,Serving CEV,1.3190513304687326,15.27438892866591,0.0,Charging,Serving CEV,0.8017599237705593,2.0132047181401482
35,16:30,0.0,13.261184210525762,3.7316673228953734,Loading/Swinging,Idle,7.668149201165086,15.979981434587593,0.0,Charging,Serving CEV,0.0,15.27438892866591,3.7316673228953734,Loading/Swinging,Idle,2.7187972240618308,2.0132047181401482
36,16:45,0.0,13.261184210525762,3.5932346744961485,Loading/Swinging,Idle,0.0,15.979981434587593,5.243912706422161,Digging,Idle,0.0,15.27438892866591,3.5932346744961485,Loading/Swinging,Idle,2.7187972240618308,2.0132047181401482
37,17:00,8.0,15.261184210525762,0.0,Charging,Serving CEV,0.0715844698567474,15.99787755205178,0.0,Charging,Serving CEV,8.0,17.27438892866591,0.0,Charging,Serving CEV,0.7366933415260171,2.0132047181401482
38,17:15,8.0,17.261184210525762,0.0,Charging,Serving CEV,7.996232396323326,17.99693565113261,0.0,Charging,Serving CEV,0.3271283602143994,17.35617101871951,0.0,Charging,Serving CEV,0.7357514406068475,0.09498680819374883
39,17:30,8.0,19.261184210525762,0.0,Charging,Serving CEV,7.5791456633514045,19.89172206697046,0.0,Charging,Serving CEV,8.0,19.35617101871951,0.0,Charging,Serving CEV,0.6305378564446968,0.09498680819374883
40,17:45,0.0,19.261184210525762,0.0,Idle,Idle,7.601097596665719,21.79199646613689,0.0,Charging,Serving CEV,8.0,21.35617101871951,0.0,Charging,Serving CEV,2.530812255611128,2.094986808193749
41,18:00,8.0,21.261184210525762,0.0,Charging,Serving CEV,8.0,23.79199646613689,0.0,Charging,Serving CEV,8.0,23.35617101871951,0.0,Charging,Serving CEV,2.530812255611128,2.094986808193749
42,18:15,8.0,23.261184210525762,0.0,Charging,Serving CEV,7.17888960017549,25.586718866180764,0.0,Charging,Serving CEV,8.0,25.35617101871951,0.0,Charging,Serving CEV,2.3255346556550016,2.094986808193749
43,18:30,0.0,23.261184210525762,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Traveling,6.298572191567668,26.93081406661143,0.0,Charging,Serving CEV,2.3255346556550016,3.669629856085667
44,18:45,7.273157894739047,25.079473684210523,0.0,Charging,Serving CEV,0.0,25.586718866180764,0.0,Idle,Idle,0.0,26.93081406661143,0.0,Idle,Traveling,0.5072451819702408,1.851340382400906
45,19:00,0.0,25.079473684210523,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Idle,0.0,26.93081406661143,0.0,Idle,Idle,0.5072451819702408,1.851340382400906
46,19:15,0.0,25.079473684210523,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Idle,0.0,26.93081406661143,0.0,Idle,Idle,0.5072451819702408,1.851340382400906
47,19:30,0.0,25.079473684210523,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Idle,0.0,26.93081406661143,0.0,Idle,Idle,0.5072451819702408,1.851340382400906
48,19:45,0.0,25.079473684210523,0.0,Idle,Idle,0.0,25.586718866180764,0.0,Idle,Idle,0.0,26.93081406661143,0.0,Idle,Idle,0.5072451819702408,1.851340382400906
