"VIN","Machine name","Event time","Battery (%)"
"JCB8GFB1PP3248768","11009663","03/02/2026 07:22:13","100"
"JCB8GFB1PP3248768","11009663","03/02/2026 07:22:14","100"
"JCB8GFB1PP3248768","11009663","03/02/2026 07:22:33","100"
"JCB8GFB1PP3248768","11009663","03/02/2026 07:23:48","100"
"JCB8GFB1PP3248768","11009663","03/02/2026 07:24:08","100"
"JCB8GFB1PP3248768","11009663","03/02/2026 09:19:31","100"
"JCB8GFB1PP3248768","11009663","03/02/2026 09:19:32","100"
"JCB8GFB1PP3248768","11009663","03/02/2026 09:19:33","100"
"JCB8GFB1PP3248768","11009663","03/02/2026 09:19:38","100"
"JCB8GFB1PP3248768","11009663","03/02/2026 09:19:57","100"
"JCB8GFB1PP3248768","11009663","03/02/2026 09:20:56","100"
"JCB8GFB1PP3248768","11009663","03/02/2026 09:20:59","100"
"JCB8GFB1PP3248768","11009663","03/02/2026 09:34:30","96"
"JCB8GFB1PP3248768","11009663","03/02/2026 09:49:30","89"
"JCB8GFB1PP3248768","11009663","03/02/2026 09:51:45","87"
"JCB8GFB1PP3248768","11009663","03/02/2026 09:51:47","87"
"JCB8GFB1PP3248768","11009663","03/02/2026 10:18:23","87"
"JCB8GFB1PP3248768","11009663","03/02/2026 10:18:32","87"
"JCB8GFB1PP3248768","11009663","03/02/2026 10:18:33","87"
"JCB8GFB1PP3248768","11009663","03/02/2026 10:18:42","87"
"JCB8GFB1PP3248768","11009663","03/02/2026 10:18:53","87"
"JCB8GFB1PP3248768","11009663","03/02/2026 10:19:38","87"
"JCB8GFB1PP3248768","11009663","03/02/2026 10:19:51","87"
"JCB8GFB1PP3248768","11009663","03/02/2026 10:19:52","87"
"JCB8GFB1PP3248768","11009663","03/02/2026 10:33:23","86"
"JCB8GFB1PP3248768","11009663","03/02/2026 10:48:23","81"
"JCB8GFB1PP3248768","11009663","03/02/2026 11:02:00","74"
"JCB8GFB1PP3248768","11009663","03/02/2026 11:02:02","74"
"JCB8GFB1PP3248768","11009663","03/02/2026 11:10:43","76"
"JCB8GFB1PP3248768","11009663","03/02/2026 11:10:45","74"
"JCB8GFB1PP3248768","11009663","03/02/2026 11:10:46","74"
"JCB8GFB1PP3248768","11009663","03/02/2026 11:11:03","74"
"JCB8GFB1PP3248768","11009663","03/02/2026 11:11:04","74"
"JCB8GFB1PP3248768","11009663","03/02/2026 11:11:23","74"
"JCB8GFB1PP3248768","11009663","03/02/2026 11:12:29","72"
"JCB8GFB1PP3248768","11009663","03/02/2026 11:18:00","71"
"JCB8GFB1PP3248768","11009663","03/02/2026 11:18:02","71"
"JCB8GFB1PP3248768","11009663","03/02/2026 11:18:39","71"
"JCB8GFB1PP3248768","11009663","03/02/2026 12:03:21","73"
"JCB8GFB1PP3248768","11009663","03/02/2026 12:03:22","71"
"JCB8GFB1PP3248768","11009663","03/02/2026 12:03:24","71"
"JCB8GFB1PP3248768","11009663","03/02/2026 12:03:43","71"
"JCB8GFB1PP3248768","11009663","03/02/2026 12:04:19","71"
"JCB8GFB1PP3248768","11009663","03/02/2026 12:04:21","71"
"JCB8GFB1PP3248768","11009663","03/02/2026 12:04:46","71"
"JCB8GFB1PP3248768","11009663","03/02/2026 12:16:38","71"
"JCB8GFB1PP3248768","11009663","03/02/2026 12:16:56","71"
"JCB8GFB1PP3248768","11009663","03/02/2026 12:18:02","71"
