Time_Period,Clock,A0_Charging_kW,A0_Discharging_kW,A1R_Charging_kW,A1R_Discharging_kW,A2R_Charging_kW,A2R_Discharging_kW
1,08:00,0.0,0.0,0.0,0.0,0.0,0.0
2,08:15,-0.0,0.0,0.0,0.0,0.0,0.0
3,08:30,-0.0,0.0,0.0,8.0,0.0,0.0
4,08:45,-0.0,0.0,0.0,0.0,0.0,0.0
5,09:00,-0.0,8.0,0.0,0.0,0.0,8.0
6,09:15,0.0,0.0,0.0,0.0,0.0,0.0
7,09:30,-0.0,8.0,0.0,0.0,0.0,0.0
8,09:45,-0.0,0.0,0.0,8.0,0.0,0.0
9,10:00,-0.0,8.0,0.0,0.0,0.0,0.0
10,10:15,-0.0,0.0,0.0,8.0,0.0,8.0
11,10:30,-0.0,0.0,0.0,0.0,0.0,0.0
12,10:45,-0.0,0.0,0.0,6.232398470887588,0.0,0.0
13,11:00,-0.0,0.0,0.0,0.0,0.0,0.0
14,11:15,-0.0,8.0,0.0,0.0,0.0,8.0
15,11:30,-0.0,0.0,0.0,0.0,0.0,0.0
16,11:45,-0.0,0.0,0.0,0.0,0.0,0.0
17,12:00,-0.0,8.0,0.0,0.5498379792570205,0.0,0.0
18,12:15,-0.0,8.0,0.0,8.0,0.0,8.0
19,12:30,-0.0,7.302000000000817,0.0,8.0,0.0,8.0
20,12:45,-0.0,0.0,0.0,8.0,0.0,0.8707778787442392
21,13:00,-0.0,0.0,0.0,0.0,0.0,0.0
22,13:15,0.0,0.0,0.0,0.0,0.0,8.0
23,13:30,0.0,0.0,0.0,0.0,0.0,5.155981015108615
24,13:45,0.0,0.0,0.0,0.0,0.0,8.0
25,14:00,0.0,0.0,0.0,0.0,0.0,0.0
26,14:15,0.0,0.0,0.0,0.0,0.0,0.0
27,14:30,0.0,7.999999999999999,0.0,7.949752644489536,0.0,0.0
28,14:45,0.0,0.0,0.0,0.0,0.0,0.0
29,15:00,0.0,0.0,0.0,0.0,0.0,8.0
30,15:15,0.0,0.0,0.0,0.0,0.0,0.0
31,15:30,0.0,0.0,0.0,0.0,0.0,0.0
32,15:45,0.0,7.999999999999999,0.0,8.0,0.0,0.0
33,16:00,0.0,0.0,0.0,0.0,0.0,0.0
34,16:15,0.0,0.0,0.0,0.0,0.0,2.662699879227624
35,16:30,0.0,0.0,0.0,0.0,0.0,8.0
36,16:45,0.0,0.0,0.0,0.0,0.0,0.0
37,17:00,0.0,8.0,0.0,0.0,0.0,8.0
38,17:15,0.0,8.0,0.0,1.8972644206887352,0.0,7.939794742242398
39,17:30,0.0,8.0,0.0,8.0,0.0,0.0
40,17:45,0.0,0.0,0.0,8.0,-0.0,0.0
41,18:00,0.0,0.0,0.0,8.0,-0.0,0.0
42,18:15,0.0,0.0,0.0,0.0,-0.0,0.0
43,18:30,0.0,0.0,-0.0,0.0,-0.0,0.0
44,18:45,0.0,0.0,-0.0,0.0,-0.0,0.0
45,19:00,0.0,0.0,-0.0,0.0,-0.0,0.0
46,19:15,-0.0,0.0,-0.0,0.0,-0.0,0.0
47,19:30,-0.0,0.0,-0.0,0.0,-0.0,0.0
48,19:45,-0.0,0.0,-0.0,0.0,-0.0,0.0
49,20:00,-0.0,0.0,-0.0,0.0,-0.0,0.0
50,20:15,-0.0,0.0,-0.0,0.0,-0.0,0.0
51,20:30,-0.0,0.0,-0.0,0.0,-0.0,0.0
52,20:45,-0.0,0.0,0.0,0.0,0.0,0.0
53,21:00,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
54,21:15,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
55,21:30,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
56,21:45,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
57,22:00,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
58,22:15,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
59,22:30,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
60,22:45,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
61,23:00,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
62,23:15,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
63,23:30,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
64,23:45,2.8784185343741937,0.0,2.911842193786955,0.0,2.9118421937878582,0.0
65,00:00,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
66,00:15,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
67,00:30,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
68,00:45,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
69,01:00,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
70,01:15,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
71,01:30,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
72,01:45,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
73,02:00,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
74,02:15,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
75,02:30,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
76,02:45,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
77,03:00,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
78,03:15,2.8784185343741937,0.0,2.9118421937880314,0.0,2.911842193788035,0.0
