Metric,A0,A1R,A2R
Total_Cost_USD,215.22,161.15,161.15
Total_Energy_Cost_USD,50.57,50.42,50.42
Total_CO2_Cost_USD,2.16,2.15,2.15
NC_demand_charge_USD,58.59,58.59,58.59
OP_demand_charge_USD,0.0,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0,0.0
Travel_Labour_USD,50.0,50.0,50.0
Terminal_Shortfall_Penalty_USD,53.91,0.0,0.0
Total_Grid_Energy_kWh,158.88,158.41,158.41
Total_CO2_Emissions_kg,43.17,43.04,43.04
NCD_Peak_kW,2.91,2.91,2.91
OPD_Peak_kW,0.0,0.0,0.0
Missed_Work_hour,0.0,0.0,0.0
MCS_Transit_hour,2.5,2.5,2.5
Terminal_SOE_Shortfall_kWh,0.114,0.0,0.0
Infeasible_windows,0,0,0
Solve_time_s,52.66,648.09,20504.66
