Time_Period,MCS_1_A0_kWh,MCS_1_A1R_kWh,MCS_1_A2R_kWh
1,250.0,250.0,250.0
2,247.5,247.5,247.5
3,247.50000000000014,247.5,247.5
4,247.50000000000014,245.39473684210526,247.5
5,247.50000000000014,245.39473684210526,247.5
6,245.3947368421054,245.39473684210526,245.39473684210526
7,245.3947368421054,245.39473684210526,245.39473684210526
8,243.2894736842107,245.39473684210526,245.39473684210526
9,243.28947368421066,243.28947368421052,245.39473684210526
10,241.18421052631592,243.28947368421055,245.39473684210526
11,241.18421052631595,241.1842105263158,243.28947368421052
12,241.18421052631595,241.1842105263158,243.28947368421055
13,241.18421052631595,239.54410566555592,243.28947368421055
14,241.18421052631595,239.54410566555595,243.28947368421055
15,239.07894736842127,239.54410566555595,241.1842105263158
16,239.07894736842127,239.54410566555595,241.1842105263158
17,239.07894736842127,239.54410566555595,241.1842105263158
18,236.9736842105266,239.3994114604883,241.1842105263158
19,234.86842105263187,237.29414830259356,239.07894736842107
20,232.94684210526327,235.18888514469882,236.97368421052633
21,232.94684210526327,233.08362198680408,236.74453213717257
22,232.94684210526327,233.08362198680408,236.74453213717257
23,232.94684210526327,233.08362198680408,234.63926897927783
24,232.94684210526327,233.08362198680408,233.28243187003872
25,232.94684210526327,233.08362198680408,231.17716871214398
26,232.94684210526327,233.08362198680408,231.17716871214398
27,232.94684210526327,233.08362198680408,231.17716871214398
28,230.84157894736853,230.99158181720156,231.17716871214398
29,230.84157894736853,230.99158181720156,231.17716871214398
30,230.84157894736853,230.99158181720156,229.07190555424924
31,230.84157894736853,230.99158181720156,229.07190555424924
32,230.84157894736853,230.99158181720156,229.07190555424924
33,228.7363157894738,228.88631865930682,229.07190555424924
34,228.73631578947382,228.88631865930682,229.07190555424924
35,228.7363157894738,228.88631865930682,228.37119505971566
36,228.73631578947382,228.88631865930682,226.26593190182092
37,228.73631578947382,228.88631865930682,226.26593190182092
38,226.63105263157905,228.88631865930682,224.16066874392618
39,224.5257894736843,228.38703854859926,222.07124907491502
40,222.42052631578957,226.28177539070452,219.571249074915
41,222.42052631578957,224.17651223280978,219.571249074915
42,222.42052631578957,222.07124907491504,219.571249074915
43,222.42052631578957,219.57124907491504,219.571249074915
44,222.42052631578957,219.57124907491504,219.571249074915
45,222.42052631578957,219.57124907491504,219.571249074915
46,222.42052631578957,219.57124907491504,219.571249074915
47,219.92052631578957,219.57124907491504,219.571249074915
48,219.92052631578957,219.57124907491504,219.571249074915
49,219.92052631578957,219.57124907491504,219.571249074915
50,219.92052631578957,219.57124907491504,219.571249074915
51,219.92052631578957,219.57124907491504,219.571249074915
52,219.92052631578957,219.57124907491504,219.571249074915
53,219.92052631578957,219.57124907491504,219.571249074915
54,220.60415071770342,220.2628115959397,220.26281159593967
55,221.2877751196173,220.95437411696435,220.95437411696432
56,221.97139952153114,221.64593663798902,221.645936637989
57,222.65502392344501,222.33749915901367,222.33749915901365
58,223.33864832535886,223.02906168003835,223.02906168003832
