Time_Period,Clock,approach0_Charging_kW,approach0_Discharging_kW,shrinking_Charging_kW,shrinking_Discharging_kW,receding_Charging_kW,receding_Discharging_kW
77,03:00,2.878025686225129,0.0,2.81227353756003,0.0,2.896614749017677,0.0
78,03:15,2.878025686225129,0.0,2.81227353756003,0.0,2.896614749017677,0.0
79,03:30,2.878025686225129,0.0,2.81227353756003,0.0,2.896614749017677,0.0
80,03:45,2.878025686225129,0.0,2.81227353756003,0.0,2.896614749017677,0.0
81,04:00,2.878025686225129,0.0,2.81227353756003,0.0,2.896614749017677,0.0
82,04:15,2.878025686225129,0.0,2.81227353756003,0.0,2.896614749017677,0.0
83,04:30,2.878025686225129,0.0,2.81227353756003,0.0,2.896614749017677,0.0
84,04:45,2.878025686225129,0.0,2.81227353756003,0.0,2.896614749017677,0.0
85,05:00,2.878025686225129,0.0,2.81227353756003,0.0,2.896614749017677,0.0
86,05:15,2.878025686225129,0.0,2.81227353756003,0.0,2.896614749017677,0.0
87,05:30,2.878025686225129,0.0,2.81227353756003,0.0,2.896614749017677,0.0
88,05:45,2.878025686225129,0.0,2.81227353756003,0.0,2.896614749017677,0.0
89,06:00,2.878025686225129,0.0,2.8122735375614196,0.0,2.8966147489651766,0.0
90,06:15,2.878025686225129,0.0,2.8122735375516963,0.0,2.896614749017682,0.0
91,06:30,2.878025686225129,0.0,2.8122735375614196,0.0,2.896614749017682,0.0
92,06:45,2.878025686225129,0.0,2.8122735375614187,0.0,2.896614749017682,0.0
93,07:00,2.878025686225129,0.0,2.8122735375614187,0.0,2.896614749017682,0.0
94,07:15,2.878025686225129,0.0,2.8122735375614205,0.0,2.896614749017682,0.0
95,07:30,2.878025686225129,0.0,2.8122735375614187,0.0,2.8966147490175325,0.0
96,07:45,2.878025686225129,0.0,2.8122735375614196,0.0,2.896614749017772,0.0
